sample	Chromosome	Start Position	End Position	Normal TCN	Normal BCN	Tumour TCN	Tumour BCN
PD9067a	1	61735	61059101	2	1	2	1
PD9067a	1	61059259	61062474	2	1	5	2
PD9067a	1	61063647	72508131	2	1	2	1
PD9067a	1	72508263	74035041	2	1	3	1
PD9067a	1	74036249	84193241	2	1	2	1
PD9067a	1	84196920	84220236	2	1	3	2
PD9067a	1	84220313	121482979	2	1	2	1
PD9067a	1	143982530	229921768	2	1	3	1
PD9067a	1	229921927	233148539	2	1	3	2
PD9067a	1	233150270	244307426	2	1	3	1
PD9067a	1	244307774	244382698	2	1	4	1
PD9067a	1	244383838	249224388	2	1	3	1
PD9067a	2	12784	51315283	2	1	2	1
PD9067a	2	51316018	51457836	2	1	0	0
PD9067a	2	51462697	83334521	2	1	2	1
PD9067a	2	83334835	84615472	2	1	3	1
PD9067a	2	84616498	89107369	2	1	2	1
PD9067a	2	89109612	89902175	2	1	7	3
PD9067a	2	89903423	168892418	2	1	2	1
PD9067a	2	168892954	169027149	2	1	1	1
PD9067a	2	169027284	243089456	2	1	2	1
PD9067a	3	60345	97786424	2	1	2	1
PD9067a	3	97786559	97787341	2	1	0	0
PD9067a	3	97787686	104274366	2	1	2	1
PD9067a	3	104274913	106564007	2	1	1	0
PD9067a	3	106568040	168811465	2	1	2	1
PD9067a	3	168811680	168815167	2	1	1	0
PD9067a	3	168815209	197896118	2	1	2	1
PD9067a	4	12281	24989939	2	1	1	0
PD9067a	4	24991040	25045895	2	1	2	0
PD9067a	4	25046241	35334492	2	1	1	0
PD9067a	4	35340044	35349263	2	1	4	1
PD9067a	4	35351232	35779491	2	1	1	0
PD9067a	4	35780805	36424976	2	1	1	1
PD9067a	4	36424996	39146735	2	1	1	0
PD9067a	4	39147049	40901689	2	1	2	1
PD9067a	4	40901694	42197890	2	1	1	0
PD9067a	4	42201811	87254046	2	1	2	1
PD9067a	4	87254874	87256310	2	1	0	0
PD9067a	4	87256623	163057553	2	1	2	1
PD9067a	4	163059187	163061755	2	1	0	0
PD9067a	4	163061844	191027923	2	1	2	1
PD9067a	5	15532	1186086	2	1	2	1
PD9067a	5	1186121	1189456	2	1	6	3
PD9067a	5	1190088	6392602	2	1	2	1
PD9067a	5	6393448	6758971	2	1	2	0
PD9067a	5	6759714	7967019	2	1	2	1
PD9067a	5	7970137	7975171	2	1	7	4
PD9067a	5	7975733	24972502	2	1	2	1
PD9067a	5	24973020	24990295	2	1	5	3
PD9067a	5	24993180	57309418	2	1	2	1
PD9067a	5	57309750	57338357	2	1	13	6
PD9067a	5	57340073	95882162	2	1	2	1
PD9067a	5	95883462	95884094	2	1	0	0
PD9067a	5	95884451	146030906	2	1	2	1
PD9067a	5	146033044	146036835	2	1	5	3
PD9067a	5	146037037	180790320	2	1	2	1
PD9067a	6	149661	30252574	2	1	2	1
PD9067a	6	30252836	30482993	2	1	1	1
PD9067a	6	30512163	32736005	2	1	2	1
PD9067a	6	32736103	32759252	2	1	0	0
PD9067a	6	32759273	76170874	2	1	2	1
PD9067a	6	76171241	77389236	2	1	1	0
PD9067a	6	77390412	157986559	2	1	2	1
PD9067a	6	157987617	158006856	2	1	5	2
PD9067a	6	158012804	171051005	2	1	2	1
PD9067a	7	43259	50542927	2	1	2	1
PD9067a	7	50545093	50546261	2	1	0	0
PD9067a	7	50546261	58019983	2	1	2	1
PD9067a	7	61063974	64779334	2	1	1	0
PD9067a	7	64781350	159127004	2	1	2	1
PD9067a	8	31254	40314725	2	1	2	1
PD9067a	8	40314789	40337783	2	1	3	2
PD9067a	8	40337943	72943124	2	1	2	1
PD9067a	8	72944154	72963135	2	1	1	0
PD9067a	8	72964853	105217958	2	1	2	1
PD9067a	8	105219400	105223774	2	1	0	0
PD9067a	8	105224103	146298155	2	1	2	1
PD9067a	9	37747	130843436	2	1	2	1
PD9067a	9	130843882	130847230	2	1	0	0
PD9067a	9	130847862	141091394	2	1	2	1
PD9067a	10	72759	22189788	2	1	2	1
PD9067a	10	22190655	22976560	2	1	2	0
PD9067a	10	22982058	26929728	2	1	2	1
PD9067a	10	26932699	26950590	2	1	1	0
PD9067a	10	26950942	60888567	2	1	2	1
PD9067a	10	60888902	61024357	2	1	3	1
PD9067a	10	61024468	64675369	2	1	2	1
PD9067a	10	64676260	64676640	2	1	0	0
PD9067a	10	64677307	135506704	2	1	2	1
PD9067a	11	198572	119990326	2	1	2	1
PD9067a	11	119991166	120004713	2	1	5	2
PD9067a	11	120005633	134944770	2	1	2	1
PD9067a	12	150442	29147937	2	1	2	1
PD9067a	12	29149089	31019564	2	1	1	0
PD9067a	12	31023633	32644317	2	1	2	1
PD9067a	12	32645059	34854498	2	1	2	0
PD9067a	12	37857751	75033481	2	1	2	1
PD9067a	12	75035619	75867565	2	1	1	0
PD9067a	12	75867949	115358952	2	1	2	1
PD9067a	12	115359424	115362508	2	1	7	3
PD9067a	12	115363751	127717544	2	1	2	1
PD9067a	12	127718715	127731714	2	1	5	2
PD9067a	12	127732425	130206033	2	1	2	1
PD9067a	12	130206702	130218412	2	1	1	0
PD9067a	12	130220604	133778189	2	1	2	1
PD9067a	13	19026949	115108397	2	1	2	1
PD9067a	14	19002124	34083650	2	1	2	1
PD9067a	14	34084149	34084773	2	1	0	0
PD9067a	14	34085186	56962866	2	1	2	1
PD9067a	14	56963072	56972779	2	1	1	0
PD9067a	14	56974491	107285437	2	1	2	1
PD9067a	15	20016328	29761195	2	1	2	1
PD9067a	15	29761249	29764382	2	1	1	0
PD9067a	15	29764531	48244146	2	1	2	1
PD9067a	15	48244557	48940648	2	1	2	0
PD9067a	15	48944538	76878362	2	1	2	1
PD9067a	15	76891241	76895774	2	1	0	0
PD9067a	15	76895775	98957941	2	1	2	1
PD9067a	15	98958215	98969065	2	1	6	3
PD9067a	15	98969618	102469040	2	1	2	1
PD9067a	16	60777	32106967	2	1	2	1
PD9067a	16	32113682	33241953	2	1	0	0
PD9067a	16	33300894	35283226	2	1	1	1
PD9067a	16	46463782	80243012	2	1	1	0
PD9067a	16	80243096	80247062	2	1	4	1
PD9067a	16	80247886	87686735	2	1	1	0
PD9067a	16	87687216	87689561	2	1	4	1
PD9067a	16	87690403	90287535	2	1	1	0
PD9067a	17	526	15961993	2	1	1	0
PD9067a	17	15968143	18289557	2	1	2	1
PD9067a	17	18289655	20087652	2	1	1	0
PD9067a	17	20088289	20920488	2	1	3	1
PD9067a	17	20923147	22235650	2	1	1	0
PD9067a	17	25270411	45855956	2	1	2	1
PD9067a	17	45858836	45863591	2	1	4	2
PD9067a	17	45864314	81049726	2	1	2	1
PD9067a	18	48133	8787857	2	1	2	1
PD9067a	18	8789077	8789233	2	1	7	3
PD9067a	18	8789381	78015057	2	1	2	1
PD9067a	19	90910	59097854	2	1	2	1
PD9067a	20	61305	62956153	2	1	2	1
PD9067a	21	10736871	48096957	2	1	2	1
PD9067a	22	16052528	51234455	2	1	2	1
PD9067a	23	119805	24597949	2	1	2	1
PD9067a	23	24598500	24631286	2	1	0	0
PD9067a	23	24631657	29401353	2	1	2	1
PD9067a	23	29403666	29465999	2	1	3	1
PD9067a	23	29466132	55368262	2	1	2	1
PD9067a	23	55368839	55382061	2	1	5	3
PD9067a	23	55390370	97019201	2	1	2	1
PD9067a	23	97019326	97026417	2	1	6	2
PD9067a	23	97026853	110142047	2	1	2	1
PD9067a	23	110145638	111530456	2	1	2	0
PD9067a	23	111530530	115428847	2	1	2	1
PD9067a	23	115429097	115460686	2	1	4	2
PD9067a	23	115465397	155182354	2	1	2	1
PD9067a	24	2649553	59033810	0	0	0	0
PD24327a	1	564621	8320045	2	1	2	1
PD24327a	1	8325842	8337974	2	1	3	1
PD24327a	1	8342712	8365950	2	1	2	1
PD24327a	1	8371186	14662281	2	1	3	1
PD24327a	1	14662719	57291016	2	1	2	1
PD24327a	1	57291133	109956851	2	1	3	1
PD24327a	1	109968410	119256638	2	1	2	1
PD24327a	1	119258848	121291080	2	1	3	1
PD24327a	1	144538748	249198692	2	1	4	2
PD24327a	2	15703	243048760	2	1	3	1
PD24327a	3	69244	42875268	2	1	3	1
PD24327a	3	42877075	60161647	2	1	1	0
PD24327a	3	60162456	60723910	2	1	3	1
PD24327a	3	60723969	60839058	2	1	1	0
PD24327a	3	60841565	60972829	2	1	5	1
PD24327a	3	60974088	79712954	2	1	1	0
PD24327a	3	79712981	132544047	2	1	3	1
PD24327a	3	132544206	140907784	2	1	4	1
PD24327a	3	140910504	141081822	2	1	3	1
PD24327a	3	141085972	142164017	2	1	5	1
PD24327a	3	142178144	143139592	2	1	4	1
PD24327a	3	143140428	147058937	2	1	5	1
PD24327a	3	147059334	148895051	2	1	4	1
PD24327a	3	148895126	197856433	2	1	5	1
PD24327a	4	45410	20582119	2	1	3	1
PD24327a	4	20594904	25987863	2	1	4	2
PD24327a	4	25987977	46961617	2	1	3	1
PD24327a	4	46961898	48498290	2	1	4	2
PD24327a	4	48506163	60040672	2	1	3	1
PD24327a	4	60040866	75201419	2	1	4	2
PD24327a	4	75201884	136263707	2	1	3	1
PD24327a	4	136280487	137498913	2	1	2	1
PD24327a	4	137500406	140664557	2	1	3	1
PD24327a	4	140668096	147754819	2	1	2	1
PD24327a	4	147764571	148840417	2	1	3	1
PD24327a	4	148847599	152989410	2	1	4	2
PD24327a	4	152989476	161068083	2	1	3	1
PD24327a	4	161094977	163391890	2	1	4	2
PD24327a	4	163391920	185531630	2	1	3	1
PD24327a	4	185532342	190921709	2	1	2	1
PD24327a	5	36344	38935244	2	1	3	1
PD24327a	5	38938664	41705432	2	1	4	2
PD24327a	5	41710790	180692833	2	1	3	1
PD24327a	6	203249	1232603	2	1	9	1
PD24327a	6	1232932	1790238	2	1	11	1
PD24327a	6	1795549	2646245	2	1	8	1
PD24327a	6	2651987	2689064	2	1	4	0
PD24327a	6	2696213	3665453	2	1	2	1
PD24327a	6	3665573	4125941	2	1	4	1
PD24327a	6	4126097	4163353	2	1	3	1
PD24327a	6	4163436	6658043	2	1	2	1
PD24327a	6	6659295	8961634	2	1	1	0
PD24327a	6	8964270	9137281	2	1	8	1
PD24327a	6	9138310	10842660	2	1	10	1
PD24327a	6	10850468	11145945	2	1	18	1
PD24327a	6	11146875	12226686	2	1	10	1
PD24327a	6	12229938	12491467	2	1	9	1
