ENSRNOG00000065633	ENSRNOT00000118146	20	-1	21710	43347	protein_coding
ENSRNOG00000062411	ENSRNOT00000095561	20	1	58014	72433	LOC686288	protein_coding
ENSRNOG00000062411	ENSRNOT00000119760	20	1	58014	72516	LOC686288	protein_coding
ENSRNOG00000062411	ENSRNOT00000113664	20	1	64155	72516	LOC686288	protein_coding
ENSRNOG00000062411	ENSRNOT00000119199	20	1	64155	72516	LOC686288	protein_coding
ENSRNOG00000062411	ENSRNOT00000101053	20	1	65806	72433	LOC686288	protein_coding
ENSRNOG00000062411	ENSRNOT00000114243	20	1	65806	72516	LOC686288	protein_coding
ENSRNOG00000063338	ENSRNOT00000111345	20	-1	79017	79685	pseudogene
ENSRNOG00000066928	ENSRNOT00000117635	20	1	82364	83529	protein_coding
ENSRNOG00000000729	ENSRNOT00000049573	20	1	91272	140386	Tmlhe	protein_coding
ENSRNOG00000000729	ENSRNOT00000076901	20	1	91272	140386	Tmlhe	protein_coding
ENSRNOG00000000729	ENSRNOT00000076655	20	1	91315	140386	Tmlhe	protein_coding
ENSRNOG00000000728	ENSRNOT00000000955	20	1	148907	164355	Clic2	protein_coding
ENSRNOG00000000728	ENSRNOT00000114425	20	1	149367	164306	Clic2	protein_coding
ENSRNOG00000063048	ENSRNOT00000105465	20	-1	174901	189827	Or2n1e	protein_coding
ENSRNOG00000063048	ENSRNOT00000104401	20	-1	174901	189827	Or2n1e	protein_coding
ENSRNOG00000063048	ENSRNOT00000089844	20	-1	175930	189827	Or2n1e	protein_coding
ENSRNOG00000069105	ENSRNOT00000108820	20	1	236379	241666	Or2n1h	protein_coding
ENSRNOG00000000726	ENSRNOT00000112000	20	-1	250990	256328	Or2j3	protein_coding
ENSRNOG00000000726	ENSRNOT00000000953	20	-1	252651	256328	Or2j3	protein_coding
ENSRNOG00000069836	ENSRNOT00000108836	20	-1	262016	262955	Or2n1f-ps1	pseudogene
ENSRNOG00000065072	ENSRNOT00000051646	20	-1	275367	280657	Or2n1g	protein_coding
ENSRNOG00000063793	ENSRNOT00000106674	20	-1	291088	295953	Olr1675	protein_coding
ENSRNOG00000050389	ENSRNOT00000075114	20	-1	297043	354706	Olr1675	protein_coding
ENSRNOG00000068494	ENSRNOT00000097972	20	-1	311569	315697	LOC120098956	protein_coding
ENSRNOG00000063264	ENSRNOT00000117271	20	-1	326864	327908	pseudogene
ENSRNOG00000066952	ENSRNOT00000102358	20	-1	340468	341512	pseudogene
ENSRNOG00000063374	ENSRNOT00000116735	20	-1	368835	369773	Or2n1j	protein_coding
ENSRNOG00000066416	ENSRNOT00000103495	20	-1	384518	385562	pseudogene
ENSRNOG00000069834	ENSRNOT00000096846	20	-1	412353	416509	Or2n1	protein_coding
ENSRNOG00000040183	ENSRNOT00000061839	20	1	425575	430117	Or2h15	protein_coding
ENSRNOG00000064227	ENSRNOT00000101886	20	1	485042	485930	Or2y3b-ps1	pseudogene
ENSRNOG00000063819	ENSRNOT00000097518	20	-1	492184	497176	Or2g7	protein_coding
ENSRNOG00000063819	ENSRNOT00000105774	20	-1	492184	498504	Or2g7	protein_coding
ENSRNOG00000063819	ENSRNOT00000108918	20	-1	492184	498504	Or2g7	protein_coding
ENSRNOG00000063819	ENSRNOT00000116740	20	-1	492184	498504	Or2g7	protein_coding
ENSRNOG00000063819	ENSRNOT00000104286	20	-1	492856	496314	Or2g7	protein_coding
ENSRNOG00000065648	ENSRNOT00000113401	20	1	502523	511135	Or10al7	protein_coding
ENSRNOG00000065648	ENSRNOT00000114928	20	1	504817	511135	Or10al7	protein_coding
ENSRNOG00000065073	ENSRNOT00000110988	20	1	589265	599909	Or14j5e	protein_coding
ENSRNOG00000063826	ENSRNOT00000097513	20	-1	612066	617290	protein_coding
ENSRNOG00000068033	ENSRNOT00000094367	20	-1	634127	639889	Or14j5	protein_coding
ENSRNOG00000069988	ENSRNOT00000103857	20	-1	649052	658352	Or14j5b	protein_coding
ENSRNOG00000067903	ENSRNOT00000040957	20	-1	678938	684985	Or14j6	protein_coding
ENSRNOG00000067903	ENSRNOT00000111707	20	-1	678999	684985	Or14j6	protein_coding
ENSRNOG00000066890	ENSRNOT00000099203	20	-1	685475	692605	Or14j1	protein_coding
ENSRNOG00000065474	ENSRNOT00000110104	20	-1	702675	714123	Or2b4	protein_coding
ENSRNOG00000065474	ENSRNOT00000119020	20	-1	703965	714114	Or2b4	protein_coding
ENSRNOG00000000746	ENSRNOT00000000973	20	-1	718292	722170	Or2g1	protein_coding
ENSRNOG00000052698	ENSRNOT00000091422	20	-1	727129	727259	LOC120099023	snoRNA
ENSRNOG00000046355	ENSRNOT00000107548	20	-1	734965	741903	Or10al6-ps1	protein_coding
ENSRNOG00000046355	ENSRNOT00000107985	20	-1	737672	740041	Or10al6-ps1	protein_coding
ENSRNOG00000046355	ENSRNOT00000066600	20	-1	738257	810820	Or10al6-ps1	protein_coding
ENSRNOG00000046708	ENSRNOT00000074145	20	-1	752367	756331	Or10al7	protein_coding
ENSRNOG00000050316	ENSRNOT00000114598	20	-1	761025	765744	Or10al27	protein_coding
ENSRNOG00000046355	ENSRNOT00000074812	20	-1	789272	811125	Or10al6-ps1	protein_coding
ENSRNOG00000046355	ENSRNOT00000071766	20	-1	789297	793306	Or10al6-ps1	protein_coding
ENSRNOG00000046355	ENSRNOT00000118731	20	-1	797953	804113	Or10al6-ps1	protein_coding
