ENSMUSG00000051951	ENSMUST00000070533	1	-1	3214482	3671498	Xkr4	protein_coding
ENSMUSG00000025900	ENSMUST00000208660	1	-1	3999557	4409241	Rp1	protein_coding
ENSMUSG00000025900	ENSMUST00000194992	1	-1	4292981	4409187	Rp1	protein_coding
ENSMUSG00000025900	ENSMUST00000027032	1	-1	4344146	4360314	Rp1	protein_coding
ENSMUSG00000025902	ENSMUST00000027035	1	-1	4490931	4496413	Sox17	protein_coding
ENSMUSG00000025902	ENSMUST00000195555	1	-1	4491250	4496757	Sox17	protein_coding
ENSMUSG00000025902	ENSMUST00000192650	1	-1	4491390	4497354	Sox17	protein_coding
ENSMUSG00000025902	ENSMUST00000116652	1	-1	4491713	4496363	Sox17	protein_coding
ENSMUSG00000025902	ENSMUST00000191647	1	-1	4492458	4496330	Sox17	protein_coding
ENSMUSG00000025902	ENSMUST00000191939	1	-1	4492465	4493735	Sox17	protein_coding
ENSMUSG00000025902	ENSMUST00000192913	1	-1	4492467	4496396	Sox17	protein_coding
ENSMUSG00000033845	ENSMUST00000130201	1	-1	4773206	4785710	Mrpl15	protein_coding
ENSMUSG00000033845	ENSMUST00000156816	1	-1	4773211	4785739	Mrpl15	protein_coding
ENSMUSG00000033845	ENSMUST00000146665	1	-1	4781221	4785739	Mrpl15	protein_coding
ENSMUSG00000025903	ENSMUST00000027036	1	1	4807823	4846739	Lypla1	protein_coding
ENSMUSG00000025903	ENSMUST00000150971	1	1	4807830	4841286	Lypla1	protein_coding
ENSMUSG00000025903	ENSMUST00000119612	1	1	4807896	4845174	Lypla1	protein_coding
ENSMUSG00000025903	ENSMUST00000137887	1	1	4807898	4840969	Lypla1	protein_coding
ENSMUSG00000025903	ENSMUST00000115529	1	1	4807911	4845352	Lypla1	protein_coding
ENSMUSG00000025903	ENSMUST00000131119	1	1	4808237	4841093	Lypla1	protein_coding
ENSMUSG00000033813	ENSMUST00000081551	1	1	4857814	4897905	Tcea1	protein_coding
ENSMUSG00000033813	ENSMUST00000165720	1	1	4858038	4897909	Tcea1	protein_coding
ENSMUSG00000002459	ENSMUST00000002533	1	-1	4909576	5019539	Rgs20	protein_coding
ENSMUSG00000002459	ENSMUST00000118000	1	-1	4909576	5070285	Rgs20	protein_coding
ENSMUSG00000002459	ENSMUST00000119256	1	-1	4910402	5018735	Rgs20	protein_coding
ENSMUSG00000002459	ENSMUST00000147158	1	-1	4912342	5070282	Rgs20	protein_coding
ENSMUSG00000033793	ENSMUST00000192847	1	1	5070018	5162340	Atp6v1h	protein_coding
ENSMUSG00000033793	ENSMUST00000044369	1	1	5083080	5162529	Atp6v1h	protein_coding
ENSMUSG00000033793	ENSMUST00000194676	1	1	5083110	5095728	Atp6v1h	protein_coding
ENSMUSG00000033793	ENSMUST00000192029	1	1	5083132	5095659	Atp6v1h	protein_coding
ENSMUSG00000033793	ENSMUST00000192698	1	1	5083154	5162419	Atp6v1h	protein_coding
ENSMUSG00000025905	ENSMUST00000160777	1	1	5588493	5606131	Oprk1	protein_coding
ENSMUSG00000025905	ENSMUST00000027038	1	1	5588557	5602866	Oprk1	protein_coding
ENSMUSG00000025905	ENSMUST00000160339	1	1	5588941	5604014	Oprk1	protein_coding
ENSMUSG00000033774	ENSMUST00000044180	1	-1	5913707	5917398	Npbwr1	protein_coding
ENSMUSG00000025907	ENSMUST00000159906	1	1	6206197	6234311	Rb1cc1	protein_coding
ENSMUSG00000025907	ENSMUST00000160871	1	1	6206227	6238384	Rb1cc1	protein_coding
ENSMUSG00000025907	ENSMUST00000027040	1	1	6214645	6276648	Rb1cc1	protein_coding
ENSMUSG00000025907	ENSMUST00000160062	1	1	6215008	6234010	Rb1cc1	protein_coding
ENSMUSG00000025907	ENSMUST00000162795	1	1	6228002	6249029	Rb1cc1	protein_coding
ENSMUSG00000025907	ENSMUST00000161327	1	1	6234279	6275577	Rb1cc1	protein_coding
ENSMUSG00000025907	ENSMUST00000159530	1	1	6262933	6274489	Rb1cc1	protein_coding
ENSMUSG00000087247	ENSMUST00000133144	1	1	6359218	6394731	Alkal1	protein_coding
ENSMUSG00000033740	ENSMUST00000140079	1	1	6487231	6860934	St18	protein_coding
ENSMUSG00000033740	ENSMUST00000131494	1	1	6487331	6860940	St18	protein_coding
ENSMUSG00000033740	ENSMUST00000043578	1	1	6730051	6860940	St18	protein_coding
ENSMUSG00000033740	ENSMUST00000139756	1	1	6730053	6795425	St18	protein_coding
ENSMUSG00000033740	ENSMUST00000131467	1	1	6730070	6795550	St18	protein_coding
ENSMUSG00000033740	ENSMUST00000150761	1	1	6730101	6859470	St18	protein_coding
ENSMUSG00000033740	ENSMUST00000151281	1	1	6730102	6858813	St18	protein_coding
ENSMUSG00000033740	ENSMUST00000139838	1	1	6734870	6802688	St18	protein_coding
ENSMUSG00000033740	ENSMUST00000163727	1	1	6737575	6860940	St18	protein_coding
ENSMUSG00000033740	ENSMUST00000130338	1	1	6857341	6859604	St18	protein_coding
ENSMUSG00000051285	ENSMUST00000061280	1	1	7088920	7173628	Pcmtd1	protein_coding
ENSMUSG00000051285	ENSMUST00000182114	1	1	7088930	7169598	Pcmtd1	protein_coding
