ENSMUSG00000020671	ENSMUST00000021001	12	-1	3247428	3309969	Rab10	protein_coding
ENSMUSG00000020668	ENSMUST00000220210	12	1	3365132	3404064	Kif3c	protein_coding
ENSMUSG00000020668	ENSMUST00000020999	12	1	3365190	3406494	Kif3c	protein_coding
ENSMUSG00000020668	ENSMUST00000219895	12	1	3387381	3404933	Kif3c	protein_coding
ENSMUSG00000037486	ENSMUST00000111215	12	1	3426857	3506847	Asxl2	protein_coding
ENSMUSG00000037486	ENSMUST00000092003	12	1	3426857	3506852	Asxl2	protein_coding
ENSMUSG00000037486	ENSMUST00000144247	12	1	3426884	3496284	Asxl2	protein_coding
ENSMUSG00000037486	ENSMUST00000153102	12	1	3426901	3502466	Asxl2	protein_coding
ENSMUSG00000071454	ENSMUST00000173199	12	1	3572381	3781796	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000164578	12	1	3572391	3781398	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000174479	12	1	3572434	3646787	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000173240	12	1	3572453	3781395	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000174663	12	1	3572470	3781395	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000173736	12	1	3572475	3781395	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000173998	12	1	3572536	3596852	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000077930	12	1	3572984	3781391	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000174547	12	1	3589172	3781395	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000172598	12	1	3632922	3781395	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000173542	12	1	3749543	3781398	Dtnb	protein_coding
ENSMUSG00000020661	ENSMUST00000172719	12	1	3806527	3873381	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000020991	12	1	3807030	3914443	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000172509	12	1	3807058	3896995	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000174817	12	1	3807160	3913491	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000172816	12	1	3861021	3866162	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000173197	12	1	3866191	3876062	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000174102	12	1	3885449	3896121	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000172689	12	1	3891728	3907842	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000111186	12	1	3891744	3914443	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000172879	12	1	3894824	3895676	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000174774	12	1	3894869	3896976	Dnmt3a	protein_coding
