ENSG00000215405	ENST00000427390	15	-1	20737094	20747114	GOLGA6L6	protein_coding
ENSG00000268343	ENST00000595502	15	1	21004687	21005367	AC012414.1	protein_coding
ENSG00000230031	ENST00000454856	15	-1	21040701	21071643	POTEB2	protein_coding
ENSG00000268531	ENST00000594169	15	1	22011370	22012050	DKFZP547L112	protein_coding
ENSG00000233917	ENST00000439682	15	-1	22051853	22082822	POTEB	protein_coding
ENSG00000182974	ENST00000332663	15	1	22368478	22369561	OR4M2	protein_coding
ENSG00000183706	ENST00000328795	15	1	22382382	22383507	OR4N4	protein_coding
ENSG00000269182	ENST00000599120	15	1	22456895	22460351	AC010760.1	protein_coding
ENSG00000197414	ENST00000316397	15	1	22736246	22746002	GOLGA6L1	protein_coding
ENSG00000197414	ENST00000560659	15	1	22736484	22745998	GOLGA6L1	protein_coding
ENSG00000153575	ENST00000283645	15	1	22833395	22873892	TUBGCP5	protein_coding
ENSG00000153575	ENST00000453949	15	1	22833496	22872783	TUBGCP5	protein_coding
ENSG00000153575	ENST00000558664	15	1	22836120	22846891	TUBGCP5	protein_coding
ENSG00000153575	ENST00000561214	15	1	22864187	22867636	TUBGCP5	protein_coding
ENSG00000068793	ENST00000561185	15	1	22892005	22929809	CYFIP1	protein_coding
ENSG00000068793	ENST00000313077	15	1	22892663	23006016	CYFIP1	protein_coding
ENSG00000068793	ENST00000561274	15	1	22892686	22929779	CYFIP1	protein_coding
ENSG00000068793	ENST00000560848	15	1	22892716	23003602	CYFIP1	protein_coding
ENSG00000068793	ENST00000557859	15	1	22947053	22958241	CYFIP1	protein_coding
ENSG00000068793	ENST00000435939	15	1	22955755	23005943	CYFIP1	protein_coding
ENSG00000068793	ENST00000561263	15	1	22997833	23000431	CYFIP1	protein_coding
ENSG00000140157	ENST00000337451	15	-1	23004684	23034408	NIPA2	protein_coding
ENSG00000140157	ENST00000398014	15	-1	23004684	23034427	NIPA2	protein_coding
ENSG00000140157	ENST00000398013	15	-1	23005352	23034381	NIPA2	protein_coding
ENSG00000140157	ENST00000539711	15	-1	23006152	23034370	NIPA2	protein_coding
ENSG00000140157	ENST00000359727	15	-1	23006221	23034410	NIPA2	protein_coding
ENSG00000140157	ENST00000560039	15	-1	23019819	23034378	NIPA2	protein_coding
ENSG00000170113	ENST00000337435	15	-1	23043277	23086436	NIPA1	protein_coding
