ENSG00000186092	ENST00000335137	1	1	69091	70008	OR4F5	protein_coding
ENSG00000237683	ENST00000423372	1	-1	134901	139379	AL627309.1	protein_coding
ENSG00000235249	ENST00000426406	1	1	367640	368634	OR4F29	protein_coding
ENSG00000185097	ENST00000332831	1	-1	621059	622053	OR4F16	protein_coding
ENSG00000269831	ENST00000599533	1	-1	738532	739137	AL669831.1	protein_coding
ENSG00000269308	ENST00000594233	1	1	818043	819983	AL645608.2	protein_coding
ENSG00000187634	ENST00000420190	1	1	860260	874671	SAMD11	protein_coding
ENSG00000187634	ENST00000437963	1	1	860530	871173	SAMD11	protein_coding
ENSG00000187634	ENST00000342066	1	1	861118	879955	SAMD11	protein_coding
ENSG00000268179	ENST00000598827	1	-1	861264	866445	AL645608.1	protein_coding
ENSG00000187634	ENST00000341065	1	1	865692	879955	SAMD11	protein_coding
ENSG00000187634	ENST00000455979	1	1	874655	879639	SAMD11	protein_coding
ENSG00000188976	ENST00000327044	1	-1	879584	894670	NOC2L	protein_coding
ENSG00000187961	ENST00000338591	1	1	895967	901095	KLHL17	protein_coding
ENSG00000187583	ENST00000379410	1	1	901877	910488	PLEKHN1	protein_coding
ENSG00000187583	ENST00000379407	1	1	901882	910388	PLEKHN1	protein_coding
ENSG00000187583	ENST00000379409	1	1	901882	910388	PLEKHN1	protein_coding
ENSG00000187583	ENST00000491024	1	1	908892	911245	PLEKHN1	protein_coding
ENSG00000187642	ENST00000433179	1	-1	910579	917497	C1orf170	protein_coding
ENSG00000187642	ENST00000341290	1	-1	910584	917473	C1orf170	protein_coding
ENSG00000188290	ENST00000428771	1	-1	934342	935552	HES4	protein_coding
ENSG00000188290	ENST00000304952	1	-1	934344	935491	HES4	protein_coding
ENSG00000188290	ENST00000484667	1	-1	934350	935361	HES4	protein_coding
ENSG00000187608	ENST00000379389	1	1	948803	949920	ISG15	protein_coding
ENSG00000188157	ENST00000379370	1	1	955503	991496	AGRN	protein_coding
ENSG00000188157	ENST00000419249	1	1	985936	989330	AGRN	protein_coding
ENSG00000237330	ENST00000453464	1	-1	1006346	1009687	RNF223	protein_coding
ENSG00000131591	ENST00000379339	1	-1	1017198	1051461	C1orf159	protein_coding
ENSG00000131591	ENST00000294576	1	-1	1017198	1051736	C1orf159	protein_coding
ENSG00000131591	ENST00000448924	1	-1	1017198	1051736	C1orf159	protein_coding
ENSG00000131591	ENST00000421241	1	-1	1017203	1051478	C1orf159	protein_coding
ENSG00000131591	ENST00000379320	1	-1	1017615	1027554	C1orf159	protein_coding
ENSG00000131591	ENST00000379319	1	-1	1018080	1041507	C1orf159	protein_coding
ENSG00000131591	ENST00000434641	1	-1	1018296	1051475	C1orf159	protein_coding
ENSG00000131591	ENST00000437760	1	-1	1019834	1051736	C1orf159	protein_coding
ENSG00000131591	ENST00000462097	1	-1	1022519	1051736	C1orf159	protein_coding
ENSG00000131591	ENST00000475119	1	-1	1022570	1051741	C1orf159	protein_coding
ENSG00000131591	ENST00000442117	1	-1	1022955	1028193	C1orf159	protein_coding
ENSG00000131591	ENST00000427787	1	-1	1025786	1028193	C1orf159	protein_coding
ENSG00000131591	ENST00000480643	1	-1	1026880	1051469	C1orf159	protein_coding
ENSG00000162571	ENST00000379290	1	1	1109283	1133315	TTLL10	protein_coding
ENSG00000162571	ENST00000379289	1	1	1109286	1133313	TTLL10	protein_coding
ENSG00000162571	ENST00000379288	1	1	1115077	1121244	TTLL10	protein_coding
ENSG00000186891	ENST00000328596	1	-1	1138888	1141951	TNFRSF18	protein_coding
ENSG00000186891	ENST00000379268	1	-1	1138891	1142071	TNFRSF18	protein_coding
ENSG00000186891	ENST00000486728	1	-1	1139224	1141060	TNFRSF18	protein_coding
ENSG00000186891	ENST00000379265	1	-1	1139224	1141951	TNFRSF18	protein_coding
