ENSG00000257115	ENST00000550708	14	1	19377522	19378606	OR11H12	protein_coding
ENSG00000222036	ENST00000409832	14	1	19553365	19590078	POTEG	protein_coding
ENSG00000187537	ENST00000551509	14	-1	19983559	20020272	POTEM	protein_coding
ENSG00000176294	ENST00000557414	14	1	20187174	20295672	OR4N2	protein_coding
ENSG00000182652	ENST00000331723	14	1	20215587	20216528	OR4Q3	protein_coding
ENSG00000176299	ENST00000315957	14	1	20248401	20249516	OR4M1	protein_coding
ENSG00000176294	ENST00000557677	14	1	20271929	20296045	OR4N2	protein_coding
ENSG00000176294	ENST00000315947	14	1	20295608	20296531	OR4N2	protein_coding
ENSG00000176294	ENST00000568211	14	1	20295608	20296531	OR4N2	protein_coding
ENSG00000165762	ENST00000298642	14	1	20344391	20345468	OR4K2	protein_coding
ENSG00000176281	ENST00000315915	14	1	20388741	20389818	OR4K5	protein_coding
ENSG00000155249	ENST00000285600	14	1	20403767	20404842	OR4K1	protein_coding
ENSG00000169488	ENST00000305051	14	1	20443603	20444818	OR4K15	protein_coding
ENSG00000169484	ENST00000305045	14	-1	20482419	20483352	OR4K14	protein_coding
ENSG00000176253	ENST00000315693	14	-1	20502003	20502919	OR4K13	protein_coding
ENSG00000176246	ENST00000315683	14	1	20528204	20529142	OR4L1	protein_coding
ENSG00000176230	ENST00000315543	14	1	20585566	20586597	OR4K17	protein_coding
ENSG00000184394	ENST00000333629	14	1	20611895	20612821	OR4N5	protein_coding
ENSG00000196832	ENST00000357366	14	1	20665495	20666605	OR11G2	protein_coding
ENSG00000176219	ENST00000315519	14	1	20691791	20692964	OR11H6	protein_coding
ENSG00000176198	ENST00000315409	14	1	20710898	20711979	OR11H4	protein_coding
ENSG00000136319	ENST00000258821	14	-1	20754387	20774153	TTC5	protein_coding
ENSG00000136319	ENST00000423949	14	-1	20757688	20774094	TTC5	protein_coding
ENSG00000136319	ENST00000553828	14	-1	20768968	20774119	TTC5	protein_coding
ENSG00000100814	ENST00000398160	14	-1	20779527	20801169	CCNB1IP1	protein_coding
ENSG00000100814	ENST00000398169	14	-1	20779529	20797539	CCNB1IP1	protein_coding
ENSG00000100814	ENST00000358932	14	-1	20779529	20801447	CCNB1IP1	protein_coding
ENSG00000100814	ENST00000437553	14	-1	20779530	20797533	CCNB1IP1	protein_coding
ENSG00000100814	ENST00000353689	14	-1	20779530	20801457	CCNB1IP1	protein_coding
ENSG00000100814	ENST00000398163	14	-1	20779588	20797536	CCNB1IP1	protein_coding
ENSG00000100814	ENST00000557665	14	-1	20781796	20801441	CCNB1IP1	protein_coding
ENSG00000100814	ENST00000556563	14	-1	20784573	20797533	CCNB1IP1	protein_coding
ENSG00000100814	ENST00000553291	14	-1	20784671	20797532	CCNB1IP1	protein_coding
ENSG00000129484	ENST00000429687	14	1	20811741	20826064	PARP2	protein_coding
ENSG00000129484	ENST00000250416	14	1	20811774	20826063	PARP2	protein_coding
ENSG00000129484	ENST00000527915	14	1	20811796	20826062	PARP2	protein_coding
ENSG00000129484	ENST00000539930	14	1	20823941	20825935	PARP2	protein_coding
ENSG00000129566	ENST00000262715	14	-1	20833826	20881580	TEP1	protein_coding
ENSG00000129566	ENST00000556935	14	-1	20836553	20881579	TEP1	protein_coding
ENSG00000129566	ENST00000553984	14	-1	20837526	20841239	TEP1	protein_coding
ENSG00000129566	ENST00000545983	14	-1	20839677	20850421	TEP1	protein_coding
ENSG00000129566	ENST00000556549	14	-1	20876101	20881588	TEP1	protein_coding
ENSG00000185271	ENST00000344581	14	-1	20896970	20903801	KLHL33	protein_coding
ENSG00000092094	ENST00000555656	14	-1	20914570	20919038	OSGEP	protein_coding
ENSG00000092094	ENST00000206542	14	-1	20914827	20923264	OSGEP	protein_coding
ENSG00000092094	ENST00000554249	14	-1	20915298	20917557	OSGEP	protein_coding
ENSG00000092094	ENST00000555223	14	-1	20915790	20920611	OSGEP	protein_coding
ENSG00000092094	ENST00000555785	14	-1	20915837	20917432	OSGEP	protein_coding
ENSG00000092094	ENST00000553640	14	-1	20917367	20922971	OSGEP	protein_coding
ENSG00000092094	ENST00000488532	14	-1	20919470	20922971	OSGEP	protein_coding
ENSG00000100823	ENST00000555414	14	1	20923350	20925927	APEX1	protein_coding
ENSG00000100823	ENST00000216714	14	1	20923354	20925926	APEX1	protein_coding
ENSG00000100823	ENST00000553681	14	1	20923360	20925501	APEX1	protein_coding
ENSG00000100823	ENST00000557344	14	1	20923385	20925019	APEX1	protein_coding
ENSG00000100823	ENST00000398030	14	1	20923385	20925926	APEX1	protein_coding
ENSG00000100823	ENST00000557181	14	1	20923386	20924903	APEX1	protein_coding
ENSG00000100823	ENST00000555839	14	1	20923398	20925525	APEX1	protein_coding
ENSG00000100823	ENST00000553368	14	1	20923404	20924190	APEX1	protein_coding
ENSG00000100823	ENST00000556054	14	1	20923406	20925233	APEX1	protein_coding
ENSG00000100823	ENST00000557054	14	1	20923406	20925926	APEX1	protein_coding
ENSG00000100823	ENST00000557592	14	1	20923407	20925278	APEX1	protein_coding
ENSG00000100823	ENST00000557150	14	1	20923424	20925248	APEX1	protein_coding
ENSG00000100823	ENST00000438886	14	1	20924166	20925381	APEX1	protein_coding
ENSG00000165782	ENST00000250489	14	-1	20925878	20929771	TMEM55B	protein_coding
ENSG00000165782	ENST00000553460	14	-1	20926017	20927850	TMEM55B	protein_coding
ENSG00000165782	ENST00000398020	14	-1	20926017	20929624	TMEM55B	protein_coding
ENSG00000165782	ENST00000554028	14	-1	20926545	20928901	TMEM55B	protein_coding
ENSG00000165782	ENST00000556093	14	-1	20928420	20929052	TMEM55B	protein_coding
ENSG00000198805	ENST00000553418	14	1	20937113	20942730	PNP	protein_coding
ENSG00000198805	ENST00000361505	14	1	20937538	20945253	PNP	protein_coding
ENSG00000198805	ENST00000553591	14	1	20937700	20943305	PNP	protein_coding
ENSG00000198805	ENST00000554065	14	1	20938685	20943067	PNP	protein_coding
ENSG00000182545	ENST00000430083	14	1	20973696	20979314	RNASE10	protein_coding
ENSG00000182545	ENST00000328444	14	1	20978612	20979328	RNASE10	protein_coding
ENSG00000188655	ENST00000338904	14	-1	21024252	21029090	RNASE9	protein_coding
ENSG00000188655	ENST00000404716	14	-1	21024252	21029090	RNASE9	protein_coding
ENSG00000188655	ENST00000429244	14	-1	21024252	21029090	RNASE9	protein_coding
ENSG00000188655	ENST00000553541	14	-1	21024252	21029090	RNASE9	protein_coding
ENSG00000188655	ENST00000553706	14	-1	21024252	21029090	RNASE9	protein_coding
ENSG00000188655	ENST00000554964	14	-1	21024252	21029090	RNASE9	protein_coding
ENSG00000188655	ENST00000555230	14	-1	21024252	21029090	RNASE9	protein_coding
ENSG00000188655	ENST00000556208	14	-1	21024252	21029090	RNASE9	protein_coding
ENSG00000188655	ENST00000557068	14	-1	21024252	21029090	RNASE9	protein_coding
ENSG00000188655	ENST00000557209	14	-1	21024252	21029090	RNASE9	protein_coding
ENSG00000173464	ENST00000610205	14	-1	21051054	21058417	RNASE11	protein_coding
ENSG00000173464	ENST00000553849	14	-1	21051718	21055884	RNASE11	protein_coding
ENSG00000173464	ENST00000555841	14	-1	21051855	21056149	RNASE11	protein_coding
ENSG00000173464	ENST00000398009	14	-1	21051855	21056193	RNASE11	protein_coding
ENSG00000173464	ENST00000398008	14	-1	21051950	21056139	RNASE11	protein_coding
ENSG00000173464	ENST00000432835	14	-1	21052034	21056162	RNASE11	protein_coding
ENSG00000173464	ENST00000443456	14	-1	21052098	21056156	RNASE11	protein_coding
ENSG00000173464	ENST00000557503	14	-1	21052098	21056187	RNASE11	protein_coding
ENSG00000173464	ENST00000557105	14	-1	21052119	21056121	RNASE11	protein_coding
ENSG00000173464	ENST00000413502	14	-1	21052206	21078043	RNASE11	protein_coding
ENSG00000173464	ENST00000554842	14	-1	21052225	21056206	RNASE11	protein_coding
ENSG00000259060	ENST00000555283	14	-1	21052499	21077954	RNASE11	protein_coding
ENSG00000258436	ENST00000556526	14	-1	21058352	21058982	RNASE12	protein_coding
ENSG00000181803	ENST00000320704	14	-1	21108855	21109850	OR6S1	protein_coding
ENSG00000258818	ENST00000555835	14	1	21152259	21168761	RNASE4	protein_coding
ENSG00000214274	ENST00000336811	14	1	21152336	21162345	ANG	protein_coding
ENSG00000258818	ENST00000397995	14	1	21152742	21168252	RNASE4	protein_coding
ENSG00000259171	ENST00000553909	14	1	21152746	21168735	AL163636.6	protein_coding
ENSG00000258818	ENST00000304704	14	1	21152818	21168710	RNASE4	protein_coding
ENSG00000214274	ENST00000397990	14	1	21156932	21162345	ANG	protein_coding
ENSG00000258818	ENST00000555597	14	1	21156941	21168761	RNASE4	protein_coding
ENSG00000181562	ENST00000326842	14	1	21214051	21216539	EDDM3A	protein_coding
ENSG00000181552	ENST00000326783	14	1	21236586	21239107	EDDM3B	protein_coding
ENSG00000169413	ENST00000304677	14	1	21249210	21250626	RNASE6	protein_coding
ENSG00000129538	ENST00000397967	14	-1	21269387	21271437	RNASE1	protein_coding
ENSG00000129538	ENST00000340900	14	-1	21269505	21271014	RNASE1	protein_coding
ENSG00000129538	ENST00000412779	14	-1	21269515	21270565	RNASE1	protein_coding
ENSG00000129538	ENST00000555698	14	-1	21269553	21271007	RNASE1	protein_coding
ENSG00000129538	ENST00000397970	14	-1	21269619	21271007	RNASE1	protein_coding
ENSG00000169397	ENST00000304639	14	1	21359558	21360507	RNASE3	protein_coding
ENSG00000169385	ENST00000304625	14	1	21423611	21424595	RNASE2	protein_coding
ENSG00000165792	ENST00000339374	14	1	21457929	21465189	METTL17	protein_coding
ENSG00000165792	ENST00000382985	14	1	21458139	21465168	METTL17	protein_coding
ENSG00000165792	ENST00000556670	14	1	21458146	21465189	METTL17	protein_coding
ENSG00000165792	ENST00000553564	14	1	21458161	21462192	METTL17	protein_coding
ENSG00000165792	ENST00000554751	14	1	21458189	21461300	METTL17	protein_coding
ENSG00000165792	ENST00000554283	14	1	21458191	21460363	METTL17	protein_coding
ENSG00000165792	ENST00000555670	14	1	21458207	21462772	METTL17	protein_coding
ENSG00000165792	ENST00000556733	14	1	21464089	21465189	METTL17	protein_coding
ENSG00000165794	ENST00000554422	14	1	21467414	21469880	SLC39A2	protein_coding
ENSG00000165794	ENST00000298681	14	1	21467449	21470030	SLC39A2	protein_coding
ENSG00000165795	ENST00000298687	14	-1	21484922	21493935	NDRG2	protein_coding
ENSG00000165795	ENST00000350792	14	-1	21484922	21493982	NDRG2	protein_coding
ENSG00000165795	ENST00000397858	14	-1	21484923	21493935	NDRG2	protein_coding
ENSG00000165795	ENST00000557633	14	-1	21484931	21490602	NDRG2	protein_coding
ENSG00000165795	ENST00000554104	14	-1	21484931	21490979	NDRG2	protein_coding
ENSG00000165795	ENST00000555158	14	-1	21484931	21493185	NDRG2	protein_coding
ENSG00000165795	ENST00000553503	14	-1	21484931	21493198	NDRG2	protein_coding
ENSG00000165795	ENST00000397853	14	-1	21484931	21493253	NDRG2	protein_coding
ENSG00000165795	ENST00000360463	14	-1	21484931	21493978	NDRG2	protein_coding
ENSG00000165795	ENST00000556147	14	-1	21484932	21493123	NDRG2	protein_coding
ENSG00000165795	ENST00000397855	14	-1	21484932	21493219	NDRG2	protein_coding
ENSG00000165795	ENST00000397856	14	-1	21484932	21493219	NDRG2	protein_coding
ENSG00000165795	ENST00000397851	14	-1	21484932	21493264	NDRG2	protein_coding
ENSG00000165795	ENST00000554143	14	-1	21484932	21493264	NDRG2	protein_coding
ENSG00000165795	ENST00000397847	14	-1	21484932	21494007	NDRG2	protein_coding
ENSG00000165795	ENST00000298684	14	-1	21484970	21491486	NDRG2	protein_coding
ENSG00000165795	ENST00000397844	14	-1	21485010	21493804	NDRG2	protein_coding
ENSG00000165795	ENST00000403829	14	-1	21485380	21539031	NDRG2	protein_coding
ENSG00000165795	ENST00000553593	14	-1	21485640	21489281	NDRG2	protein_coding
ENSG00000165795	ENST00000556008	14	-1	21486151	21493220	NDRG2	protein_coding
