ENSG00000130538	ENST00000252835	22	-1	16448824	16449805	OR11H1	protein_coding
ENSG00000198445	ENST00000359963	22	-1	17071667	17073700	CCT8L2	protein_coding
ENSG00000172967	ENST00000331428	22	-1	17264302	17302589	XKR3	protein_coding
ENSG00000215568	ENST00000400588	22	-1	17442826	17489112	GAB4	protein_coding
ENSG00000177663	ENST00000319363	22	1	17565849	17596583	IL17RA	protein_coding
ENSG00000183307	ENST00000399875	22	-1	17597189	17602257	CECR6	protein_coding
ENSG00000183307	ENST00000331437	22	-1	17597190	17602143	CECR6	protein_coding
ENSG00000235478	ENST00000441544	22	1	17602485	17612994	AC006946.15	protein_coding
ENSG00000069998	ENST00000155674	22	-1	17618401	17646177	CECR5	protein_coding
ENSG00000069998	ENST00000336737	22	-1	17618410	17640167	CECR5	protein_coding
ENSG00000069998	ENST00000399852	22	-1	17618469	17640145	CECR5	protein_coding
ENSG00000093072	ENST00000399839	22	-1	17660194	17702879	CECR1	protein_coding
ENSG00000093072	ENST00000330232	22	-1	17660196	17680673	CECR1	protein_coding
ENSG00000093072	ENST00000262607	22	-1	17660196	17690779	CECR1	protein_coding
ENSG00000093072	ENST00000449907	22	-1	17661880	17702738	CECR1	protein_coding
ENSG00000093072	ENST00000399837	22	-1	17662373	17700266	CECR1	protein_coding
ENSG00000093072	ENST00000543038	22	-1	17688047	17700325	CECR1	protein_coding
ENSG00000093072	ENST00000441548	22	-1	17688096	17702744	CECR1	protein_coding
ENSG00000099954	ENST00000342247	22	1	17840837	18018834	CECR2	protein_coding
ENSG00000099954	ENST00000400585	22	1	17840839	18033032	CECR2	protein_coding
ENSG00000099954	ENST00000400573	22	1	17956135	18037850	CECR2	protein_coding
ENSG00000099954	ENST00000262608	22	1	17956627	18033845	CECR2	protein_coding
ENSG00000182902	ENST00000327451	22	1	18043139	18073760	SLC25A18	protein_coding
ENSG00000182902	ENST00000399813	22	1	18043150	18073647	SLC25A18	protein_coding
ENSG00000131100	ENST00000253413	22	-1	18074902	18111584	ATP6V1E1	protein_coding
ENSG00000131100	ENST00000399796	22	-1	18074935	18111513	ATP6V1E1	protein_coding
ENSG00000131100	ENST00000399798	22	-1	18075175	18111515	ATP6V1E1	protein_coding
ENSG00000131100	ENST00000413576	22	-1	18077305	18111499	ATP6V1E1	protein_coding
ENSG00000099968	ENST00000399782	22	1	18111682	18185194	BCL2L13	protein_coding
ENSG00000099968	ENST00000317582	22	1	18121356	18211487	BCL2L13	protein_coding
ENSG00000099968	ENST00000543133	22	1	18121507	18211465	BCL2L13	protein_coding
ENSG00000099968	ENST00000538149	22	1	18121523	18210466	BCL2L13	protein_coding
ENSG00000099968	ENST00000337612	22	1	18121530	18210428	BCL2L13	protein_coding
ENSG00000099968	ENST00000493680	22	1	18121538	18186499	BCL2L13	protein_coding
ENSG00000099968	ENST00000355028	22	1	18121577	18213388	BCL2L13	protein_coding
ENSG00000099968	ENST00000418951	22	1	18138478	18210300	BCL2L13	protein_coding
ENSG00000015475	ENST00000317361	22	-1	18216906	18256782	BID	protein_coding
ENSG00000015475	ENST00000399767	22	-1	18216908	18257258	BID	protein_coding
ENSG00000015475	ENST00000399774	22	-1	18216937	18257258	BID	protein_coding
ENSG00000015475	ENST00000399765	22	-1	18216941	18257255	BID	protein_coding
ENSG00000015475	ENST00000342111	22	-1	18218265	18257178	BID	protein_coding
ENSG00000015475	ENST00000551952	22	-1	18218318	18257431	BID	protein_coding
ENSG00000243156	ENST00000441493	22	-1	18270415	18507325	MICAL3	protein_coding
