ENSG00000177706	ENST00000313766	7	1	192969	300711	FAM20C	protein_coding
ENSG00000249852	ENST00000514988	7	-1	227554	229557	AC145676.2	protein_coding
ENSG00000269396	ENST00000599994	7	1	302918	304070	AC187652.1	protein_coding
ENSG00000197461	ENST00000402802	7	-1	536895	559046	PDGFA	protein_coding
ENSG00000197461	ENST00000354513	7	-1	537946	559031	PDGFA	protein_coding
ENSG00000197461	ENST00000400761	7	-1	538130	558145	PDGFA	protein_coding
ENSG00000197461	ENST00000405692	7	-1	551994	559933	PDGFA	protein_coding
ENSG00000188191	ENST00000544935	7	-1	588834	752577	PRKAR1B	protein_coding
ENSG00000188191	ENST00000537384	7	-1	588834	766978	PRKAR1B	protein_coding
ENSG00000188191	ENST00000406797	7	-1	588835	752844	PRKAR1B	protein_coding
ENSG00000188191	ENST00000403562	7	-1	589379	767287	PRKAR1B	protein_coding
ENSG00000188191	ENST00000360274	7	-1	589387	752209	PRKAR1B	protein_coding
ENSG00000188191	ENST00000400758	7	-1	589907	642320	PRKAR1B	protein_coding
ENSG00000188191	ENST00000430040	7	-1	618893	752577	PRKAR1B	protein_coding
ENSG00000188191	ENST00000414568	7	-1	635817	731431	PRKAR1B	protein_coding
ENSG00000188191	ENST00000417852	7	-1	647033	766978	PRKAR1B	protein_coding
ENSG00000188191	ENST00000456696	7	-1	720193	752706	PRKAR1B	protein_coding
ENSG00000164818	ENST00000297440	7	1	766338	826112	HEATR2	protein_coding
ENSG00000164818	ENST00000313147	7	1	766338	829190	HEATR2	protein_coding
ENSG00000164818	ENST00000437419	7	1	766856	796429	HEATR2	protein_coding
ENSG00000164818	ENST00000440747	7	1	766892	825668	HEATR2	protein_coding
ENSG00000164818	ENST00000403952	7	1	808112	825681	HEATR2	protein_coding
ENSG00000164828	ENST00000456758	7	1	855528	914557	SUN1	protein_coding
ENSG00000164828	ENST00000457378	7	1	856252	883509	SUN1	protein_coding
ENSG00000164828	ENST00000389574	7	1	856252	914539	SUN1	protein_coding
ENSG00000164828	ENST00000452783	7	1	856252	914557	SUN1	protein_coding
ENSG00000164828	ENST00000435699	7	1	856260	883022	SUN1	protein_coding
ENSG00000164828	ENST00000440380	7	1	856280	878623	SUN1	protein_coding
ENSG00000164828	ENST00000439679	7	1	856392	881723	SUN1	protein_coding
ENSG00000164828	ENST00000424128	7	1	856503	878623	SUN1	protein_coding
ENSG00000164828	ENST00000457598	7	1	870567	881672	SUN1	protein_coding
ENSG00000164828	ENST00000421580	7	1	871559	881656	SUN1	protein_coding
ENSG00000164828	ENST00000405266	7	1	872138	914537	SUN1	protein_coding
ENSG00000164828	ENST00000401592	7	1	872138	914539	SUN1	protein_coding
ENSG00000164828	ENST00000403868	7	1	872140	883455	SUN1	protein_coding
ENSG00000164828	ENST00000425407	7	1	872142	914557	SUN1	protein_coding
ENSG00000164828	ENST00000450881	7	1	878433	892288	SUN1	protein_coding
ENSG00000164828	ENST00000419312	7	1	882978	891118	SUN1	protein_coding
ENSG00000164828	ENST00000429178	7	1	883007	914536	SUN1	protein_coding
ENSG00000164828	ENST00000413514	7	1	888141	913026	SUN1	protein_coding
ENSG00000164828	ENST00000433212	7	1	888245	914539	SUN1	protein_coding
ENSG00000239857	ENST00000265857	7	1	916189	936071	GET4	protein_coding
ENSG00000239857	ENST00000412734	7	1	917542	930703	GET4	protein_coding
ENSG00000239857	ENST00000407192	7	1	923180	936073	GET4	protein_coding
ENSG00000239857	ENST00000441491	7	1	923661	927156	GET4	protein_coding
ENSG00000239857	ENST00000426056	7	1	926670	930691	GET4	protein_coding
ENSG00000105963	ENST00000265846	7	-1	937540	994333	ADAP1	protein_coding
ENSG00000105963	ENST00000446141	7	-1	937546	966852	ADAP1	protein_coding
ENSG00000105963	ENST00000449296	7	-1	937546	966852	ADAP1	protein_coding
ENSG00000105963	ENST00000539900	7	-1	938347	995043	ADAP1	protein_coding
ENSG00000105963	ENST00000453175	7	-1	938554	944714	ADAP1	protein_coding
ENSG00000105963	ENST00000437486	7	-1	939102	960526	ADAP1	protein_coding
ENSG00000105963	ENST00000454383	7	-1	939779	974816	ADAP1	protein_coding
ENSG00000105963	ENST00000453823	7	-1	940170	967150	ADAP1	protein_coding
ENSG00000105963	ENST00000435943	7	-1	943884	995042	ADAP1	protein_coding
ENSG00000240230	ENST00000344111	7	-1	1005711	1015235	COX19	protein_coding
ENSG00000073067	ENST00000308919	7	1	1022835	1029276	CYP2W1	protein_coding
ENSG00000073067	ENST00000340150	7	1	1022994	1029276	CYP2W1	protein_coding
ENSG00000073067	ENST00000415893	7	1	1026293	1028440	CYP2W1	protein_coding
ENSG00000146540	ENST00000357429	7	-1	1036622	1177893	C7orf50	protein_coding
ENSG00000146540	ENST00000397100	7	-1	1036623	1177893	C7orf50	protein_coding
ENSG00000146540	ENST00000397098	7	-1	1036642	1177876	C7orf50	protein_coding
ENSG00000146540	ENST00000412051	7	-1	1036652	1067975	C7orf50	protein_coding
ENSG00000146540	ENST00000444428	7	-1	1037243	1094942	C7orf50	protein_coding
ENSG00000146540	ENST00000491163	7	-1	1037269	1177896	C7orf50	protein_coding
ENSG00000164849	ENST00000444847	7	1	1084212	1098097	GPR146	protein_coding
ENSG00000164849	ENST00000397095	7	1	1094921	1098894	GPR146	protein_coding
ENSG00000164849	ENST00000427680	7	1	1096293	1097267	GPR146	protein_coding
ENSG00000164849	ENST00000297468	7	1	1097141	1098897	GPR146	protein_coding
ENSG00000164850	ENST00000401670	7	1	1121844	1132517	GPER1	protein_coding
ENSG00000164850	ENST00000413368	7	1	1126443	1131585	GPER1	protein_coding
ENSG00000164850	ENST00000397092	7	1	1126443	1133451	GPER1	protein_coding
ENSG00000164850	ENST00000297469	7	1	1126512	1133451	GPER1	protein_coding
ENSG00000164850	ENST00000397088	7	1	1127723	1133446	GPER1	protein_coding
ENSG00000178381	ENST00000401903	7	-1	1191707	1199814	ZFAND2A	protein_coding
ENSG00000178381	ENST00000397083	7	-1	1192543	1199789	ZFAND2A	protein_coding
ENSG00000178381	ENST00000316495	7	-1	1192543	1199814	ZFAND2A	protein_coding
ENSG00000178381	ENST00000574135	7	-1	1192544	1197368	ZFAND2A	protein_coding
