ENSG00000178591	ENST00000382410	20	1	68351	77174	DEFB125	protein_coding
ENSG00000125788	ENST00000382398	20	1	123010	126392	DEFB126	protein_coding
ENSG00000088782	ENST00000382388	20	1	138111	139804	DEFB127	protein_coding
ENSG00000185982	ENST00000334391	20	-1	168494	170322	DEFB128	protein_coding
ENSG00000125903	ENST00000246105	20	1	207899	210527	DEFB129	protein_coding
ENSG00000186458	ENST00000382376	20	1	238377	241737	DEFB132	protein_coding
ENSG00000196476	ENST00000382369	20	-1	251504	271070	C20orf96	protein_coding
ENSG00000196476	ENST00000360321	20	-1	251504	271390	C20orf96	protein_coding
ENSG00000196476	ENST00000400269	20	-1	257210	271304	C20orf96	protein_coding
ENSG00000177764	ENST00000382352	20	1	277737	280965	ZCCHC3	protein_coding
ENSG00000177732	ENST00000544632	20	1	306207	309181	SOX12	protein_coding
ENSG00000177732	ENST00000342665	20	1	306239	310865	SOX12	protein_coding
ENSG00000125841	ENST00000609179	20	1	327426	334137	NRSN2	protein_coding
ENSG00000125841	ENST00000382291	20	1	327668	335512	NRSN2	protein_coding
ENSG00000125841	ENST00000609504	20	1	327749	334146	NRSN2	protein_coding
ENSG00000125841	ENST00000382285	20	1	327749	334473	NRSN2	protein_coding
ENSG00000125841	ENST00000470439	20	1	328944	334147	NRSN2	protein_coding
ENSG00000125841	ENST00000608736	20	1	329893	340304	NRSN2	protein_coding
ENSG00000125841	ENST00000608875	20	1	330370	335492	NRSN2	protein_coding
ENSG00000101255	ENST00000217233	20	1	361261	378203	TRIB3	protein_coding
ENSG00000101255	ENST00000449710	20	1	361890	377072	TRIB3	protein_coding
ENSG00000101255	ENST00000422053	20	1	361941	377392	TRIB3	protein_coding
ENSG00000125826	ENST00000411647	20	1	388142	398466	RBCK1	protein_coding
ENSG00000125826	ENST00000356286	20	1	388697	411610	RBCK1	protein_coding
ENSG00000125826	ENST00000475269	20	1	388722	391408	RBCK1	protein_coding
ENSG00000125826	ENST00000441733	20	1	388791	398467	RBCK1	protein_coding
ENSG00000125826	ENST00000353660	20	1	388815	411610	RBCK1	protein_coding
ENSG00000125826	ENST00000382181	20	1	388957	411610	RBCK1	protein_coding
ENSG00000125826	ENST00000400247	20	1	388987	391408	RBCK1	protein_coding
ENSG00000125826	ENST00000414880	20	1	390528	400286	RBCK1	protein_coding
ENSG00000125875	ENST00000354200	20	-1	416124	443197	TBC1D20	protein_coding
ENSG00000101266	ENST00000400227	20	-1	459116	524340	CSNK2A1	protein_coding
ENSG00000101266	ENST00000217244	20	-1	461741	524465	CSNK2A1	protein_coding
ENSG00000101266	ENST00000349736	20	-1	461741	524465	CSNK2A1	protein_coding
ENSG00000101266	ENST00000400217	20	-1	464345	524431	CSNK2A1	protein_coding
ENSG00000101266	ENST00000460062	20	-1	476384	524373	CSNK2A1	protein_coding
ENSG00000101266	ENST00000608066	20	-1	480553	524373	CSNK2A1	protein_coding
ENSG00000101266	ENST00000609525	20	-1	480568	521719	CSNK2A1	protein_coding
ENSG00000125878	ENST00000246080	20	-1	584441	591042	TCF15	protein_coding
ENSG00000271303	ENST00000381962	20	-1	627259	634014	SRXN1	protein_coding
ENSG00000270299	ENST00000488788	20	-1	627270	656444	RP5-850E9.3	protein_coding
ENSG00000215397	ENST00000246104	20	-1	642240	656823	SCRT2	protein_coding
ENSG00000101276	ENST00000217254	20	-1	740724	749131	SLC52A3	protein_coding
ENSG00000101276	ENST00000381944	20	-1	740724	749131	SLC52A3	protein_coding
ENSG00000125898	ENST00000381941	20	1	814358	826922	FAM110A	protein_coding
ENSG00000125898	ENST00000304189	20	1	814420	826922	FAM110A	protein_coding
ENSG00000125898	ENST00000381939	20	1	814427	826922	FAM110A	protein_coding
ENSG00000125898	ENST00000246100	20	1	816711	826922	FAM110A	protein_coding
ENSG00000125898	ENST00000541082	20	1	825285	826922	FAM110A	protein_coding
ENSG00000125898	ENST00000505691	20	1	825767	838106	FAM110A	protein_coding
ENSG00000101280	ENST00000381922	20	-1	853296	896960	ANGPT4	protein_coding
ENSG00000101280	ENST00000546022	20	-1	853402	896977	ANGPT4	protein_coding
ENSG00000101282	ENST00000217260	20	-1	939095	982904	RSPO4	protein_coding
ENSG00000101282	ENST00000400634	20	-1	940897	982907	RSPO4	protein_coding
ENSG00000125818	ENST00000381898	20	1	1093906	1147009	PSMF1	protein_coding
ENSG00000125818	ENST00000333082	20	1	1093906	1148426	PSMF1	protein_coding
ENSG00000125818	ENST00000381899	20	1	1093921	1115949	PSMF1	protein_coding
ENSG00000125818	ENST00000246015	20	1	1099241	1147972	PSMF1	protein_coding
ENSG00000125818	ENST00000335877	20	1	1099241	1149022	PSMF1	protein_coding
ENSG00000125818	ENST00000438768	20	1	1099280	1147334	PSMF1	protein_coding
ENSG00000125818	ENST00000435720	20	1	1115821	1145703	PSMF1	protein_coding
ENSG00000125895	ENST00000381894	20	-1	1161205	1165117	TMEM74B	protein_coding
ENSG00000125895	ENST00000429036	20	-1	1161801	1165319	TMEM74B	protein_coding
ENSG00000215595	ENST00000400633	20	1	1184098	1188918	C20orf202	protein_coding
ENSG00000244588	ENST00000402452	20	1	1206700	1277065	RAD21L1	protein_coding
ENSG00000244588	ENST00000409241	20	1	1206764	1235145	RAD21L1	protein_coding
ENSG00000244588	ENST00000381882	20	1	1206764	1277041	RAD21L1	protein_coding
ENSG00000244588	ENST00000246108	20	1	1206779	1210575	RAD21L1	protein_coding
ENSG00000101298	ENST00000381873	20	1	1246960	1289972	SNPH	protein_coding
ENSG00000101298	ENST00000381867	20	1	1246999	1289972	SNPH	protein_coding
ENSG00000125775	ENST00000381808	20	-1	1290619	1294317	SDCBP2	protein_coding
ENSG00000125775	ENST00000381812	20	-1	1290619	1306351	SDCBP2	protein_coding
ENSG00000125775	ENST00000339987	20	-1	1290619	1306513	SDCBP2	protein_coding
ENSG00000125775	ENST00000360779	20	-1	1290619	1309883	SDCBP2	protein_coding
ENSG00000203630	ENST00000537552	20	-1	1316228	1317555	AL136531.1	protein_coding
ENSG00000088832	ENST00000400137	20	-1	1349622	1373806	FKBP1A	protein_coding
ENSG00000088832	ENST00000381724	20	-1	1350224	1373682	FKBP1A	protein_coding
ENSG00000088832	ENST00000381719	20	-1	1352366	1373672	FKBP1A	protein_coding
ENSG00000088832	ENST00000381715	20	-1	1352422	1373606	FKBP1A	protein_coding
ENSG00000088832	ENST00000439640	20	-1	1352756	1373642	FKBP1A	protein_coding
ENSG00000088833	ENST00000353088	20	-1	1422807	1447473	NSFL1C	protein_coding
ENSG00000088833	ENST00000476071	20	-1	1422807	1447563	NSFL1C	protein_coding
ENSG00000088833	ENST00000216879	20	-1	1422807	1448337	NSFL1C	protein_coding
ENSG00000088833	ENST00000381658	20	-1	1422811	1448417	NSFL1C	protein_coding
ENSG00000088833	ENST00000350991	20	-1	1424184	1447489	NSFL1C	protein_coding
ENSG00000196209	ENST00000359801	20	-1	1455236	1472042	SIRPB2	protein_coding
ENSG00000196209	ENST00000444444	20	-1	1456785	1472127	SIRPB2	protein_coding
ENSG00000196209	ENST00000537284	20	-1	1457285	1472059	SIRPB2	protein_coding
ENSG00000125900	ENST00000429387	20	-1	1514897	1532585	SIRPD	protein_coding
ENSG00000125900	ENST00000381621	20	-1	1514897	1538351	SIRPD	protein_coding
ENSG00000125900	ENST00000381623	20	-1	1514897	1539489	SIRPD	protein_coding
ENSG00000260861	ENST00000566961	20	-1	1520790	1592209	RP4-576H24.4	protein_coding
ENSG00000260861	ENST00000567028	20	-1	1532584	1569315	RP4-576H24.4	protein_coding
ENSG00000260861	ENST00000564763	20	-1	1532606	1600655	RP4-576H24.4	protein_coding
ENSG00000101307	ENST00000381605	20	-1	1544167	1600655	SIRPB1	protein_coding
ENSG00000101307	ENST00000381603	20	-1	1545029	1600642	SIRPB1	protein_coding
ENSG00000101307	ENST00000262929	20	-1	1545030	1569278	SIRPB1	protein_coding
ENSG00000101307	ENST00000569629	20	-1	1545851	1592066	SIRPB1	protein_coding
ENSG00000101307	ENST00000563840	20	-1	1546876	1569393	SIRPB1	protein_coding
ENSG00000101307	ENST00000565076	20	-1	1551163	1552558	SIRPB1	protein_coding
