ENSG00000268640	ENST00000594563	12	1	147052	147377	AC026369.1	protein_coding
ENSG00000120645	ENST00000538872	12	1	175931	287626	IQSEC3	protein_coding
ENSG00000120645	ENST00000326261	12	1	176049	287620	IQSEC3	protein_coding
ENSG00000120645	ENST00000382841	12	1	186542	280496	IQSEC3	protein_coding
ENSG00000111181	ENST00000359674	12	-1	299243	322863	SLC6A12	protein_coding
ENSG00000111181	ENST00000397296	12	-1	299252	319771	SLC6A12	protein_coding
ENSG00000111181	ENST00000428720	12	-1	299252	323689	SLC6A12	protein_coding
ENSG00000111181	ENST00000424061	12	-1	299302	322504	SLC6A12	protein_coding
ENSG00000111181	ENST00000536824	12	-1	300234	323286	SLC6A12	protein_coding
ENSG00000111181	ENST00000537793	12	-1	311958	320382	SLC6A12	protein_coding
ENSG00000111181	ENST00000535347	12	-1	312035	323256	SLC6A12	protein_coding
ENSG00000010379	ENST00000445055	12	-1	329789	372039	SLC6A13	protein_coding
ENSG00000010379	ENST00000343164	12	-1	329791	372002	SLC6A13	protein_coding
ENSG00000010379	ENST00000546319	12	-1	344360	372039	SLC6A13	protein_coding
ENSG00000010379	ENST00000436453	12	-1	368171	372002	SLC6A13	protein_coding
ENSG00000073614	ENST00000399788	12	-1	389295	498620	KDM5A	protein_coding
ENSG00000073614	ENST00000382815	12	-1	395329	498620	KDM5A	protein_coding
ENSG00000073614	ENST00000544760	12	-1	419057	498448	KDM5A	protein_coding
ENSG00000073614	ENST00000535014	12	-1	475136	498430	KDM5A	protein_coding
ENSG00000073614	ENST00000536014	12	-1	475212	497696	KDM5A	protein_coding
ENSG00000073614	ENST00000543507	12	-1	493197	498439	KDM5A	protein_coding
ENSG00000120647	ENST00000540180	12	1	498514	551170	CCDC77	protein_coding
ENSG00000120647	ENST00000422000	12	1	498516	551804	CCDC77	protein_coding
ENSG00000120647	ENST00000535052	12	1	498528	527665	CCDC77	protein_coding
ENSG00000120647	ENST00000543504	12	1	498561	550096	CCDC77	protein_coding
ENSG00000120647	ENST00000239830	12	1	510742	551811	CCDC77	protein_coding
ENSG00000120647	ENST00000412006	12	1	510803	551808	CCDC77	protein_coding
ENSG00000139044	ENST00000266383	12	1	569530	672675	B4GALNT3	protein_coding
ENSG00000139044	ENST00000322843	12	1	652299	664596	B4GALNT3	protein_coding
ENSG00000171840	ENST00000305108	12	-1	673462	772945	NINJ2	protein_coding
ENSG00000171840	ENST00000397265	12	-1	673542	719584	NINJ2	protein_coding
ENSG00000171840	ENST00000542920	12	-1	673747	752831	NINJ2	protein_coding
ENSG00000171840	ENST00000433832	12	-1	674526	752802	NINJ2	protein_coding
ENSG00000060237	ENST00000535572	12	1	861759	1020466	WNK1	protein_coding
ENSG00000060237	ENST00000315939	12	1	862089	1020618	WNK1	protein_coding
ENSG00000060237	ENST00000537687	12	1	862089	1020618	WNK1	protein_coding
ENSG00000060237	ENST00000447667	12	1	862222	936667	WNK1	protein_coding
ENSG00000060237	ENST00000530271	12	1	862732	1017958	WNK1	protein_coding
ENSG00000060237	ENST00000340908	12	1	960859	1020618	WNK1	protein_coding
ENSG00000060237	ENST00000544965	12	1	971247	992160	WNK1	protein_coding
ENSG00000060237	ENST00000545285	12	1	971340	990083	WNK1	protein_coding
ENSG00000060237	ENST00000535698	12	1	971401	989980	WNK1	protein_coding
ENSG00000060237	ENST00000574564	12	1	976960	978360	WNK1	protein_coding
ENSG00000060237	ENST00000574679	12	1	977734	987478	WNK1	protein_coding
ENSG00000060237	ENST00000534872	12	1	990930	993854	WNK1	protein_coding
ENSG00000060237	ENST00000544559	12	1	1009763	1017122	WNK1	protein_coding
ENSG00000060237	ENST00000543065	12	1	1009764	1013653	WNK1	protein_coding
ENSG00000002016	ENST00000358495	12	-1	1021243	1058888	RAD52	protein_coding
ENSG00000002016	ENST00000430095	12	-1	1021711	1099219	RAD52	protein_coding
ENSG00000002016	ENST00000539046	12	-1	1022316	1058835	RAD52	protein_coding
ENSG00000002016	ENST00000536177	12	-1	1025372	1058833	RAD52	protein_coding
ENSG00000002016	ENST00000545564	12	-1	1034629	1042224	RAD52	protein_coding
ENSG00000002016	ENST00000542785	12	-1	1036389	1058794	RAD52	protein_coding
ENSG00000002016	ENST00000397230	12	-1	1038938	1058685	RAD52	protein_coding
ENSG00000002016	ENST00000544742	12	-1	1039096	1058815	RAD52	protein_coding
ENSG00000002016	ENST00000541619	12	-1	1039103	1058839	RAD52	protein_coding
ENSG00000082805	ENST00000545318	12	1	1099675	1137338	ERC1	protein_coding
ENSG00000082805	ENST00000543086	12	1	1100374	1605099	ERC1	protein_coding
ENSG00000082805	ENST00000546231	12	1	1100399	1599895	ERC1	protein_coding
ENSG00000082805	ENST00000397203	12	1	1100404	1605090	ERC1	protein_coding
ENSG00000082805	ENST00000592048	12	1	1100429	1225199	ERC1	protein_coding
ENSG00000082805	ENST00000360905	12	1	1100464	1601653	ERC1	protein_coding
ENSG00000082805	ENST00000589132	12	1	1100788	1137505	ERC1	protein_coding
ENSG00000082805	ENST00000589028	12	1	1136913	1605090	ERC1	protein_coding
ENSG00000082805	ENST00000355446	12	1	1136938	1601653	ERC1	protein_coding
ENSG00000082805	ENST00000539802	12	1	1517358	1554221	ERC1	protein_coding
ENSG00000111186	ENST00000539198	12	1	1639057	1748875	WNT5B	protein_coding
ENSG00000111186	ENST00000545811	12	1	1639985	1748993	WNT5B	protein_coding
ENSG00000171823	ENST00000339235	12	-1	1675159	1703331	FBXL14	protein_coding
ENSG00000111186	ENST00000537031	12	1	1683823	1755533	WNT5B	protein_coding
ENSG00000111186	ENST00000310594	12	1	1726222	1756377	WNT5B	protein_coding
ENSG00000111186	ENST00000397196	12	1	1738363	1756409	WNT5B	protein_coding
ENSG00000111186	ENST00000543071	12	1	1739978	1755099	WNT5B	protein_coding
ENSG00000111186	ENST00000542408	12	1	1740481	1755099	WNT5B	protein_coding
ENSG00000006831	ENST00000357103	12	1	1800193	1897844	ADIPOR2	protein_coding
ENSG00000151062	ENST00000382722	12	-1	1901123	2028002	CACNA2D4	protein_coding
ENSG00000151062	ENST00000538450	12	-1	1902209	1920957	CACNA2D4	protein_coding
ENSG00000151062	ENST00000587995	12	-1	1902335	2027697	CACNA2D4	protein_coding
ENSG00000151062	ENST00000588077	12	-1	1902732	2024393	CACNA2D4	protein_coding
ENSG00000151062	ENST00000538027	12	-1	1902769	1920926	CACNA2D4	protein_coding
ENSG00000151062	ENST00000536846	12	-1	1902780	1920886	CACNA2D4	protein_coding
ENSG00000151062	ENST00000586184	12	-1	1904275	2027639	CACNA2D4	protein_coding
ENSG00000151062	ENST00000585708	12	-1	1904309	2024393	CACNA2D4	protein_coding
ENSG00000151062	ENST00000585732	12	-1	1918545	2027712	CACNA2D4	protein_coding
ENSG00000166159	ENST00000543818	12	1	1929433	1945918	LRTM2	protein_coding
