ENSG00000170122	ENST00000382500	9	-1	116237	118417	FOXD4	protein_coding
ENSG00000172785	ENST00000356521	9	-1	121041	179058	CBWD1	protein_coding
ENSG00000172785	ENST00000377400	9	-1	121042	179072	CBWD1	protein_coding
ENSG00000172785	ENST00000382447	9	-1	121409	179021	CBWD1	protein_coding
ENSG00000172785	ENST00000314367	9	-1	121410	179028	CBWD1	protein_coding
ENSG00000172785	ENST00000377447	9	-1	153634	179025	CBWD1	protein_coding
ENSG00000172785	ENST00000431099	9	-1	160088	179018	CBWD1	protein_coding
ENSG00000172785	ENST00000382393	9	-1	171953	179058	CBWD1	protein_coding
ENSG00000172785	ENST00000382389	9	-1	172945	179023	CBWD1	protein_coding
ENSG00000183784	ENST00000382387	9	-1	213108	215893	C9orf66	protein_coding
ENSG00000107099	ENST00000453981	9	1	214865	465255	DOCK8	protein_coding
ENSG00000107099	ENST00000432829	9	1	214865	465259	DOCK8	protein_coding
ENSG00000107099	ENST00000479404	9	1	215171	289579	DOCK8	protein_coding
ENSG00000107099	ENST00000487230	9	1	273050	304703	DOCK8	protein_coding
ENSG00000107099	ENST00000469391	9	1	273070	464526	DOCK8	protein_coding
ENSG00000107099	ENST00000382331	9	1	366229	405099	DOCK8	protein_coding
ENSG00000107099	ENST00000382329	9	1	366251	465255	DOCK8	protein_coding
ENSG00000107104	ENST00000382303	9	1	470291	746105	KANK1	protein_coding
ENSG00000107104	ENST00000382297	9	1	504716	746105	KANK1	protein_coding
ENSG00000107104	ENST00000382293	9	1	706889	746103	KANK1	protein_coding
ENSG00000107104	ENST00000382289	9	1	732442	746102	KANK1	protein_coding
ENSG00000107104	ENST00000382286	9	1	732616	746104	KANK1	protein_coding
ENSG00000137090	ENST00000382276	9	1	841690	969090	DMRT1	protein_coding
ENSG00000137090	ENST00000569227	9	1	842714	968515	DMRT1	protein_coding
ENSG00000064218	ENST00000190165	9	1	976964	991731	DMRT3	protein_coding
ENSG00000064218	ENST00000417254	9	1	989837	990333	DMRT3	protein_coding
ENSG00000173253	ENST00000382255	9	1	1050354	1057547	DMRT2	protein_coding
ENSG00000173253	ENST00000382251	9	1	1050354	1057550	DMRT2	protein_coding
ENSG00000173253	ENST00000412350	9	1	1050355	1055872	DMRT2	protein_coding
ENSG00000173253	ENST00000302441	9	1	1050620	1057550	DMRT2	protein_coding
ENSG00000173253	ENST00000259622	9	1	1051614	1057552	DMRT2	protein_coding
ENSG00000173253	ENST00000358146	9	1	1051614	1057552	DMRT2	protein_coding
ENSG00000080503	ENST00000349721	9	1	2015342	2193624	SMARCA2	protein_coding
ENSG00000080503	ENST00000357248	9	1	2015342	2193624	SMARCA2	protein_coding
ENSG00000080503	ENST00000450198	9	1	2015374	2060971	SMARCA2	protein_coding
