ENSG00000279493	ENST00000624081	21	1	5011799	5017145	FP565260.4	protein_coding
ENSG00000277117	ENST00000612610	21	1	5022493	5040661	FP565260.3	protein_coding
ENSG00000277117	ENST00000620481	21	1	5022493	5040666	FP565260.3	protein_coding
ENSG00000277117	ENST00000623960	21	1	5022494	5036771	FP565260.3	protein_coding
ENSG00000277117	ENST00000623795	21	1	5022533	5036125	FP565260.3	protein_coding
ENSG00000280071	ENST00000624810	21	-1	5079294	5127927	GATD3B	protein_coding
ENSG00000280071	ENST00000625036	21	-1	5079294	5127927	GATD3B	protein_coding
ENSG00000280071	ENST00000620015	21	-1	5116341	5127143	GATD3B	protein_coding
ENSG00000280071	ENST00000620528	21	-1	5116341	5128425	GATD3B	protein_coding
ENSG00000276612	ENST00000623476	21	-1	5116343	5133805	FP565260.2	protein_coding
ENSG00000280071	ENST00000624120	21	-1	5116937	5128372	GATD3B	protein_coding
ENSG00000280071	ENST00000624648	21	-1	5120634	5128273	GATD3B	protein_coding
ENSG00000275464	ENST00000617716	21	-1	5130871	5154734	FP565260.1	protein_coding
ENSG00000280433	ENST00000623998	21	-1	5155499	5163695	FP565260.6	protein_coding
ENSG00000274559	ENST00000464664	21	-1	5972924	5973383	H2BFS	protein_coding
ENSG00000275993	ENST00000613488	21	1	6111134	6123739	SIK1B	protein_coding
ENSG00000274276	ENST00000624406	21	-1	6444869	6467509	CBSL	protein_coding
ENSG00000274276	ENST00000398168	21	-1	6444869	6467532	CBSL	protein_coding
ENSG00000274276	ENST00000618024	21	-1	6444869	6468040	CBSL	protein_coding
ENSG00000274276	ENST00000617706	21	-1	6444873	6468040	CBSL	protein_coding
ENSG00000274276	ENST00000624934	21	-1	6445433	6467532	CBSL	protein_coding
ENSG00000275895	ENST00000623375	21	-1	6484623	6496930	U2AF1L5	protein_coding
ENSG00000275895	ENST00000610664	21	-1	6484623	6499200	U2AF1L5	protein_coding
ENSG00000275895	ENST00000639996	21	-1	6484624	6499256	U2AF1L5	protein_coding
ENSG00000275895	ENST00000619610	21	-1	6484709	6499202	U2AF1L5	protein_coding
ENSG00000276076	ENST00000619537	21	1	6560714	6564489	CRYAA2	protein_coding
ENSG00000276076	ENST00000624019	21	1	6561284	6563978	CRYAA2	protein_coding
ENSG00000276076	ENST00000624932	21	1	6561954	6564203	CRYAA2	protein_coding
ENSG00000273590	ENST00000622934	21	1	7744971	7772246	SMIM11B	protein_coding
ENSG00000273590	ENST00000619874	21	1	7744975	7758627	SMIM11B	protein_coding
ENSG00000273590	ENST00000612624	21	1	7744983	7772253	SMIM11B	protein_coding
ENSG00000273590	ENST00000624304	21	1	7745039	7756113	SMIM11B	protein_coding
ENSG00000273590	ENST00000624758	21	1	7745075	7758629	SMIM11B	protein_coding
ENSG00000273590	ENST00000623661	21	1	7748899	7777853	SMIM11B	protein_coding
ENSG00000277277	ENST00000613894	21	-1	7768884	7770591	FAM243B	protein_coding
ENSG00000278961	ENST00000646133	21	-1	7784482	7789509	SMIM34B	protein_coding
ENSG00000278961	ENST00000624951	21	-1	7788703	7793954	SMIM34B	protein_coding
ENSG00000276289	ENST00000622690	21	-1	7816675	7829926	KCNE1B	protein_coding
ENSG00000276289	ENST00000618699	21	-1	7816678	7829592	KCNE1B	protein_coding
ENSG00000276289	ENST00000623803	21	-1	7819044	7829587	KCNE1B	protein_coding
ENSG00000276289	ENST00000617668	21	-1	7819361	7825797	KCNE1B	protein_coding
ENSG00000274391	ENST00000612957	21	1	10521572	10567699	TPTE	protein_coding
ENSG00000274391	ENST00000427445	21	1	10521575	10605716	TPTE	protein_coding
ENSG00000274391	ENST00000612746	21	1	10521575	10605716	TPTE	protein_coding
ENSG00000274391	ENST00000618007	21	1	10521575	10605716	TPTE	protein_coding
ENSG00000166351	ENST00000620442	21	1	13609858	13625542	POTED	protein_coding
