ENSG00000184731	ENST00000327669	2	-1	38814	46385	FAM110C	protein_coding
ENSG00000035115	ENST00000403712	2	-1	218136	264032	SH3YL1	protein_coding
ENSG00000035115	ENST00000626873	2	-1	218149	264158	SH3YL1	protein_coding
ENSG00000035115	ENST00000403657	2	-1	218151	261323	SH3YL1	protein_coding
ENSG00000035115	ENST00000405430	2	-1	218153	264179	SH3YL1	protein_coding
ENSG00000035115	ENST00000356150	2	-1	218158	264065	SH3YL1	protein_coding
ENSG00000035115	ENST00000403658	2	-1	218666	264810	SH3YL1	protein_coding
ENSG00000035115	ENST00000451005	2	-1	218797	253041	SH3YL1	protein_coding
ENSG00000035115	ENST00000431160	2	-1	229894	253113	SH3YL1	protein_coding
ENSG00000035115	ENST00000481932	2	-1	230379	234231	SH3YL1	protein_coding
ENSG00000035115	ENST00000454318	2	-1	233169	264824	SH3YL1	protein_coding
ENSG00000035115	ENST00000402632	2	-1	239561	264810	SH3YL1	protein_coding
ENSG00000035115	ENST00000415368	2	-1	249805	264810	SH3YL1	protein_coding
ENSG00000143727	ENST00000272067	2	1	264869	278283	ACP1	protein_coding
ENSG00000143727	ENST00000272065	2	1	264872	278283	ACP1	protein_coding
ENSG00000143727	ENST00000407983	2	1	264900	272557	ACP1	protein_coding
ENSG00000143727	ENST00000439645	2	1	264916	272630	ACP1	protein_coding
ENSG00000143727	ENST00000405233	2	1	264926	273155	ACP1	protein_coding
ENSG00000189292	ENST00000403610	2	-1	279558	288296	ALKAL2	protein_coding
ENSG00000189292	ENST00000401503	2	-1	279766	287323	ALKAL2	protein_coding
ENSG00000189292	ENST00000405290	2	-1	279929	287299	ALKAL2	protein_coding
ENSG00000189292	ENST00000401489	2	-1	279929	287687	ALKAL2	protein_coding
ENSG00000189292	ENST00000619265	2	-1	279929	287837	ALKAL2	protein_coding
ENSG00000189292	ENST00000344414	2	-1	279951	286919	ALKAL2	protein_coding
ENSG00000189292	ENST00000452023	2	-1	283111	288851	ALKAL2	protein_coding
ENSG00000151353	ENST00000281017	2	-1	667335	677439	TMEM18	protein_coding
ENSG00000151353	ENST00000355654	2	-1	667975	676162	TMEM18	protein_coding
ENSG00000151353	ENST00000405941	2	-1	669423	676704	TMEM18	protein_coding
ENSG00000172554	ENST00000308624	2	1	950868	1367613	SNTG2	protein_coding
ENSG00000172554	ENST00000407292	2	1	950939	1367613	SNTG2	protein_coding
ENSG00000115705	ENST00000539820	2	1	1413461	1439399	TPO	protein_coding
ENSG00000115705	ENST00000382269	2	1	1413461	1439402	TPO	protein_coding
ENSG00000115705	ENST00000345913	2	1	1413461	1542726	TPO	protein_coding
ENSG00000115705	ENST00000329066	2	1	1413464	1542727	TPO	protein_coding
ENSG00000115705	ENST00000382201	2	1	1413480	1542727	TPO	protein_coding
ENSG00000115705	ENST00000423320	2	1	1414382	1453726	TPO	protein_coding
ENSG00000115705	ENST00000346956	2	1	1414408	1542726	TPO	protein_coding
ENSG00000115705	ENST00000382198	2	1	1414409	1542474	TPO	protein_coding
ENSG00000115705	ENST00000422464	2	1	1433472	1543711	TPO	protein_coding
ENSG00000115705	ENST00000446278	2	1	1484663	1542660	TPO	protein_coding
ENSG00000115705	ENST00000469607	2	1	1484665	1542649	TPO	protein_coding
ENSG00000130508	ENST00000252804	2	-1	1631887	1744506	PXDN	protein_coding
ENSG00000130508	ENST00000433670	2	-1	1653076	1744442	PXDN	protein_coding
ENSG00000130508	ENST00000447941	2	-1	1676957	1692570	PXDN	protein_coding
ENSG00000130508	ENST00000425171	2	-1	1677030	1744502	PXDN	protein_coding
ENSG00000186487	ENST00000647755	2	-1	1789113	2326210	MYT1L	protein_coding
ENSG00000186487	ENST00000647738	2	-1	1789113	2331378	MYT1L	protein_coding
ENSG00000186487	ENST00000644820	2	-1	1789124	2331348	MYT1L	protein_coding
ENSG00000186487	ENST00000648627	2	-1	1789131	2331234	MYT1L	protein_coding
ENSG00000186487	ENST00000407844	2	-1	1789136	1842891	MYT1L	protein_coding
ENSG00000186487	ENST00000399161	2	-1	1789136	2331263	MYT1L	protein_coding
ENSG00000186487	ENST00000648339	2	-1	1789137	2324345	MYT1L	protein_coding
