ENSG00000173213	ENST00000308911	18	-1	47390	49557	TUBB8P12	protein_coding
ENSG00000101557	ENST00000582707	18	1	158383	211391	USP14	protein_coding
ENSG00000101557	ENST00000400266	18	1	158536	211350	USP14	protein_coding
ENSG00000101557	ENST00000580410	18	1	158557	163431	USP14	protein_coding
ENSG00000101557	ENST00000383589	18	1	158591	211997	USP14	protein_coding
ENSG00000101557	ENST00000261601	18	1	158608	214629	USP14	protein_coding
ENSG00000101557	ENST00000581983	18	1	158858	163454	USP14	protein_coding
ENSG00000079134	ENST00000261600	18	-1	214521	268027	THOC1	protein_coding
ENSG00000079134	ENST00000616322	18	-1	214522	268019	THOC1	protein_coding
ENSG00000079134	ENST00000631280	18	-1	214522	268019	THOC1	protein_coding
ENSG00000079134	ENST00000579891	18	-1	216486	246433	THOC1	protein_coding
ENSG00000079134	ENST00000621904	18	-1	225289	265536	THOC1	protein_coding
ENSG00000079134	ENST00000584642	18	-1	246068	252577	THOC1	protein_coding
ENSG00000158270	ENST00000400256	18	-1	316740	500722	COLEC12	protein_coding
ENSG00000177143	ENST00000327228	18	1	580357	582114	CETN1	protein_coding
ENSG00000079101	ENST00000579912	18	1	596988	619320	CLUL1	protein_coding
ENSG00000079101	ENST00000400606	18	1	596998	650298	CLUL1	protein_coding
ENSG00000079101	ENST00000540035	18	1	597023	650334	CLUL1	protein_coding
ENSG00000079101	ENST00000581619	18	1	597674	645227	CLUL1	protein_coding
ENSG00000079101	ENST00000620089	18	1	607080	650291	CLUL1	protein_coding
ENSG00000079101	ENST00000338387	18	1	616672	650298	CLUL1	protein_coding
ENSG00000079101	ENST00000579494	18	1	616718	650182	CLUL1	protein_coding
ENSG00000079101	ENST00000585155	18	1	641472	650175	CLUL1	protein_coding
ENSG00000176890	ENST00000323274	18	1	657604	673578	TYMS	protein_coding
ENSG00000176890	ENST00000323250	18	1	657743	672997	TYMS	protein_coding
ENSG00000176890	ENST00000323224	18	1	657743	673484	TYMS	protein_coding
ENSG00000132199	ENST00000647584	18	-1	670324	712517	ENOSF1	protein_coding
ENSG00000132199	ENST00000383578	18	-1	670324	712662	ENOSF1	protein_coding
ENSG00000132199	ENST00000251101	18	-1	673859	712676	ENOSF1	protein_coding
ENSG00000132199	ENST00000340116	18	-1	673900	712593	ENOSF1	protein_coding
ENSG00000132199	ENST00000580982	18	-1	674040	712615	ENOSF1	protein_coding
ENSG00000132199	ENST00000583771	18	-1	690567	712648	ENOSF1	protein_coding
ENSG00000176105	ENST00000577961	18	-1	721588	775266	YES1	protein_coding
ENSG00000176105	ENST00000584307	18	-1	721588	812546	YES1	protein_coding
ENSG00000176105	ENST00000314574	18	-1	721748	812238	YES1	protein_coding
ENSG00000141433	ENST00000450565	18	1	904943	909903	ADCYAP1	protein_coding
ENSG00000141433	ENST00000579794	18	1	905109	912172	ADCYAP1	protein_coding
ENSG00000101574	ENST00000319888	18	-1	2537525	2571509	METTL4	protein_coding
ENSG00000101574	ENST00000576251	18	-1	2537531	2554692	METTL4	protein_coding
ENSG00000101574	ENST00000574538	18	-1	2538453	2571486	METTL4	protein_coding
ENSG00000101574	ENST00000577166	18	-1	2554786	2571233	METTL4	protein_coding
ENSG00000101574	ENST00000609769	18	-1	2566694	2567199	METTL4	protein_coding
ENSG00000101574	ENST00000574676	18	-1	2567007	2571471	METTL4	protein_coding
ENSG00000080986	ENST00000261597	18	1	2571511	2616635	NDC80	protein_coding
ENSG00000080986	ENST00000575515	18	1	2571565	2577869	NDC80	protein_coding
ENSG00000080986	ENST00000576274	18	1	2577849	2582879	NDC80	protein_coding
ENSG00000080986	ENST00000574096	18	1	2610781	2615314	NDC80	protein_coding
ENSG00000101596	ENST00000320876	18	1	2655738	2805017	SMCHD1	protein_coding
ENSG00000101596	ENST00000583800	18	1	2796099	2801263	SMCHD1	protein_coding
ENSG00000132205	ENST00000254528	18	1	2847030	2915993	EMILIN2	protein_coding
ENSG00000101577	ENST00000261596	18	-1	2916994	3011947	LPIN2	protein_coding
ENSG00000101577	ENST00000584294	18	-1	2940605	3013315	LPIN2	protein_coding
ENSG00000101577	ENST00000584915	18	-1	2954516	2982873	LPIN2	protein_coding
ENSG00000101605	ENST00000356443	18	-1	3066807	3220108	MYOM1	protein_coding
ENSG00000101605	ENST00000400569	18	-1	3066808	3193954	MYOM1	protein_coding
ENSG00000101605	ENST00000261606	18	-1	3066953	3219849	MYOM1	protein_coding
ENSG00000101608	ENST00000579226	18	1	3247481	3256227	MYL12A	protein_coding
ENSG00000101608	ENST00000217652	18	1	3247530	3256236	MYL12A	protein_coding
ENSG00000101608	ENST00000578611	18	1	3247813	3256211	MYL12A	protein_coding
ENSG00000101608	ENST00000583449	18	1	3247873	3253284	MYL12A	protein_coding
ENSG00000101608	ENST00000578562	18	1	3252218	3254050	MYL12A	protein_coding
ENSG00000101608	ENST00000536605	18	1	3252275	3256235	MYL12A	protein_coding
ENSG00000101608	ENST00000580887	18	1	3252275	3256235	MYL12A	protein_coding
ENSG00000118680	ENST00000648965	18	1	3261479	3278431	MYL12B	protein_coding
ENSG00000118680	ENST00000237500	18	1	3261909	3278284	MYL12B	protein_coding
ENSG00000118680	ENST00000581193	18	1	3262417	3278284	MYL12B	protein_coding
ENSG00000118680	ENST00000400175	18	1	3262613	3278284	MYL12B	protein_coding
ENSG00000118680	ENST00000584539	18	1	3262956	3278284	MYL12B	protein_coding
ENSG00000177426	ENST00000552383	18	1	3411608	3457684	TGIF1	protein_coding
ENSG00000177426	ENST00000401449	18	1	3411927	3458406	TGIF1	protein_coding
ENSG00000177426	ENST00000550958	18	1	3412854	3457574	TGIF1	protein_coding
ENSG00000177426	ENST00000548489	18	1	3412856	3458406	TGIF1	protein_coding
ENSG00000177426	ENST00000618001	18	1	3447609	3459978	TGIF1	protein_coding
ENSG00000177426	ENST00000549780	18	1	3448499	3457839	TGIF1	protein_coding
ENSG00000177426	ENST00000549253	18	1	3449413	3457456	TGIF1	protein_coding
ENSG00000177426	ENST00000405385	18	1	3449651	3458406	TGIF1	protein_coding
ENSG00000177426	ENST00000343820	18	1	3449704	3458411	TGIF1	protein_coding
ENSG00000177426	ENST00000407501	18	1	3449882	3458349	TGIF1	protein_coding
ENSG00000177426	ENST00000546979	18	1	3450036	3457475	TGIF1	protein_coding
ENSG00000177426	ENST00000551402	18	1	3450177	3457113	TGIF1	protein_coding
ENSG00000177426	ENST00000577543	18	1	3450212	3457604	TGIF1	protein_coding
ENSG00000177426	ENST00000551541	18	1	3451593	3457944	TGIF1	protein_coding
ENSG00000177426	ENST00000345133	18	1	3451670	3458123	TGIF1	protein_coding
ENSG00000177426	ENST00000330513	18	1	3451677	3458411	TGIF1	protein_coding
ENSG00000177426	ENST00000549546	18	1	3451724	3457918	TGIF1	protein_coding
ENSG00000177426	ENST00000549468	18	1	3453774	3457580	TGIF1	protein_coding
ENSG00000177426	ENST00000400167	18	1	3453774	3458406	TGIF1	protein_coding
ENSG00000177426	ENST00000551333	18	1	3455152	3457594	TGIF1	protein_coding
ENSG00000177426	ENST00000472042	18	1	3455414	3458411	TGIF1	protein_coding
ENSG00000170579	ENST00000400147	18	-1	3496032	3845359	DLGAP1	protein_coding
ENSG00000170579	ENST00000400149	18	-1	3496032	3874274	DLGAP1	protein_coding
ENSG00000170579	ENST00000400155	18	-1	3496032	3874280	DLGAP1	protein_coding
ENSG00000170579	ENST00000400150	18	-1	3496032	3874325	DLGAP1	protein_coding
ENSG00000170579	ENST00000515196	18	-1	3496032	3874767	DLGAP1	protein_coding
ENSG00000170579	ENST00000315677	18	-1	3496032	4455335	DLGAP1	protein_coding
ENSG00000170579	ENST00000534970	18	-1	3498867	3874767	DLGAP1	protein_coding
ENSG00000170579	ENST00000539435	18	-1	3498917	3845358	DLGAP1	protein_coding
ENSG00000170579	ENST00000581699	18	-1	3499004	3874253	DLGAP1	protein_coding
ENSG00000170579	ENST00000400145	18	-1	3502137	3845296	DLGAP1	protein_coding
ENSG00000170579	ENST00000581527	18	-1	3502219	4455266	DLGAP1	protein_coding
ENSG00000170579	ENST00000639615	18	-1	3708464	4151290	DLGAP1	protein_coding
ENSG00000231824	ENST00000580650	18	-1	5145285	5197503	AKAIN1	protein_coding
ENSG00000231824	ENST00000434239	18	-1	5145369	5197225	AKAIN1	protein_coding
ENSG00000198081	ENST00000357006	18	-1	5289019	5296040	ZBTB14	protein_coding
ENSG00000198081	ENST00000615385	18	-1	5289020	5295702	ZBTB14	protein_coding
