ENSG00000161980	ENST00000293860	16	-1	46407	53628	POLR3K	protein_coding
ENSG00000161981	ENST00000293861	16	1	53010	57669	SNRNP25	protein_coding
ENSG00000161981	ENST00000383018	16	1	53829	57668	SNRNP25	protein_coding
ENSG00000161981	ENST00000417493	16	1	53899	56613	SNRNP25	protein_coding
ENSG00000007384	ENST00000262316	16	-1	58059	72631	RHBDF1	protein_coding
ENSG00000007384	ENST00000448893	16	-1	58137	59762	RHBDF1	protein_coding
ENSG00000007384	ENST00000450643	16	-1	63157	76355	RHBDF1	protein_coding
ENSG00000007384	ENST00000419764	16	-1	63743	65039	RHBDF1	protein_coding
ENSG00000103152	ENST00000436333	16	1	77007	85684	MPG	protein_coding
ENSG00000103152	ENST00000397817	16	1	77019	85851	MPG	protein_coding
ENSG00000103152	ENST00000356432	16	1	78063	85853	MPG	protein_coding
ENSG00000103152	ENST00000219431	16	1	78257	85842	MPG	protein_coding
ENSG00000103148	ENST00000620134	16	-1	84274	138860	NPRL3	protein_coding
ENSG00000103148	ENST00000399953	16	-1	85801	138512	NPRL3	protein_coding
ENSG00000103148	ENST00000611875	16	-1	85820	138860	NPRL3	protein_coding
ENSG00000103148	ENST00000468260	16	-1	98230	138666	NPRL3	protein_coding
ENSG00000103148	ENST00000419636	16	-1	112660	138335	NPRL3	protein_coding
ENSG00000130656	ENST00000252951	16	1	152687	154503	HBZ	protein_coding
ENSG00000206177	ENST00000356815	16	1	165978	166768	HBM	protein_coding
ENSG00000188536	ENST00000251595	16	1	172876	173710	HBA2	protein_coding
ENSG00000188536	ENST00000397806	16	1	172890	173710	HBA2	protein_coding
ENSG00000188536	ENST00000484216	16	1	172944	173463	HBA2	protein_coding
ENSG00000206172	ENST00000320868	16	1	176680	177522	HBA1	protein_coding
ENSG00000206172	ENST00000397797	16	1	176704	177522	HBA1	protein_coding
ENSG00000086506	ENST00000199708	16	1	180453	181181	HBQ1	protein_coding
ENSG00000007392	ENST00000293872	16	-1	188969	229450	LUC7L	protein_coding
ENSG00000007392	ENST00000337351	16	-1	188969	229463	LUC7L	protein_coding
ENSG00000007392	ENST00000397783	16	-1	188971	229463	LUC7L	protein_coding
ENSG00000007392	ENST00000629543	16	-1	188975	229450	LUC7L	protein_coding
ENSG00000007392	ENST00000429378	16	-1	188990	206087	LUC7L	protein_coding
ENSG00000007392	ENST00000442701	16	-1	189115	190549	LUC7L	protein_coding
ENSG00000007392	ENST00000397780	16	-1	189896	227686	LUC7L	protein_coding
ENSG00000007392	ENST00000430864	16	-1	190541	229422	LUC7L	protein_coding
ENSG00000007392	ENST00000443357	16	-1	206004	227656	LUC7L	protein_coding
ENSG00000007392	ENST00000428363	16	-1	220649	228722	LUC7L	protein_coding
ENSG00000167930	ENST00000399932	16	1	234546	266125	FAM234A	protein_coding
ENSG00000167930	ENST00000301679	16	1	234802	268971	FAM234A	protein_coding
