ENSG00000130538	ENST00000643195	22	1	15528192	15529139	OR11H1	protein_coding
ENSG00000198062	ENST00000343518	22	1	15690026	15721522	POTEH	protein_coding
ENSG00000198062	ENST00000621704	22	1	15690078	15721631	POTEH	protein_coding
ENSG00000198445	ENST00000359963	22	-1	16590751	16592810	CCT8L2	protein_coding
ENSG00000172967	ENST00000331428	22	-1	16783412	16821699	XKR3	protein_coding
ENSG00000215568	ENST00000400588	22	-1	16961936	17008222	GAB4	protein_coding
ENSG00000215568	ENST00000643316	22	-1	16962733	17008114	GAB4	protein_coding
ENSG00000177663	ENST00000319363	22	1	17084959	17115693	IL17RA	protein_coding
ENSG00000177663	ENST00000612619	22	1	17084959	17115694	IL17RA	protein_coding
ENSG00000183307	ENST00000399875	22	-1	17116299	17121367	TMEM121B	protein_coding
ENSG00000183307	ENST00000331437	22	-1	17116300	17121253	TMEM121B	protein_coding
ENSG00000069998	ENST00000155674	22	-1	17137511	17165287	HDHD5	protein_coding
ENSG00000069998	ENST00000336737	22	-1	17137520	17159277	HDHD5	protein_coding
ENSG00000069998	ENST00000399852	22	-1	17137579	17159255	HDHD5	protein_coding
ENSG00000093072	ENST00000610390	22	-1	17178790	17219585	ADA2	protein_coding
ENSG00000093072	ENST00000399837	22	-1	17179303	17219434	ADA2	protein_coding
ENSG00000093072	ENST00000399839	22	-1	17179304	17221989	ADA2	protein_coding
ENSG00000093072	ENST00000330232	22	-1	17179306	17199783	ADA2	protein_coding
ENSG00000093072	ENST00000262607	22	-1	17179306	17209889	ADA2	protein_coding
ENSG00000093072	ENST00000647714	22	-1	17180884	17219585	ADA2	protein_coding
ENSG00000093072	ENST00000449907	22	-1	17180990	17221848	ADA2	protein_coding
ENSG00000093072	ENST00000649540	22	-1	17181087	17219434	ADA2	protein_coding
ENSG00000093072	ENST00000543038	22	-1	17207157	17219435	ADA2	protein_coding
ENSG00000093072	ENST00000441548	22	-1	17207206	17221854	ADA2	protein_coding
ENSG00000093072	ENST00000649310	22	-1	17209606	17258235	ADA2	protein_coding
ENSG00000093072	ENST00000649746	22	-1	17209606	17258235	ADA2	protein_coding
ENSG00000099954	ENST00000400585	22	1	17359949	17553332	CECR2	protein_coding
ENSG00000099954	ENST00000342247	22	1	17369366	17554145	CECR2	protein_coding
ENSG00000099954	ENST00000262608	22	1	17369888	17553332	CECR2	protein_coding
ENSG00000099954	ENST00000612582	22	1	17477093	17558149	CECR2	protein_coding
ENSG00000182902	ENST00000327451	22	1	17563439	17590994	SLC25A18	protein_coding
ENSG00000182902	ENST00000399813	22	1	17563450	17590881	SLC25A18	protein_coding
ENSG00000131100	ENST00000253413	22	-1	17592136	17628818	ATP6V1E1	protein_coding
ENSG00000131100	ENST00000399796	22	-1	17592169	17628747	ATP6V1E1	protein_coding
ENSG00000131100	ENST00000399798	22	-1	17592409	17628749	ATP6V1E1	protein_coding
ENSG00000131100	ENST00000413576	22	-1	17594539	17628733	ATP6V1E1	protein_coding
ENSG00000099968	ENST00000399782	22	1	17628916	17702428	BCL2L13	protein_coding
ENSG00000099968	ENST00000337612	22	1	17638584	17730855	BCL2L13	protein_coding
ENSG00000099968	ENST00000418951	22	1	17638584	17730855	BCL2L13	protein_coding
ENSG00000099968	ENST00000538149	22	1	17638584	17730855	BCL2L13	protein_coding
ENSG00000099968	ENST00000543133	22	1	17638584	17730855	BCL2L13	protein_coding
ENSG00000099968	ENST00000611738	22	1	17638584	17730855	BCL2L13	protein_coding
ENSG00000099968	ENST00000616863	22	1	17638584	17730855	BCL2L13	protein_coding
ENSG00000099968	ENST00000618481	22	1	17638584	17730855	BCL2L13	protein_coding
ENSG00000099968	ENST00000317582	22	1	17638590	17728721	BCL2L13	protein_coding
ENSG00000099968	ENST00000493680	22	1	17638772	17703733	BCL2L13	protein_coding
ENSG00000099968	ENST00000355028	22	1	17638811	17730622	BCL2L13	protein_coding
ENSG00000015475	ENST00000317361	22	-1	17734138	17774016	BID	protein_coding
ENSG00000015475	ENST00000615414	22	-1	17734142	17774042	BID	protein_coding
ENSG00000015475	ENST00000399767	22	-1	17734142	17774495	BID	protein_coding
ENSG00000015475	ENST00000614949	22	-1	17734142	17774495	BID	protein_coding
ENSG00000015475	ENST00000622694	22	-1	17734142	17774495	BID	protein_coding
ENSG00000015475	ENST00000399774	22	-1	17734171	17774492	BID	protein_coding
ENSG00000015475	ENST00000399765	22	-1	17734175	17774489	BID	protein_coding
ENSG00000015475	ENST00000342111	22	-1	17735499	17774412	BID	protein_coding
ENSG00000015475	ENST00000551952	22	-1	17735552	17774665	BID	protein_coding
ENSG00000015475	ENST00000611040	22	-1	17735552	17774665	BID	protein_coding
ENSG00000015475	ENST00000617586	22	-1	17740031	17774495	BID	protein_coding
ENSG00000243156	ENST00000441493	22	-1	17787649	18024559	MICAL3	protein_coding
ENSG00000243156	ENST00000577821	22	-1	17790946	17817489	MICAL3	protein_coding
ENSG00000243156	ENST00000579997	22	-1	17791264	17817425	MICAL3	protein_coding
ENSG00000243156	ENST00000584751	22	-1	17803554	17810736	MICAL3	protein_coding
ENSG00000243156	ENST00000498573	22	-1	17819022	17832000	MICAL3	protein_coding
ENSG00000243156	ENST00000578984	22	-1	17819036	17831927	MICAL3	protein_coding
ENSG00000243156	ENST00000400561	22	-1	17834328	17906835	MICAL3	protein_coding
ENSG00000243156	ENST00000414725	22	-1	17839951	17906812	MICAL3	protein_coding
ENSG00000243156	ENST00000383094	22	-1	17841675	17906827	MICAL3	protein_coding
ENSG00000243156	ENST00000461307	22	-1	17860163	17895288	MICAL3	protein_coding
ENSG00000243156	ENST00000585038	22	-1	17864615	17906874	MICAL3	protein_coding
ENSG00000243156	ENST00000424046	22	-1	17904728	18001180	MICAL3	protein_coding
ENSG00000215193	ENST00000610387	22	1	18077920	18091019	PEX26	protein_coding
ENSG00000215193	ENST00000329627	22	1	18077923	18105396	PEX26	protein_coding
ENSG00000215193	ENST00000399744	22	1	18078008	18088460	PEX26	protein_coding
ENSG00000215193	ENST00000428061	22	1	18078377	18088119	PEX26	protein_coding
ENSG00000183785	ENST00000426208	22	1	18110331	18124268	TUBA8	protein_coding
ENSG00000183785	ENST00000316027	22	1	18110687	18131154	TUBA8	protein_coding
ENSG00000183785	ENST00000330423	22	1	18110793	18131731	TUBA8	protein_coding
ENSG00000183785	ENST00000416740	22	1	18121107	18131117	TUBA8	protein_coding
ENSG00000183785	ENST00000608634	22	1	18126707	18146554	TUBA8	protein_coding
ENSG00000184979	ENST00000215794	22	1	18149899	18177397	USP18	protein_coding
ENSG00000274252	ENST00000619998	22	-1	18516344	18518161	GGTLC3	protein_coding
ENSG00000278558	ENST00000612978	22	1	18527802	18530459	TMEM191B	protein_coding
ENSG00000278558	ENST00000613577	22	1	18529042	18530178	TMEM191B	protein_coding
ENSG00000278558	ENST00000613597	22	1	18529810	18530459	TMEM191B	protein_coding
ENSG00000275793	ENST00000619918	22	-1	18605815	18611919	RIMBP3	protein_coding
ENSG00000183628	ENST00000413981	22	1	18906028	18912088	DGCR6	protein_coding
ENSG00000183628	ENST00000331444	22	1	18906223	18912088	DGCR6	protein_coding
ENSG00000283809	ENST00000638240	22	1	18906238	18947732	AC007326.4	protein_coding
ENSG00000183628	ENST00000608842	22	1	18906353	18908269	DGCR6	protein_coding
ENSG00000100033	ENST00000610940	22	-1	18912777	18936553	PRODH	protein_coding
ENSG00000100033	ENST00000420436	22	-1	18912781	18936296	PRODH	protein_coding
ENSG00000100033	ENST00000334029	22	-1	18912782	18936451	PRODH	protein_coding
ENSG00000100033	ENST00000357068	22	-1	18912782	18936553	PRODH	protein_coding
ENSG00000100033	ENST00000438924	22	-1	18921381	18936142	PRODH	protein_coding
ENSG00000100033	ENST00000450579	22	-1	18922372	18934828	PRODH	protein_coding
ENSG00000100033	ENST00000457083	22	-1	18922880	18936266	PRODH	protein_coding
ENSG00000070413	ENST00000537045	22	-1	19036282	19122454	DGCR2	protein_coding
ENSG00000070413	ENST00000545799	22	-1	19036282	19122454	DGCR2	protein_coding
ENSG00000070413	ENST00000263196	22	-1	19036286	19122454	DGCR2	protein_coding
ENSG00000100056	ENST00000252137	22	-1	19130279	19144684	ESS2	protein_coding
ENSG00000206203	ENST00000399635	22	1	19130808	19132623	TSSK2	protein_coding
