ENSG00000268320	ENST00000595228	17	1	137526	139067	SCGB1C2	protein_coding
ENSG00000272636	ENST00000613549	17	-1	142789	181636	DOC2B	protein_coding
ENSG00000181031	ENST00000618002	17	-1	212389	352842	RPH3AL	protein_coding
ENSG00000181031	ENST00000331302	17	-1	212502	352807	RPH3AL	protein_coding
ENSG00000181031	ENST00000323434	17	-1	212502	353097	RPH3AL	protein_coding
ENSG00000181031	ENST00000536489	17	-1	213645	352842	RPH3AL	protein_coding
ENSG00000181031	ENST00000576420	17	-1	247120	339045	RPH3AL	protein_coding
ENSG00000181031	ENST00000577079	17	-1	247144	352790	RPH3AL	protein_coding
ENSG00000181031	ENST00000574722	17	-1	247191	331027	RPH3AL	protein_coding
ENSG00000181031	ENST00000570638	17	-1	247267	339111	RPH3AL	protein_coding
ENSG00000181031	ENST00000574953	17	-1	261689	327531	RPH3AL	protein_coding
ENSG00000181031	ENST00000573780	17	-1	281769	386254	RPH3AL	protein_coding
ENSG00000181031	ENST00000575736	17	-1	281828	339659	RPH3AL	protein_coding
ENSG00000181031	ENST00000575130	17	-1	319441	386233	RPH3AL	protein_coding
ENSG00000181031	ENST00000575634	17	-1	319507	341423	RPH3AL	protein_coding
ENSG00000181031	ENST00000573588	17	-1	319522	334066	RPH3AL	protein_coding
ENSG00000181031	ENST00000573448	17	-1	321380	338873	RPH3AL	protein_coding
ENSG00000187624	ENST00000360127	17	1	410327	414666	C17orf97	protein_coding
ENSG00000187624	ENST00000571106	17	1	410337	421097	C17orf97	protein_coding
ENSG00000187624	ENST00000491373	17	1	410361	414305	C17orf97	protein_coding
ENSG00000183688	ENST00000329099	17	-1	439978	445939	RFLNB	protein_coding
ENSG00000141252	ENST00000437048	17	-1	508668	714856	VPS53	protein_coding
ENSG00000141252	ENST00000574029	17	-1	517382	714830	VPS53	protein_coding
ENSG00000141252	ENST00000291074	17	-1	532318	714843	VPS53	protein_coding
ENSG00000141252	ENST00000571805	17	-1	532708	714846	VPS53	protein_coding
ENSG00000141252	ENST00000401468	17	-1	532827	714709	VPS53	protein_coding
ENSG00000141252	ENST00000570650	17	-1	600880	628231	VPS53	protein_coding
ENSG00000141252	ENST00000576019	17	-1	653326	721717	VPS53	protein_coding
ENSG00000167695	ENST00000308278	17	1	732412	742972	FAM57A	protein_coding
ENSG00000167695	ENST00000572018	17	1	732546	741365	FAM57A	protein_coding
ENSG00000167695	ENST00000301324	17	1	732584	742841	FAM57A	protein_coding
ENSG00000167695	ENST00000577008	17	1	733125	742014	FAM57A	protein_coding
ENSG00000179409	ENST00000319004	17	-1	744414	752261	GEMIN4	protein_coding
ENSG00000179409	ENST00000576778	17	-1	744623	749351	GEMIN4	protein_coding
ENSG00000179409	ENST00000437269	17	-1	746631	752174	GEMIN4	protein_coding
ENSG00000179409	ENST00000573482	17	-1	747167	752185	GEMIN4	protein_coding
ENSG00000179409	ENST00000570364	17	-1	747240	752776	GEMIN4	protein_coding
ENSG00000179409	ENST00000576383	17	-1	747441	753999	GEMIN4	protein_coding
ENSG00000179409	ENST00000574958	17	-1	747844	752038	GEMIN4	protein_coding
ENSG00000167699	ENST00000301329	17	-1	759097	782341	GLOD4	protein_coding
ENSG00000167699	ENST00000536578	17	-1	759310	783390	GLOD4	protein_coding
ENSG00000167699	ENST00000301328	17	-1	759330	782279	GLOD4	protein_coding
ENSG00000167699	ENST00000573137	17	-1	760073	771404	GLOD4	protein_coding
ENSG00000167699	ENST00000576419	17	-1	760188	782279	GLOD4	protein_coding
ENSG00000167699	ENST00000628529	17	-1	778641	782255	GLOD4	protein_coding
ENSG00000167699	ENST00000625892	17	-1	778790	782255	GLOD4	protein_coding
ENSG00000171861	ENST00000304478	17	1	782273	792509	MRM3	protein_coding
ENSG00000171861	ENST00000571157	17	1	782600	788198	MRM3	protein_coding
ENSG00000167693	ENST00000575801	17	-1	799313	864111	NXN	protein_coding
ENSG00000167693	ENST00000336868	17	-1	799313	979770	NXN	protein_coding
ENSG00000167693	ENST00000571684	17	-1	800481	826001	NXN	protein_coding
ENSG00000167693	ENST00000537628	17	-1	800768	864097	NXN	protein_coding
ENSG00000177370	ENST00000327158	17	1	997117	1003671	TIMM22	protein_coding
ENSG00000159842	ENST00000544583	17	-1	1003527	1187322	ABR	protein_coding
ENSG00000159842	ENST00000572441	17	-1	1005010	1031802	ABR	protein_coding
ENSG00000159842	ENST00000571797	17	-1	1005735	1011920	ABR	protein_coding
ENSG00000159842	ENST00000574437	17	-1	1005791	1125755	ABR	protein_coding
ENSG00000159842	ENST00000291107	17	-1	1005908	1109100	ABR	protein_coding
ENSG00000159842	ENST00000543210	17	-1	1006061	1031838	ABR	protein_coding
ENSG00000159842	ENST00000536794	17	-1	1006080	1079146	ABR	protein_coding
ENSG00000159842	ENST00000574544	17	-1	1050554	1069983	ABR	protein_coding
ENSG00000159842	ENST00000571945	17	-1	1067117	1079122	ABR	protein_coding
ENSG00000159842	ENST00000570441	17	-1	1072733	1115436	ABR	protein_coding
ENSG00000159842	ENST00000575934	17	-1	1083522	1229004	ABR	protein_coding
ENSG00000159842	ENST00000574139	17	-1	1091669	1229738	ABR	protein_coding
ENSG00000159842	ENST00000570525	17	-1	1091792	1126545	ABR	protein_coding
ENSG00000159842	ENST00000574266	17	-1	1091799	1179784	ABR	protein_coding
ENSG00000205899	ENST00000391429	17	1	1270559	1271460	BHLHA9	protein_coding
ENSG00000184811	ENST00000333813	17	1	1279663	1300987	TRARG1	protein_coding
ENSG00000108953	ENST00000264335	17	-1	1344272	1400378	YWHAE	protein_coding
ENSG00000108953	ENST00000571732	17	-1	1344540	1400220	YWHAE	protein_coding
ENSG00000108953	ENST00000573026	17	-1	1344855	1400181	YWHAE	protein_coding
ENSG00000108953	ENST00000496706	17	-1	1345155	1361294	YWHAE	protein_coding
ENSG00000108953	ENST00000575977	17	-1	1345328	1400214	YWHAE	protein_coding
ENSG00000167193	ENST00000398970	17	-1	1420689	1456223	CRK	protein_coding
ENSG00000167193	ENST00000300574	17	-1	1420689	1456258	CRK	protein_coding
ENSG00000167193	ENST00000574295	17	-1	1422226	1456149	CRK	protein_coding
ENSG00000197879	ENST00000648446	17	-1	1464186	1485760	MYO1C	protein_coding
ENSG00000197879	ENST00000438665	17	-1	1464186	1485934	MYO1C	protein_coding
ENSG00000197879	ENST00000575158	17	-1	1464186	1486201	MYO1C	protein_coding
ENSG00000197879	ENST00000648651	17	-1	1464186	1492686	MYO1C	protein_coding
ENSG00000197879	ENST00000359786	17	-1	1464186	1492812	MYO1C	protein_coding
ENSG00000197879	ENST00000361007	17	-1	1464212	1491682	MYO1C	protein_coding
ENSG00000197879	ENST00000646049	17	-1	1464842	1491610	MYO1C	protein_coding
ENSG00000197879	ENST00000570984	17	-1	1465017	1492040	MYO1C	protein_coding
ENSG00000197879	ENST00000545534	17	-1	1465413	1485367	MYO1C	protein_coding
ENSG00000197879	ENST00000573853	17	-1	1482489	1486921	MYO1C	protein_coding
ENSG00000197879	ENST00000570490	17	-1	1482533	1484657	MYO1C	protein_coding
ENSG00000197879	ENST00000575335	17	-1	1482889	1491237	MYO1C	protein_coding
ENSG00000132376	ENST00000421807	17	-1	1494571	1516888	INPP5K	protein_coding
ENSG00000132376	ENST00000406424	17	-1	1494609	1516742	INPP5K	protein_coding
ENSG00000132376	ENST00000320345	17	-1	1494757	1516735	INPP5K	protein_coding
ENSG00000132376	ENST00000574561	17	-1	1496155	1516627	INPP5K	protein_coding
ENSG00000132376	ENST00000449479	17	-1	1497936	1516594	INPP5K	protein_coding
ENSG00000132376	ENST00000575172	17	-1	1506993	1516618	INPP5K	protein_coding
ENSG00000132376	ENST00000571274	17	-1	1509250	1515701	INPP5K	protein_coding
ENSG00000132376	ENST00000477910	17	-1	1509683	1516612	INPP5K	protein_coding
ENSG00000132376	ENST00000498390	17	-1	1509715	1516653	INPP5K	protein_coding
ENSG00000174238	ENST00000313486	17	-1	1517718	1562816	PITPNA	protein_coding
ENSG00000174238	ENST00000539476	17	-1	1517993	1562791	PITPNA	protein_coding
ENSG00000174238	ENST00000574991	17	-1	1534169	1553072	PITPNA	protein_coding
ENSG00000174238	ENST00000576722	17	-1	1535182	1562739	PITPNA	protein_coding
ENSG00000174238	ENST00000575895	17	-1	1535262	1559801	PITPNA	protein_coding
ENSG00000174238	ENST00000576761	17	-1	1535471	1562768	PITPNA	protein_coding
ENSG00000174238	ENST00000576010	17	-1	1535507	1562780	PITPNA	protein_coding
ENSG00000174238	ENST00000573231	17	-1	1541587	1562630	PITPNA	protein_coding
ENSG00000174238	ENST00000573056	17	-1	1543020	1559801	PITPNA	protein_coding
ENSG00000167703	ENST00000301335	17	-1	1569267	1628836	SLC43A2	protein_coding
ENSG00000167703	ENST00000571650	17	-1	1574372	1628341	SLC43A2	protein_coding
ENSG00000167703	ENST00000412517	17	-1	1575501	1605085	SLC43A2	protein_coding
ENSG00000074660	ENST00000263071	17	-1	1633858	1645747	SCARF1	protein_coding
ENSG00000074660	ENST00000348987	17	-1	1634390	1645713	SCARF1	protein_coding
ENSG00000074660	ENST00000571272	17	-1	1634390	1645744	SCARF1	protein_coding
ENSG00000167705	ENST00000574810	17	-1	1646145	1649032	RILP	protein_coding
ENSG00000167705	ENST00000301336	17	-1	1646150	1650077	RILP	protein_coding
ENSG00000174231	ENST00000571958	17	-1	1650629	1651269	PRPF8	protein_coding
ENSG00000174231	ENST00000304992	17	-1	1650629	1684882	PRPF8	protein_coding
ENSG00000174231	ENST00000572621	17	-1	1650631	1684837	PRPF8	protein_coding
ENSG00000174231	ENST00000573725	17	-1	1659969	1662038	PRPF8	protein_coding
