ENSMUSG00000100249	ENSMUST00000189190	X	1	3076875	3078817	Btbd35f23	protein_coding
ENSMUSG00000096426	ENSMUST00000178080	X	-1	3148912	3150852	Btbd35f24	protein_coding
ENSMUSG00000094558	ENSMUST00000105020	X	-1	3396756	3398715	Btbd35f11	protein_coding
ENSMUSG00000094876	ENSMUST00000105019	X	1	3605258	3607217	Btbd35f18	protein_coding
ENSMUSG00000095716	ENSMUST00000178621	X	-1	3655959	3657910	Btbd35f10	protein_coding
ENSMUSG00000101381	ENSMUST00000185755	X	-1	3860079	3862027	Btbd35f16	protein_coding
ENSMUSG00000078218	ENSMUST00000140300	X	1	3942699	3944641	Btbd35f3	protein_coding
ENSMUSG00000094307	ENSMUST00000105015	X	1	4101601	4103560	Btbd35f28	protein_coding
ENSMUSG00000094596	ENSMUST00000179325	X	-1	4192628	4194587	Btbd35f20	protein_coding
ENSMUSG00000094273	ENSMUST00000105014	X	1	4273978	4275937	Btbd35f17	protein_coding
ENSMUSG00000078213	ENSMUST00000105011	X	1	4703838	4705328	Btbd35f4	protein_coding
ENSMUSG00000094860	ENSMUST00000178143	X	1	4855477	4857419	Btbd35f27	protein_coding
ENSMUSG00000044597	ENSMUST00000058404	X	-1	5378952	5381319	Mycs	protein_coding
ENSMUSG00000095814	ENSMUST00000105007	X	1	5581121	5583080	Btbd35f7	protein_coding
ENSMUSG00000073295	ENSMUST00000103007	X	1	5959507	5967164	Nudt11	protein_coding
ENSMUSG00000073294	ENSMUST00000101698	X	-1	5993273	5995473	Ezhip	protein_coding
ENSMUSG00000073294	ENSMUST00000117544	X	-1	5993273	5995473	Ezhip	protein_coding
ENSMUSG00000073293	ENSMUST00000103006	X	-1	6080750	6085069	Nudt10	protein_coding
ENSMUSG00000023279	ENSMUST00000024049	X	-1	6226161	6232775	Bmp15	protein_coding
ENSMUSG00000068270	ENSMUST00000103005	X	1	6311908	6545891	Shroom4	protein_coding
ENSMUSG00000068270	ENSMUST00000143641	X	1	6327796	6495594	Shroom4	protein_coding
ENSMUSG00000068270	ENSMUST00000089520	X	1	6489340	6549502	Shroom4	protein_coding
ENSMUSG00000062393	ENSMUST00000145302	X	1	6690410	6814602	Dgkk	protein_coding
ENSMUSG00000051592	ENSMUST00000056725	X	-1	6845891	6897175	Ccnb3	protein_coding
ENSMUSG00000051592	ENSMUST00000115752	X	-1	6845891	6907858	Ccnb3	protein_coding
ENSMUSG00000050089	ENSMUST00000057101	X	1	6933758	6944848	Akap4	protein_coding
ENSMUSG00000050089	ENSMUST00000115750	X	1	6933759	6944843	Akap4	protein_coding
ENSMUSG00000050089	ENSMUST00000115751	X	1	6934452	6944830	Akap4	protein_coding
ENSMUSG00000004317	ENSMUST00000004428	X	-1	7020049	7054953	Clcn5	protein_coding
ENSMUSG00000004317	ENSMUST00000115746	X	-1	7025708	7185472	Clcn5	protein_coding
ENSMUSG00000004317	ENSMUST00000128319	X	-1	7037438	7185597	Clcn5	protein_coding
ENSMUSG00000046269	ENSMUST00000191497	X	-1	7237515	7242065	Usp27x	protein_coding
ENSMUSG00000046269	ENSMUST00000115744	X	-1	7238830	7242069	Usp27x	protein_coding
ENSMUSG00000039556	ENSMUST00000150787	X	-1	7423535	7440522	Ppp1r3f	protein_coding
ENSMUSG00000039556	ENSMUST00000115742	X	-1	7425191	7440487	Ppp1r3f	protein_coding
ENSMUSG00000039556	ENSMUST00000132788	X	-1	7426481	7439082	Ppp1r3f	protein_coding
ENSMUSG00000039521	ENSMUST00000234896	X	1	7439883	7452757	Foxp3	protein_coding
ENSMUSG00000039521	ENSMUST00000234363	X	1	7445806	7460038	Foxp3	protein_coding
ENSMUSG00000039521	ENSMUST00000235116	X	1	7445908	7459344	Foxp3	protein_coding
ENSMUSG00000039521	ENSMUST00000115739	X	1	7445908	7461473	Foxp3	protein_coding
ENSMUSG00000039521	ENSMUST00000234574	X	1	7445915	7459503	Foxp3	protein_coding
ENSMUSG00000039521	ENSMUST00000115740	X	1	7445915	7461484	Foxp3	protein_coding
ENSMUSG00000039521	ENSMUST00000115738	X	1	7446722	7461473	Foxp3	protein_coding
ENSMUSG00000039521	ENSMUST00000045566	X	1	7452512	7461482	Foxp3	protein_coding
ENSMUSG00000039521	ENSMUST00000234015	X	1	7452594	7459287	Foxp3	protein_coding
ENSMUSG00000031143	ENSMUST00000033483	X	-1	7460048	7471756	Ccdc22	protein_coding
ENSMUSG00000031142	ENSMUST00000115726	X	1	7473338	7501435	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000133637	X	1	7473359	7485372	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000115725	X	1	7473368	7501435	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000128628	X	1	7493433	7496485	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000156047	X	1	7493433	7496738	Cacna1f	protein_coding
ENSMUSG00000031144	ENSMUST00000069520	X	1	7504710	7519495	Syp	protein_coding
ENSMUSG00000031144	ENSMUST00000128890	X	1	7504961	7510533	Syp	protein_coding
ENSMUSG00000031145	ENSMUST00000033485	X	1	7523499	7534197	Prickle3	protein_coding
ENSMUSG00000031145	ENSMUST00000129662	X	1	7524772	7534425	Prickle3	protein_coding
ENSMUSG00000031146	ENSMUST00000033486	X	-1	7534180	7537629	Plp2	protein_coding
ENSMUSG00000031147	ENSMUST00000115695	X	-1	7540865	7547328	Magix	protein_coding
ENSMUSG00000031148	ENSMUST00000049896	X	1	7563370	7576501	Gpkow	protein_coding
ENSMUSG00000031148	ENSMUST00000154562	X	1	7569744	7574257	Gpkow	protein_coding
ENSMUSG00000039382	ENSMUST00000156000	X	1	7588212	7592531	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000043045	X	1	7588456	7594445	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000207386	X	1	7588461	7593632	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000116634	X	1	7588466	7594201	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000208072	X	1	7588468	7592503	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000207589	X	1	7588468	7593637	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000208618	X	1	7588469	7594088	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000208443	X	1	7588479	7594244	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000207541	X	1	7588482	7592969	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000208528	X	1	7588482	7592985	Wdr45	protein_coding
ENSMUSG00000109493	ENSMUST00000208156	X	1	7588484	7596769	Gm45208	protein_coding
ENSMUSG00000039382	ENSMUST00000115689	X	1	7588488	7594440	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000131077	X	1	7588489	7592928	Wdr45	protein_coding
