ENSMUSG00000051003	ENSMUST00000061541	16	1	3410262	3411203	Olfr161	protein_coding
ENSMUSG00000022534	ENSMUST00000023180	16	-1	3525082	3535961	Mefv	protein_coding
ENSMUSG00000022534	ENSMUST00000229725	16	-1	3525550	3535949	Mefv	protein_coding
ENSMUSG00000022534	ENSMUST00000100222	16	-1	3525550	3535949	Mefv	protein_coding
ENSMUSG00000022529	ENSMUST00000023176	16	1	3561957	3568645	Zfp263	protein_coding
ENSMUSG00000022529	ENSMUST00000162207	16	1	3565751	3568648	Zfp263	protein_coding
ENSMUSG00000059043	ENSMUST00000214238	16	1	3648742	3662611	Olfr15	protein_coding
ENSMUSG00000059043	ENSMUST00000214590	16	1	3648762	3662611	Olfr15	protein_coding
ENSMUSG00000059043	ENSMUST00000080917	16	1	3656839	3657777	Olfr15	protein_coding
ENSMUSG00000054939	ENSMUST00000041778	16	1	3665132	3676744	Zfp174	protein_coding
ENSMUSG00000039789	ENSMUST00000090522	16	-1	3679392	3690260	Zfp597	protein_coding
ENSMUSG00000005982	ENSMUST00000151988	16	1	3690239	3718675	Naa60	protein_coding
ENSMUSG00000093575	ENSMUST00000176233	16	1	3702512	3737381	Gm20695	protein_coding
ENSMUSG00000005982	ENSMUST00000176625	16	1	3702523	3719912	Naa60	protein_coding
ENSMUSG00000005982	ENSMUST00000186375	16	1	3702547	3722634	Naa60	protein_coding
ENSMUSG00000005982	ENSMUST00000115860	16	1	3702633	3722633	Naa60	protein_coding
ENSMUSG00000005982	ENSMUST00000175809	16	1	3712239	3719678	Naa60	protein_coding
ENSMUSG00000005982	ENSMUST00000176224	16	1	3712239	3719803	Naa60	protein_coding
ENSMUSG00000005982	ENSMUST00000150655	16	1	3712239	3720240	Naa60	protein_coding
ENSMUSG00000005983	ENSMUST00000115859	16	-1	3722167	3726553	1700037C18Rik	protein_coding
ENSMUSG00000005983	ENSMUST00000177323	16	-1	3723662	3725566	1700037C18Rik	protein_coding
ENSMUSG00000005983	ENSMUST00000177221	16	-1	3724122	3725515	1700037C18Rik	protein_coding
ENSMUSG00000005983	ENSMUST00000123235	16	-1	3724877	3726487	1700037C18Rik	protein_coding
ENSMUSG00000014232	ENSMUST00000145150	16	1	3726665	3741720	Cluap1	protein_coding
ENSMUSG00000014232	ENSMUST00000040881	16	1	3726689	3759011	Cluap1	protein_coding
ENSMUSG00000014232	ENSMUST00000124849	16	1	3726970	3741776	Cluap1	protein_coding
ENSMUSG00000049871	ENSMUST00000180200	16	-1	3762871	3794409	Nlrc3	protein_coding
ENSMUSG00000049871	ENSMUST00000177551	16	-1	3763474	3794496	Nlrc3	protein_coding
ENSMUSG00000049871	ENSMUST00000229884	16	-1	3764230	3783504	Nlrc3	protein_coding
ENSMUSG00000039738	ENSMUST00000040790	16	-1	3796987	3819544	Slx4	protein_coding
ENSMUSG00000039738	ENSMUST00000165830	16	-1	3812632	3819116	Slx4	protein_coding
ENSMUSG00000039738	ENSMUST00000171762	16	-1	3818867	3821634	Slx4	protein_coding
ENSMUSG00000039738	ENSMUST00000171658	16	-1	3819065	3821616	Slx4	protein_coding
ENSMUSG00000005980	ENSMUST00000137748	16	1	3854806	3857120	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000006136	16	1	3854834	3857888	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000157044	16	1	3854837	3855885	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000120009	16	1	3854895	3857888	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000175755	16	1	3856994	3857888	Dnase1	protein_coding
ENSMUSG00000005981	ENSMUST00000006137	16	-1	3857835	3895691	Trap1	protein_coding
ENSMUSG00000022521	ENSMUST00000023165	16	-1	3899192	4031861	Crebbp	protein_coding
ENSMUSG00000022521	ENSMUST00000205765	16	-1	3901565	4031277	Crebbp	protein_coding
ENSMUSG00000022521	ENSMUST00000206464	16	-1	3906244	3912508	Crebbp	protein_coding
ENSMUSG00000022521	ENSMUST00000205344	16	-1	3909703	3946485	Crebbp	protein_coding
ENSMUSG00000022521	ENSMUST00000206098	16	-1	3910054	3913990	Crebbp	protein_coding
ENSMUSG00000022521	ENSMUST00000205685	16	-1	3936897	3944466	Crebbp	protein_coding
ENSMUSG00000005580	ENSMUST00000117801	16	-1	4105393	4237672	Adcy9	protein_coding
ENSMUSG00000005580	ENSMUST00000120080	16	-1	4105393	4238362	Adcy9	protein_coding
ENSMUSG00000005580	ENSMUST00000005719	16	-1	4105409	4237451	Adcy9	protein_coding
ENSMUSG00000022519	ENSMUST00000090500	16	-1	4298080	4340939	Srl	protein_coding
ENSMUSG00000022519	ENSMUST00000023161	16	-1	4298092	4340939	Srl	protein_coding
ENSMUSG00000005718	ENSMUST00000005862	16	-1	4362525	4377718	Tfap4	protein_coding
ENSMUSG00000005718	ENSMUST00000230875	16	-1	4365162	4376647	Tfap4	protein_coding
ENSMUSG00000005718	ENSMUST00000229956	16	-1	4365239	4370826	Tfap4	protein_coding
ENSMUSG00000014303	ENSMUST00000014447	16	1	4412577	4433821	Glis2	protein_coding
ENSMUSG00000014303	ENSMUST00000141682	16	1	4419027	4428277	Glis2	protein_coding
ENSMUSG00000014301	ENSMUST00000014445	16	-1	4434328	4442852	Pam16	protein_coding
ENSMUSG00000039637	ENSMUST00000038552	16	-1	4443997	4497641	Coro7	protein_coding
ENSMUSG00000039646	ENSMUST00000038770	16	1	4457805	4468666	Vasn	protein_coding
ENSMUSG00000039637	ENSMUST00000090480	16	-1	4470427	4497641	Coro7	protein_coding
ENSMUSG00000004069	ENSMUST00000060067	16	1	4501934	4525559	Dnaja3	protein_coding
ENSMUSG00000004069	ENSMUST00000115854	16	1	4501960	4525559	Dnaja3	protein_coding
ENSMUSG00000004069	ENSMUST00000229529	16	1	4501979	4524542	Dnaja3	protein_coding
ENSMUSG00000063445	ENSMUST00000120056	16	-1	4527923	4536973	Nmral1	protein_coding
ENSMUSG00000063445	ENSMUST00000115851	16	-1	4529181	4537020	Nmral1	protein_coding
ENSMUSG00000063445	ENSMUST00000079130	16	-1	4529181	4537220	Nmral1	protein_coding
ENSMUSG00000063445	ENSMUST00000074970	16	-1	4530159	4536976	Nmral1	protein_coding
ENSMUSG00000004070	ENSMUST00000154117	16	1	4544225	4582712	Hmox2	protein_coding
ENSMUSG00000004070	ENSMUST00000004172	16	1	4544227	4584606	Hmox2	protein_coding
ENSMUSG00000004070	ENSMUST00000120232	16	1	4559445	4584113	Hmox2	protein_coding
ENSMUSG00000004071	ENSMUST00000147225	16	-1	4568212	4587961	Cdip1	protein_coding
ENSMUSG00000004070	ENSMUST00000140367	16	1	4574709	4582548	Hmox2	protein_coding
ENSMUSG00000004070	ENSMUST00000118885	16	1	4574767	4584109	Hmox2	protein_coding
ENSMUSG00000004070	ENSMUST00000121529	16	1	4574858	4582954	Hmox2	protein_coding
ENSMUSG00000004071	ENSMUST00000004173	16	-1	4583325	4607854	Cdip1	protein_coding
ENSMUSG00000004071	ENSMUST00000118703	16	-1	4584705	4608156	Cdip1	protein_coding
