ENSMUSG00000047735	ENSMUST00000201638	6	-1	3376950	3385006	Samd9l	protein_coding
ENSMUSG00000044156	ENSMUST00000049985	6	-1	3457096	3494597	Hepacam2	protein_coding
ENSMUSG00000044156	ENSMUST00000201607	6	-1	3476076	3487429	Hepacam2	protein_coding
ENSMUSG00000044156	ENSMUST00000200854	6	-1	3483320	3498298	Hepacam2	protein_coding
ENSMUSG00000001376	ENSMUST00000001412	6	1	3498382	3603531	Vps50	protein_coding
ENSMUSG00000001376	ENSMUST00000170873	6	1	3498404	3601110	Vps50	protein_coding
ENSMUSG00000001376	ENSMUST00000164052	6	1	3498422	3603315	Vps50	protein_coding
ENSMUSG00000023964	ENSMUST00000171613	6	-1	3685680	3763630	Calcr	protein_coding
ENSMUSG00000023964	ENSMUST00000115622	6	-1	3685720	3764714	Calcr	protein_coding
ENSMUSG00000023964	ENSMUST00000075644	6	-1	3685733	3764658	Calcr	protein_coding
ENSMUSG00000023964	ENSMUST00000168592	6	-1	3686822	3752974	Calcr	protein_coding
ENSMUSG00000023964	ENSMUST00000170266	6	-1	3686822	3752974	Calcr	protein_coding
ENSMUSG00000029664	ENSMUST00000031674	6	-1	3962595	3968376	Tfpi2	protein_coding
ENSMUSG00000029664	ENSMUST00000203257	6	-1	3963385	3988858	Tfpi2	protein_coding
ENSMUSG00000029664	ENSMUST00000183682	6	-1	3965528	3988919	Tfpi2	protein_coding
ENSMUSG00000029663	ENSMUST00000031673	6	1	3993792	3997436	Gngt1	protein_coding
ENSMUSG00000032766	ENSMUST00000031670	6	1	4003904	4008445	Gng11	protein_coding
ENSMUSG00000032757	ENSMUST00000049166	6	-1	4076899	4086972	Bet1	protein_coding
ENSMUSG00000029661	ENSMUST00000141483	6	1	4504814	4516419	Col1a2	protein_coding
ENSMUSG00000029661	ENSMUST00000031668	6	1	4505493	4541544	Col1a2	protein_coding
ENSMUSG00000015189	ENSMUST00000015333	6	1	4600839	4643355	Casd1	protein_coding
ENSMUSG00000015189	ENSMUST00000181734	6	1	4600949	4624266	Casd1	protein_coding
ENSMUSG00000015189	ENSMUST00000141359	6	1	4601203	4621132	Casd1	protein_coding
ENSMUSG00000015189	ENSMUST00000204372	6	1	4631127	4640973	Casd1	protein_coding
ENSMUSG00000004631	ENSMUST00000115577	6	-1	4674350	4747176	Sgce	protein_coding
ENSMUSG00000004631	ENSMUST00000115579	6	-1	4674350	4747204	Sgce	protein_coding
ENSMUSG00000004631	ENSMUST00000126151	6	-1	4674354	4747157	Sgce	protein_coding
ENSMUSG00000004631	ENSMUST00000004750	6	-1	4674354	4747207	Sgce	protein_coding
ENSMUSG00000004631	ENSMUST00000090686	6	-1	4674384	4747116	Sgce	protein_coding
ENSMUSG00000004631	ENSMUST00000133306	6	-1	4674418	4747124	Sgce	protein_coding
ENSMUSG00000004631	ENSMUST00000101677	6	-1	4674418	4747188	Sgce	protein_coding
ENSMUSG00000092035	ENSMUST00000166678	6	1	4747306	4760514	Peg10	protein_coding
ENSMUSG00000092035	ENSMUST00000176204	6	1	4747306	4760517	Peg10	protein_coding
ENSMUSG00000092035	ENSMUST00000176551	6	1	4747406	4760517	Peg10	protein_coding
ENSMUSG00000032827	ENSMUST00000175889	6	1	4902917	5159590	Ppp1r9a	protein_coding
ENSMUSG00000032827	ENSMUST00000168998	6	1	4902974	5078491	Ppp1r9a	protein_coding
ENSMUSG00000032827	ENSMUST00000035813	6	1	4903320	5165661	Ppp1r9a	protein_coding
ENSMUSG00000032827	ENSMUST00000175962	6	1	4903373	5009767	Ppp1r9a	protein_coding
ENSMUSG00000032827	ENSMUST00000177338	6	1	4903788	4906787	Ppp1r9a	protein_coding
ENSMUSG00000032827	ENSMUST00000177456	6	1	4905416	5159817	Ppp1r9a	protein_coding
ENSMUSG00000002588	ENSMUST00000002663	6	-1	5168090	5193946	Pon1	protein_coding
ENSMUSG00000002588	ENSMUST00000177159	6	-1	5168435	5193784	Pon1	protein_coding
ENSMUSG00000002588	ENSMUST00000176945	6	-1	5171783	5193784	Pon1	protein_coding
ENSMUSG00000029759	ENSMUST00000031773	6	-1	5220852	5256286	Pon3	protein_coding
ENSMUSG00000029759	ENSMUST00000125686	6	-1	5232394	5256235	Pon3	protein_coding
ENSMUSG00000032667	ENSMUST00000057792	6	-1	5264147	5298455	Pon2	protein_coding
ENSMUSG00000042607	ENSMUST00000043294	6	1	5383386	5433022	Asb4	protein_coding
ENSMUSG00000042607	ENSMUST00000183358	6	1	5390427	5402249	Asb4	protein_coding
ENSMUSG00000019577	ENSMUST00000019721	6	-1	5483351	5496309	Pdk4	protein_coding
ENSMUSG00000019577	ENSMUST00000203347	6	-1	5491591	5496261	Pdk4	protein_coding
ENSMUSG00000029757	ENSMUST00000115556	6	1	5725639	6028039	Dync1i1	protein_coding
ENSMUSG00000029757	ENSMUST00000115555	6	1	5725763	6028030	Dync1i1	protein_coding
ENSMUSG00000029757	ENSMUST00000115559	6	1	5725791	6028039	Dync1i1	protein_coding
ENSMUSG00000029757	ENSMUST00000115554	6	1	5725812	6028039	Dync1i1	protein_coding
ENSMUSG00000029757	ENSMUST00000153942	6	1	5725818	5767050	Dync1i1	protein_coding
ENSMUSG00000029757	ENSMUST00000204149	6	1	5757419	5784898	Dync1i1	protein_coding
ENSMUSG00000015112	ENSMUST00000015256	6	-1	6041218	6217118	Slc25a13	protein_coding
ENSMUSG00000015112	ENSMUST00000188414	6	-1	6041219	6217173	Slc25a13	protein_coding
ENSMUSG00000042541	ENSMUST00000041111	6	-1	6557294	6578658	Sem1	protein_coding
ENSMUSG00000029754	ENSMUST00000171311	6	1	6863334	6867970	Dlx6	protein_coding
ENSMUSG00000029754	ENSMUST00000160937	6	1	6863334	6868568	Dlx6	protein_coding
ENSMUSG00000029754	ENSMUST00000031768	6	1	6863797	6867967	Dlx6	protein_coding
ENSMUSG00000029755	ENSMUST00000142635	6	-1	6877805	6882068	Dlx5	protein_coding
ENSMUSG00000029755	ENSMUST00000052609	6	-1	6877805	6882085	Dlx5	protein_coding
ENSMUSG00000042505	ENSMUST00000040826	6	1	6956004	7042979	Sdhaf3	protein_coding
ENSMUSG00000061762	ENSMUST00000185187	6	1	7554879	7562977	Tac1	protein_coding
ENSMUSG00000061762	ENSMUST00000090679	6	1	7555074	7562976	Tac1	protein_coding
ENSMUSG00000061762	ENSMUST00000184986	6	1	7555096	7562700	Tac1	protein_coding
ENSMUSG00000061762	ENSMUST00000185130	6	1	7556091	7559114	Tac1	protein_coding
ENSMUSG00000029752	ENSMUST00000115542	6	-1	7675169	7692871	Asns	protein_coding
ENSMUSG00000029752	ENSMUST00000031766	6	-1	7675169	7693254	Asns	protein_coding
ENSMUSG00000029752	ENSMUST00000126303	6	-1	7682273	7693110	Asns	protein_coding
ENSMUSG00000029752	ENSMUST00000139596	6	-1	7685182	7692222	Asns	protein_coding
ENSMUSG00000029752	ENSMUST00000148349	6	-1	7685274	7692872	Asns	protein_coding
ENSMUSG00000042460	ENSMUST00000040159	6	1	7844842	7875687	C1galt1	protein_coding
ENSMUSG00000068794	ENSMUST00000115537	6	-1	7997808	8192617	Col28a1	protein_coding
ENSMUSG00000068794	ENSMUST00000213284	6	-1	8169616	8180174	Col28a1	protein_coding
ENSMUSG00000042447	ENSMUST00000040017	6	1	8209222	8236274	Mios	protein_coding
ENSMUSG00000012483	ENSMUST00000012627	6	-1	8255936	8259173	Rpa3	protein_coding
ENSMUSG00000089862	ENSMUST00000159335	6	1	8259288	8459470	Umad1	protein_coding
ENSMUSG00000089862	ENSMUST00000159378	6	1	8259350	8427138	Umad1	protein_coding
ENSMUSG00000089862	ENSMUST00000162034	6	1	8259382	8428764	Umad1	protein_coding
ENSMUSG00000089862	ENSMUST00000160705	6	1	8259428	8427279	Umad1	protein_coding
ENSMUSG00000089862	ENSMUST00000159433	6	1	8259430	8428760	Umad1	protein_coding
ENSMUSG00000089862	ENSMUST00000159168	6	1	8270466	8428767	Umad1	protein_coding
ENSMUSG00000029638	ENSMUST00000064285	6	1	8509600	8597548	Glcci1	protein_coding
ENSMUSG00000029638	ENSMUST00000162383	6	1	8511227	8579647	Glcci1	protein_coding
ENSMUSG00000029638	ENSMUST00000162567	6	1	8520020	8593621	Glcci1	protein_coding
ENSMUSG00000029638	ENSMUST00000161217	6	1	8520058	8593512	Glcci1	protein_coding
ENSMUSG00000029638	ENSMUST00000161494	6	1	8537816	8594071	Glcci1	protein_coding
ENSMUSG00000062995	ENSMUST00000115519	6	-1	8630527	8778154	Ica1	protein_coding
ENSMUSG00000062995	ENSMUST00000115520	6	-1	8630527	8778439	Ica1	protein_coding
ENSMUSG00000062995	ENSMUST00000038403	6	-1	8630527	8778484	Ica1	protein_coding
ENSMUSG00000062995	ENSMUST00000153390	6	-1	8658284	8778154	Ica1	protein_coding
ENSMUSG00000062995	ENSMUST00000127398	6	-1	8658991	8672317	Ica1	protein_coding
