ENSMUSG00000091618	ENSMUST00000216211	10	-1	3207930	3217750	H60c	protein_coding
ENSMUSG00000040653	ENSMUST00000043374	10	1	3316057	3414975	Ppp1r14c	protein_coding
ENSMUSG00000040653	ENSMUST00000217573	10	1	3316544	3414975	Ppp1r14c	protein_coding
ENSMUSG00000019762	ENSMUST00000019896	10	1	3490240	3504877	Iyd	protein_coding
ENSMUSG00000040624	ENSMUST00000120274	10	1	3690364	3917303	Plekhg1	protein_coding
ENSMUSG00000040624	ENSMUST00000239159	10	1	3784879	3914452	Plekhg1	protein_coding
ENSMUSG00000040624	ENSMUST00000136671	10	1	3822667	3914549	Plekhg1	protein_coding
ENSMUSG00000040624	ENSMUST00000042438	10	1	3822667	3917303	Plekhg1	protein_coding
ENSMUSG00000040624	ENSMUST00000154727	10	1	3853586	3917298	Plekhg1	protein_coding
ENSMUSG00000040675	ENSMUST00000117291	10	1	3923118	4106111	Mthfd1l	protein_coding
ENSMUSG00000040675	ENSMUST00000120585	10	1	3923131	4117081	Mthfd1l	protein_coding
ENSMUSG00000040675	ENSMUST00000043735	10	1	3923144	4106111	Mthfd1l	protein_coding
ENSMUSG00000038587	ENSMUST00000045730	10	1	4216380	4309470	Akap12	protein_coding
ENSMUSG00000038587	ENSMUST00000239373	10	1	4284545	4309470	Akap12	protein_coding
ENSMUSG00000038587	ENSMUST00000239220	10	1	4291195	4303652	Akap12	protein_coding
ENSMUSG00000038587	ENSMUST00000216139	10	1	4296808	4309470	Akap12	protein_coding
ENSMUSG00000038587	ENSMUST00000215696	10	1	4297768	4309470	Akap12	protein_coding
ENSMUSG00000075327	ENSMUST00000100077	10	-1	4317075	4337475	Zbtb2	protein_coding
ENSMUSG00000075327	ENSMUST00000100078	10	-1	4317075	4338108	Zbtb2	protein_coding
ENSMUSG00000019763	ENSMUST00000042251	10	-1	4351915	4382388	Rmnd1	protein_coding
ENSMUSG00000019763	ENSMUST00000128434	10	-1	4353546	4357918	Rmnd1	protein_coding
ENSMUSG00000019763	ENSMUST00000155172	10	-1	4377243	4382295	Rmnd1	protein_coding
ENSMUSG00000019763	ENSMUST00000126102	10	-1	4377445	4382334	Rmnd1	protein_coding
ENSMUSG00000019763	ENSMUST00000131853	10	-1	4377523	4382334	Rmnd1	protein_coding
ENSMUSG00000061759	ENSMUST00000095893	10	1	4382467	4405141	Armt1	protein_coding
ENSMUSG00000061759	ENSMUST00000118544	10	1	4382513	4405140	Armt1	protein_coding
ENSMUSG00000061759	ENSMUST00000117489	10	1	4382620	4389973	Armt1	protein_coding
ENSMUSG00000019767	ENSMUST00000138112	10	1	4432502	4512231	Ccdc170	protein_coding
ENSMUSG00000019767	ENSMUST00000019901	10	1	4459872	4511111	Ccdc170	protein_coding
ENSMUSG00000019767	ENSMUST00000145465	10	1	4461543	4464312	Ccdc170	protein_coding
ENSMUSG00000019768	ENSMUST00000105590	10	1	4561989	4955614	Esr1	protein_coding
ENSMUSG00000019768	ENSMUST00000067086	10	1	4562021	4953761	Esr1	protein_coding
ENSMUSG00000019768	ENSMUST00000105588	10	1	4660155	4917336	Esr1	protein_coding
ENSMUSG00000019768	ENSMUST00000105589	10	1	4660155	4952024	Esr1	protein_coding
ENSMUSG00000096054	ENSMUST00000215295	10	-1	4970917	5500678	Syne1	protein_coding
ENSMUSG00000096054	ENSMUST00000095899	10	-1	4971579	5019063	Syne1	protein_coding
ENSMUSG00000096054	ENSMUST00000215467	10	-1	5067100	5144707	Syne1	protein_coding
ENSMUSG00000096054	ENSMUST00000041639	10	-1	5286941	5500692	Syne1	protein_coding
ENSMUSG00000096054	ENSMUST00000214945	10	-1	5310709	5501482	Syne1	protein_coding
ENSMUSG00000046916	ENSMUST00000051809	10	1	5543775	5556904	Myct1	protein_coding
ENSMUSG00000019772	ENSMUST00000019906	10	1	5589218	5597617	Vip	protein_coding
ENSMUSG00000019773	ENSMUST00000019907	10	-1	5749160	5755600	Fbxo5	protein_coding
ENSMUSG00000019774	ENSMUST00000019908	10	-1	5761887	5773910	Mtrf1l	protein_coding
ENSMUSG00000019775	ENSMUST00000131996	10	-1	5775663	5872386	Rgs17	protein_coding
ENSMUSG00000019775	ENSMUST00000064225	10	-1	5775663	5872400	Rgs17	protein_coding
ENSMUSG00000019775	ENSMUST00000117676	10	-1	5782169	5872366	Rgs17	protein_coding
ENSMUSG00000019775	ENSMUST00000019909	10	-1	5783096	5872366	Rgs17	protein_coding
ENSMUSG00000078488	ENSMUST00000105596	10	-1	6690629	6711761	Gm10945	protein_coding
ENSMUSG00000000766	ENSMUST00000105615	10	1	6708506	6987201	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000056385	10	1	6708593	6799858	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000092734	10	1	6708593	6799858	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000105607	10	1	6708593	6800613	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000063036	10	1	6708593	6987546	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000152674	10	1	6738601	6800348	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000105602	10	1	6738809	6780639	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000078634	10	1	6738809	6782987	Oprm1	protein_coding
