ENSMUSG00000115072	ENSMUST00000105160	4	1	3172083	3173003	Vmn1r2	protein_coding
ENSMUSG00000115466	ENSMUST00000105159	4	-1	3184348	3185358	Vmn1r3	protein_coding
ENSMUSG00000028232	ENSMUST00000029891	4	-1	3549041	3574853	Tmem68	protein_coding
ENSMUSG00000028232	ENSMUST00000134451	4	-1	3569537	3574527	Tmem68	protein_coding
ENSMUSG00000028233	ENSMUST00000052712	4	1	3574875	3616619	Tgs1	protein_coding
ENSMUSG00000042228	ENSMUST00000041377	4	1	3678115	3791613	Lyn	protein_coding
ENSMUSG00000042228	ENSMUST00000103010	4	1	3678127	3791612	Lyn	protein_coding
ENSMUSG00000028234	ENSMUST00000138502	4	-1	3831334	3835665	Rps20	protein_coding
ENSMUSG00000078365	ENSMUST00000105158	4	-1	3870657	3872105	Mos	protein_coding
ENSMUSG00000003282	ENSMUST00000003369	4	-1	3900996	3938382	Plag1	protein_coding
ENSMUSG00000042198	ENSMUST00000108386	4	1	3938888	3943523	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000121110	4	1	3938888	3943528	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000149544	4	1	3938890	3943472	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000121210	4	1	3938914	3943050	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000121651	4	1	3938914	3943521	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000041122	4	1	3938914	3943528	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000120732	4	1	3938914	3943528	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000119307	4	1	3938920	3943504	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000123769	4	1	3939043	3943406	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000119403	4	1	3940854	3943525	Chchd7	protein_coding
ENSMUSG00000068240	ENSMUST00000089430	4	-1	3973092	3973595	Gm11808	protein_coding
ENSMUSG00000028236	ENSMUST00000040925	4	-1	3995936	4019663	Sdr16c5	protein_coding
ENSMUSG00000071019	ENSMUST00000095151	4	-1	4055929	4076931	Sdr16c6	protein_coding
ENSMUSG00000071019	ENSMUST00000108383	4	-1	4055931	4077522	Sdr16c6	protein_coding
ENSMUSG00000045573	ENSMUST00000070375	4	-1	4133531	4138477	Penk	protein_coding
ENSMUSG00000045573	ENSMUST00000133567	4	-1	4134112	4138819	Penk	protein_coding
ENSMUSG00000066324	ENSMUST00000084949	4	-1	4762484	4793355	Bpnt2	protein_coding
ENSMUSG00000049119	ENSMUST00000054857	4	1	5644121	5801101	Fam110b	protein_coding
ENSMUSG00000049119	ENSMUST00000108380	4	1	5724312	5801101	Fam110b	protein_coding
ENSMUSG00000049119	ENSMUST00000156582	4	1	5772879	5798845	Fam110b	protein_coding
ENSMUSG00000049119	ENSMUST00000171403	4	1	5772879	5799946	Fam110b	protein_coding
ENSMUSG00000028243	ENSMUST00000029907	4	1	6191098	6221688	Ubxn2b	protein_coding
ENSMUSG00000028240	ENSMUST00000029905	4	-1	6265612	6275631	Cyp7a1	protein_coding
ENSMUSG00000028249	ENSMUST00000029912	4	1	6365650	6396284	Sdcbp	protein_coding
ENSMUSG00000028249	ENSMUST00000103008	4	1	6365677	6395655	Sdcbp	protein_coding
ENSMUSG00000028249	ENSMUST00000175769	4	1	6365709	6393111	Sdcbp	protein_coding
ENSMUSG00000028249	ENSMUST00000140830	4	1	6365713	6385057	Sdcbp	protein_coding
ENSMUSG00000028249	ENSMUST00000108374	4	1	6365713	6408423	Sdcbp	protein_coding
ENSMUSG00000028249	ENSMUST00000153861	4	1	6376841	6392995	Sdcbp	protein_coding
ENSMUSG00000028245	ENSMUST00000029910	4	-1	6396207	6454271	Nsmaf	protein_coding
ENSMUSG00000028245	ENSMUST00000124344	4	-1	6433272	6454097	Nsmaf	protein_coding
ENSMUSG00000041272	ENSMUST00000039987	4	-1	6686353	6990799	Tox	protein_coding
ENSMUSG00000041261	ENSMUST00000066674	4	-1	8143362	8239041	Car8	protein_coding
ENSMUSG00000047187	ENSMUST00000060232	4	1	8535644	8607778	Rab2a	protein_coding
ENSMUSG00000041235	ENSMUST00000127476	4	1	8690470	8785591	Chd7	protein_coding
ENSMUSG00000041235	ENSMUST00000039267	4	1	8690921	8866810	Chd7	protein_coding
ENSMUSG00000041235	ENSMUST00000051558	4	1	8691365	8867659	Chd7	protein_coding
ENSMUSG00000041235	ENSMUST00000129655	4	1	8710340	8751562	Chd7	protein_coding
ENSMUSG00000041235	ENSMUST00000170391	4	1	8751438	8867224	Chd7	protein_coding
ENSMUSG00000041235	ENSMUST00000222546	4	1	8855231	8858618	Chd7	protein_coding
ENSMUSG00000041216	ENSMUST00000038841	4	1	9269317	9451691	Clvs1	protein_coding
ENSMUSG00000041216	ENSMUST00000108348	4	1	9271455	9451691	Clvs1	protein_coding
ENSMUSG00000028207	ENSMUST00000078139	4	-1	9449079	9669162	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000108340	4	-1	9449079	9669162	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000108339	4	-1	9449079	9669344	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000108333	4	-1	9575267	9643717	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000108334	4	-1	9575267	9643717	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000108335	4	-1	9575267	9643717	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000084915	4	-1	9575267	9669162	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000108337	4	-1	9575267	9669162	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000152526	4	-1	9607797	9643717	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000084912	4	-1	9610843	9669162	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000103004	4	-1	9620909	9643717	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000038564	4	-1	9621696	9669162	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000146441	4	-1	9629023	9669162	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000098275	4	-1	9630547	9669162	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000131605	4	-1	9630926	9669321	Asph	protein_coding
ENSMUSG00000051279	ENSMUST00000057613	4	1	9844372	9862345	Gdf6	protein_coding
ENSMUSG00000059482	ENSMUST00000080517	4	1	10874498	10899421	2610301B20Rik	protein_coding
ENSMUSG00000059482	ENSMUST00000101504	4	1	10874568	10899425	2610301B20Rik	protein_coding
ENSMUSG00000049969	ENSMUST00000054776	4	-1	10988662	11007676	Plekhf2	protein_coding
ENSMUSG00000049969	ENSMUST00000137891	4	-1	10990749	11007927	Plekhf2	protein_coding
ENSMUSG00000050323	ENSMUST00000058183	4	-1	11051045	11076204	Ndufaf6	protein_coding
ENSMUSG00000028211	ENSMUST00000029865	4	1	11156431	11174379	Trp53inp1	protein_coding
ENSMUSG00000028212	ENSMUST00000170901	4	1	11191354	11204675	Ccne2	protein_coding
ENSMUSG00000028212	ENSMUST00000029866	4	1	11191726	11204779	Ccne2	protein_coding
ENSMUSG00000028212	ENSMUST00000108324	4	1	11191730	11204682	Ccne2	protein_coding
ENSMUSG00000040738	ENSMUST00000044616	4	-1	11199158	11254258	Ints8	protein_coding
ENSMUSG00000040738	ENSMUST00000108319	4	-1	11204383	11254258	Ints8	protein_coding
ENSMUSG00000040738	ENSMUST00000108318	4	-1	11204383	11254258	Ints8	protein_coding
ENSMUSG00000045205	ENSMUST00000139385	4	-1	11261315	11303361	Dpy19l4	protein_coding
ENSMUSG00000045205	ENSMUST00000084892	4	-1	11261315	11322137	Dpy19l4	protein_coding
ENSMUSG00000045205	ENSMUST00000128024	4	-1	11276872	11322137	Dpy19l4	protein_coding
ENSMUSG00000040728	ENSMUST00000043781	4	-1	11331933	11386679	Esrp1	protein_coding
ENSMUSG00000040728	ENSMUST00000108313	4	-1	11331933	11386783	Esrp1	protein_coding
ENSMUSG00000040728	ENSMUST00000108311	4	-1	11332038	11386783	Esrp1	protein_coding
ENSMUSG00000040728	ENSMUST00000147342	4	-1	11333005	11367178	Esrp1	protein_coding
ENSMUSG00000040728	ENSMUST00000108310	4	-1	11333005	11386679	Esrp1	protein_coding
ENSMUSG00000040728	ENSMUST00000155519	4	-1	11357586	11386394	Esrp1	protein_coding
ENSMUSG00000040720	ENSMUST00000055372	4	1	11485958	11527621	Virma	protein_coding
ENSMUSG00000040720	ENSMUST00000059914	4	1	11485958	11550684	Virma	protein_coding
ENSMUSG00000040720	ENSMUST00000108307	4	1	11486043	11550684	Virma	protein_coding
ENSMUSG00000078773	ENSMUST00000095145	4	1	11558942	11585744	Rad54b	protein_coding
ENSMUSG00000078773	ENSMUST00000108306	4	1	11558949	11578957	Rad54b	protein_coding
ENSMUSG00000078773	ENSMUST00000070755	4	1	11558972	11615805	Rad54b	protein_coding
ENSMUSG00000094595	ENSMUST00000180239	4	1	11579665	11587591	Fsbp	protein_coding
ENSMUSG00000028214	ENSMUST00000108304	4	1	11704457	11714752	Gem	protein_coding
ENSMUSG00000028214	ENSMUST00000029868	4	1	11705807	11714752	Gem	protein_coding
ENSMUSG00000028217	ENSMUST00000029871	4	1	11758147	11817895	Cdh17	protein_coding
ENSMUSG00000028217	ENSMUST00000108303	4	1	11758193	11811486	Cdh17	protein_coding
ENSMUSG00000049225	ENSMUST00000108297	4	-1	11958184	11966452	Pdp1	protein_coding
ENSMUSG00000049225	ENSMUST00000108301	4	-1	11959807	11965821	Pdp1	protein_coding
ENSMUSG00000049225	ENSMUST00000095144	4	-1	11959807	11965927	Pdp1	protein_coding
ENSMUSG00000049225	ENSMUST00000108302	4	-1	11959807	11965981	Pdp1	protein_coding
ENSMUSG00000049225	ENSMUST00000108299	4	-1	11959807	11966427	Pdp1	protein_coding
ENSMUSG00000049225	ENSMUST00000056050	4	-1	11959811	11966420	Pdp1	protein_coding
ENSMUSG00000049488	ENSMUST00000050686	4	-1	12039355	12087957	Tmem67	protein_coding
ENSMUSG00000049488	ENSMUST00000108293	4	-1	12039645	12090020	Tmem67	protein_coding
ENSMUSG00000052137	ENSMUST00000095143	4	1	12089439	12095922	Rbm12b2	protein_coding
ENSMUSG00000052137	ENSMUST00000063839	4	1	12089441	12096243	Rbm12b2	protein_coding
ENSMUSG00000046667	ENSMUST00000050069	4	1	12140267	12146700	Rbm12b1	protein_coding
ENSMUSG00000046667	ENSMUST00000069128	4	1	12140317	12146731	Rbm12b1	protein_coding
ENSMUSG00000028218	ENSMUST00000108285	4	-1	12153409	12172015	Cibar1	protein_coding
