ENSMUSG00000054753	ENSMUST00000203937	7	-1	3212159	3218931	AU018091	protein_coding
ENSMUSG00000078817	ENSMUST00000108653	7	-1	3267458	3298243	Nlrp12	protein_coding
ENSMUSG00000068566	ENSMUST00000203328	7	1	3337605	3346801	Myadm	protein_coding
ENSMUSG00000068566	ENSMUST00000096744	7	1	3339059	3347865	Myadm	protein_coding
ENSMUSG00000068566	ENSMUST00000203566	7	1	3339100	3348958	Myadm	protein_coding
ENSMUSG00000068566	ENSMUST00000204541	7	1	3340015	3345483	Myadm	protein_coding
ENSMUSG00000068566	ENSMUST00000164553	7	1	3341619	3347838	Myadm	protein_coding
ENSMUSG00000078816	ENSMUST00000100301	7	1	3352038	3379615	Prkcg	protein_coding
ENSMUSG00000078816	ENSMUST00000172109	7	1	3352161	3378883	Prkcg	protein_coding
ENSMUSG00000069806	ENSMUST00000092891	7	1	3381471	3416737	Cacng7	protein_coding
ENSMUSG00000053395	ENSMUST00000182222	7	1	3439199	3464164	Cacng8	protein_coding
ENSMUSG00000053395	ENSMUST00000092351	7	1	3442633	3464121	Cacng8	protein_coding
ENSMUSG00000053395	ENSMUST00000203617	7	1	3442934	3443468	Cacng8	protein_coding
ENSMUSG00000078815	ENSMUST00000183200	7	1	3472711	3484183	Cacng6	protein_coding
ENSMUSG00000078815	ENSMUST00000108647	7	1	3473178	3483679	Cacng6	protein_coding
ENSMUSG00000053338	ENSMUST00000203020	7	-1	3535016	3551074	Tarm1	protein_coding
ENSMUSG00000053338	ENSMUST00000203821	7	-1	3537086	3551140	Tarm1	protein_coding
ENSMUSG00000053338	ENSMUST00000065703	7	-1	3537587	3551034	Tarm1	protein_coding
ENSMUSG00000054594	ENSMUST00000039507	7	-1	3612812	3619132	Oscar	protein_coding
ENSMUSG00000054594	ENSMUST00000108645	7	-1	3612812	3619156	Oscar	protein_coding
ENSMUSG00000054594	ENSMUST00000148012	7	-1	3612812	3619156	Oscar	protein_coding
ENSMUSG00000035674	ENSMUST00000076657	7	1	3620372	3623326	Ndufa3	protein_coding
ENSMUSG00000035674	ENSMUST00000108644	7	1	3620385	3623127	Ndufa3	protein_coding
ENSMUSG00000006335	ENSMUST00000155592	7	-1	3623323	3632883	Tfpt	protein_coding
ENSMUSG00000006335	ENSMUST00000108641	7	-1	3623323	3632928	Tfpt	protein_coding
ENSMUSG00000006335	ENSMUST00000205596	7	-1	3623794	3632826	Tfpt	protein_coding
ENSMUSG00000008373	ENSMUST00000179769	7	1	3632984	3645484	Prpf31	protein_coding
ENSMUSG00000008373	ENSMUST00000008517	7	1	3632984	3645485	Prpf31	protein_coding
ENSMUSG00000008373	ENSMUST00000108636	7	1	3633556	3644228	Prpf31	protein_coding
ENSMUSG00000035632	ENSMUST00000206287	7	1	3648308	3654850	Cnot3	protein_coding
ENSMUSG00000035632	ENSMUST00000038913	7	1	3648351	3664108	Cnot3	protein_coding
ENSMUSG00000035632	ENSMUST00000132344	7	1	3654308	3658826	Cnot3	protein_coding
ENSMUSG00000035632	ENSMUST00000160200	7	1	3662389	3664099	Cnot3	protein_coding
ENSMUSG00000078813	ENSMUST00000019878	7	-1	3663097	3668839	Leng1	protein_coding
ENSMUSG00000019734	ENSMUST00000038743	7	-1	3668789	3680552	Tmc4	protein_coding
ENSMUSG00000019734	ENSMUST00000145034	7	-1	3668790	3669882	Tmc4	protein_coding
ENSMUSG00000019734	ENSMUST00000121743	7	-1	3668790	3679792	Tmc4	protein_coding
ENSMUSG00000035596	ENSMUST00000038608	7	-1	3680788	3696522	Mboat7	protein_coding
ENSMUSG00000035596	ENSMUST00000128364	7	-1	3681401	3694866	Mboat7	protein_coding
ENSMUSG00000035596	ENSMUST00000206571	7	-1	3688768	3695985	Mboat7	protein_coding
ENSMUSG00000035596	ENSMUST00000118710	7	-1	3688974	3695887	Mboat7	protein_coding
ENSMUSG00000035596	ENSMUST00000206379	7	-1	3691653	3695761	Mboat7	protein_coding
ENSMUSG00000035585	ENSMUST00000205734	7	1	3695862	3697805	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000108630	7	1	3696374	3704023	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000123088	7	1	3696601	3698185	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000205287	7	1	3696762	3703886	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000038521	7	1	3696764	3704011	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000108629	7	1	3696808	3704003	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000142713	7	1	3696828	3698208	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000137204	7	1	3697297	3698092	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000108627	7	1	3697522	3704003	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000147288	7	1	3698188	3703577	Tsen34	protein_coding
ENSMUSG00000006333	ENSMUST00000006496	7	1	3706992	3709896	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000108623	7	1	3707037	3709894	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000139818	7	1	3707041	3707720	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000108625	7	1	3707051	3709856	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000108624	7	1	3707319	3709875	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000126562	7	1	3707324	3709380	Rps9	protein_coding
ENSMUSG00000058818	ENSMUST00000078451	7	-1	3714408	3723381	Pirb	protein_coding
ENSMUSG00000074419	ENSMUST00000153846	7	-1	3819780	3828649	Gm15448	protein_coding
ENSMUSG00000074419	ENSMUST00000108620	7	-1	3819780	3828686	Gm15448	protein_coding
ENSMUSG00000074419	ENSMUST00000108619	7	-1	3819796	3828668	Gm15448	protein_coding
ENSMUSG00000074419	ENSMUST00000189095	7	-1	3824241	3828640	Gm15448	protein_coding
ENSMUSG00000074419	ENSMUST00000094911	7	-1	3824524	3828640	Gm15448	protein_coding
ENSMUSG00000089942	ENSMUST00000108615	7	-1	3839811	3848050	Pira2	protein_coding
ENSMUSG00000089942	ENSMUST00000119469	7	-1	3841201	3848050	Pira2	protein_coding
ENSMUSG00000074417	ENSMUST00000070639	7	-1	3887241	3901119	Gm14548	protein_coding
ENSMUSG00000030427	ENSMUST00000206077	7	-1	3911279	3918500	Lilra6	protein_coding
