ENSMUSG00000046201	ENSMUST00000232048	17	1	3165524	3209620	Scaf8	protein_coding
ENSMUSG00000023800	ENSMUST00000169838	17	1	3376848	3569254	Tiam2	protein_coding
ENSMUSG00000023800	ENSMUST00000072156	17	1	3447482	3569672	Tiam2	protein_coding
ENSMUSG00000023800	ENSMUST00000227604	17	1	3532483	3559712	Tiam2	protein_coding
ENSMUSG00000036983	ENSMUST00000041003	17	-1	3569531	3608056	Tfb1m	protein_coding
ENSMUSG00000023802	ENSMUST00000115800	17	-1	3685515	3746536	Nox3	protein_coding
ENSMUSG00000069729	ENSMUST00000092723	17	1	5045214	5393780	Arid1b	protein_coding
ENSMUSG00000069729	ENSMUST00000232180	17	1	5045214	5393780	Arid1b	protein_coding
ENSMUSG00000069729	ENSMUST00000115797	17	1	5045349	5397931	Arid1b	protein_coding
ENSMUSG00000069729	ENSMUST00000115799	17	1	5046696	5397931	Arid1b	protein_coding
ENSMUSG00000004945	ENSMUST00000005053	17	-1	5461145	5490518	Tmem242	protein_coding
ENSMUSG00000101959	ENSMUST00000189788	17	-1	5467598	5469042	Ldhal6b	protein_coding
ENSMUSG00000004945	ENSMUST00000188282	17	-1	5482570	5490534	Tmem242	protein_coding
ENSMUSG00000004945	ENSMUST00000185896	17	-1	5483300	5490531	Tmem242	protein_coding
ENSMUSG00000034265	ENSMUST00000089185	17	1	5542832	5804086	Zdhhc14	protein_coding
ENSMUSG00000002365	ENSMUST00000002436	17	1	5891604	5982229	Snx9	protein_coding
ENSMUSG00000023805	ENSMUST00000115791	17	1	5991555	6089443	Synj2	protein_coding
ENSMUSG00000023805	ENSMUST00000080283	17	1	5991678	6088830	Synj2	protein_coding
ENSMUSG00000023805	ENSMUST00000142409	17	1	6025861	6076565	Synj2	protein_coding
ENSMUSG00000023805	ENSMUST00000061091	17	1	6025916	6094565	Synj2	protein_coding
ENSMUSG00000023805	ENSMUST00000115790	17	1	6026015	6088830	Synj2	protein_coding
ENSMUSG00000023805	ENSMUST00000115786	17	1	6047121	6070830	Synj2	protein_coding
ENSMUSG00000023805	ENSMUST00000115785	17	1	6057872	6088681	Synj2	protein_coding
