ENSMUSG00000051003	ENSMUST00000061541	16	1	3592398	3593339	Olfr161	protein_coding
ENSMUSG00000022534	ENSMUST00000023180	16	-1	3707215	3718124	Mefv	protein_coding
ENSMUSG00000022534	ENSMUST00000100222	16	-1	3707215	3718124	Mefv	protein_coding
ENSMUSG00000022529	ENSMUST00000023176	16	1	3744093	3750781	Zfp263	protein_coding
ENSMUSG00000022529	ENSMUST00000159425	16	1	3744175	3750790	Zfp263	protein_coding
ENSMUSG00000022529	ENSMUST00000159469	16	1	3744182	3749894	Zfp263	protein_coding
ENSMUSG00000022529	ENSMUST00000161630	16	1	3744232	3750790	Zfp263	protein_coding
ENSMUSG00000022529	ENSMUST00000160923	16	1	3744360	3749281	Zfp263	protein_coding
ENSMUSG00000022529	ENSMUST00000159060	16	1	3744597	3749106	Zfp263	protein_coding
ENSMUSG00000022529	ENSMUST00000162207	16	1	3747887	3750784	Zfp263	protein_coding
ENSMUSG00000059043	ENSMUST00000080917	16	1	3838975	3839913	Olfr15	protein_coding
ENSMUSG00000054939	ENSMUST00000041778	16	1	3847268	3858880	Zfp174	protein_coding
ENSMUSG00000039789	ENSMUST00000175990	16	-1	3858321	3865824	Zfp597	protein_coding
ENSMUSG00000039789	ENSMUST00000090522	16	-1	3861528	3872396	Zfp597	protein_coding
ENSMUSG00000039789	ENSMUST00000138857	16	-1	3862384	3884505	Zfp597	protein_coding
ENSMUSG00000039789	ENSMUST00000119599	16	-1	3865290	3884561	Zfp597	protein_coding
ENSMUSG00000039789	ENSMUST00000130254	16	-1	3866589	3871733	Zfp597	protein_coding
ENSMUSG00000005982	ENSMUST00000151988	16	1	3872375	3900811	Nat15	protein_coding
ENSMUSG00000093575	ENSMUST00000176233	16	1	3884648	3919517	RP23-312H15.9	protein_coding
ENSMUSG00000005982	ENSMUST00000176625	16	1	3884659	3902048	Nat15	protein_coding
ENSMUSG00000005982	ENSMUST00000135093	16	1	3884668	3897348	Nat15	protein_coding
ENSMUSG00000005982	ENSMUST00000143537	16	1	3884683	3903749	Nat15	protein_coding
ENSMUSG00000005982	ENSMUST00000006138	16	1	3884683	3904770	Nat15	protein_coding
ENSMUSG00000005982	ENSMUST00000147949	16	1	3884686	3897379	Nat15	protein_coding
ENSMUSG00000005982	ENSMUST00000140832	16	1	3884713	3900400	Nat15	protein_coding
ENSMUSG00000005982	ENSMUST00000115860	16	1	3884769	3904769	Nat15	protein_coding
ENSMUSG00000005982	ENSMUST00000175809	16	1	3894375	3901814	Nat15	protein_coding
ENSMUSG00000005982	ENSMUST00000176224	16	1	3894375	3901939	Nat15	protein_coding
ENSMUSG00000005982	ENSMUST00000150655	16	1	3894375	3902376	Nat15	protein_coding
ENSMUSG00000005983	ENSMUST00000177519	16	-1	3895179	3908653	1700037C18Rik	protein_coding
ENSMUSG00000005983	ENSMUST00000006139	16	-1	3895181	3907757	1700037C18Rik	protein_coding
ENSMUSG00000093575	ENSMUST00000146935	16	1	3898233	3919486	RP23-312H15.9	protein_coding
ENSMUSG00000005983	ENSMUST00000115859	16	-1	3904303	3908689	1700037C18Rik	protein_coding
ENSMUSG00000005983	ENSMUST00000177323	16	-1	3905798	3907702	1700037C18Rik	protein_coding
ENSMUSG00000005983	ENSMUST00000177221	16	-1	3906258	3907651	1700037C18Rik	protein_coding
ENSMUSG00000005983	ENSMUST00000123235	16	-1	3907013	3908623	1700037C18Rik	protein_coding
ENSMUSG00000014232	ENSMUST00000145150	16	1	3908801	3923856	Cluap1	protein_coding
ENSMUSG00000014232	ENSMUST00000040881	16	1	3908825	3941147	Cluap1	protein_coding
ENSMUSG00000014232	ENSMUST00000137745	16	1	3909039	3913572	Cluap1	protein_coding
ENSMUSG00000014232	ENSMUST00000139294	16	1	3909076	3929867	Cluap1	protein_coding
ENSMUSG00000014232	ENSMUST00000124849	16	1	3909106	3923912	Cluap1	protein_coding
ENSMUSG00000049871	ENSMUST00000096308	16	-1	3946933	3976632	Nlrc3	protein_coding
ENSMUSG00000049871	ENSMUST00000163478	16	-1	3948870	3976555	Nlrc3	protein_coding
ENSMUSG00000039738	ENSMUST00000146569	16	-1	3979105	3989106	Slx4	protein_coding
ENSMUSG00000039738	ENSMUST00000109180	16	-1	3979123	3992984	Slx4	protein_coding
ENSMUSG00000039738	ENSMUST00000040790	16	-1	3979123	4001680	Slx4	protein_coding
ENSMUSG00000039738	ENSMUST00000156542	16	-1	3979124	3995718	Slx4	protein_coding
ENSMUSG00000039738	ENSMUST00000128980	16	-1	3979128	3985519	Slx4	protein_coding
ENSMUSG00000039738	ENSMUST00000145706	16	-1	3979133	3982204	Slx4	protein_coding
ENSMUSG00000039738	ENSMUST00000165830	16	-1	3994768	4001252	Slx4	protein_coding
ENSMUSG00000039738	ENSMUST00000171762	16	-1	4001003	4003770	Slx4	protein_coding
ENSMUSG00000039738	ENSMUST00000171658	16	-1	4001201	4003752	Slx4	protein_coding
ENSMUSG00000005980	ENSMUST00000137748	16	1	4036942	4039256	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000006136	16	1	4036970	4040024	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000157044	16	1	4036973	4038021	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000120009	16	1	4037031	4040024	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000144792	16	1	4037098	4040023	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000125961	16	1	4037101	4040024	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000177337	16	1	4037155	4039875	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000149670	16	1	4037276	4038260	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000176642	16	1	4037304	4039339	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000132466	16	1	4038222	4038871	Dnase1	protein_coding
ENSMUSG00000005980	ENSMUST00000175755	16	1	4039130	4040024	Dnase1	protein_coding
ENSMUSG00000005981	ENSMUST00000006137	16	-1	4039971	4077827	Trap1	protein_coding
ENSMUSG00000005981	ENSMUST00000167637	16	-1	4039981	4078410	Trap1	protein_coding
ENSMUSG00000005981	ENSMUST00000137945	16	-1	4040140	4044698	Trap1	protein_coding
ENSMUSG00000005981	ENSMUST00000150354	16	-1	4056416	4077827	Trap1	protein_coding
ENSMUSG00000005981	ENSMUST00000138594	16	-1	4065330	4077827	Trap1	protein_coding
ENSMUSG00000022521	ENSMUST00000080297	16	-1	4084048	4213223	Crebbp	protein_coding
ENSMUSG00000022521	ENSMUST00000023165	16	-1	4084048	4213404	Crebbp	protein_coding
ENSMUSG00000005580	ENSMUST00000117801	16	-1	4287529	4419808	Adcy9	protein_coding
ENSMUSG00000005580	ENSMUST00000120080	16	-1	4287529	4420498	Adcy9	protein_coding
ENSMUSG00000005580	ENSMUST00000005719	16	-1	4287545	4419587	Adcy9	protein_coding
ENSMUSG00000005580	ENSMUST00000165696	16	-1	4287548	4420498	Adcy9	protein_coding
ENSMUSG00000022519	ENSMUST00000090500	16	-1	4480216	4523075	Srl	protein_coding
ENSMUSG00000022519	ENSMUST00000023161	16	-1	4480228	4523075	Srl	protein_coding
ENSMUSG00000022519	ENSMUST00000133440	16	-1	4487579	4541816	Srl	protein_coding
ENSMUSG00000022519	ENSMUST00000132284	16	-1	4493603	4523063	Srl	protein_coding
ENSMUSG00000005718	ENSMUST00000005862	16	-1	4544661	4559720	Tfap4	protein_coding
ENSMUSG00000014303	ENSMUST00000014447	16	1	4594713	4615957	Glis2	protein_coding
ENSMUSG00000014303	ENSMUST00000141682	16	1	4601163	4610413	Glis2	protein_coding
ENSMUSG00000014303	ENSMUST00000122896	16	1	4608627	4615942	Glis2	protein_coding
ENSMUSG00000014303	ENSMUST00000135577	16	1	4611410	4613656	Glis2	protein_coding
ENSMUSG00000014303	ENSMUST00000127120	16	1	4611628	4624924	Glis2	protein_coding
