ENSMUSG00000079179	ENSMUST00000049684	12	1	3236611	3249999	1700012B15Rik	protein_coding
ENSMUSG00000020671	ENSMUST00000021001	12	-1	3247430	3309969	Rab10	protein_coding
ENSMUSG00000020668	ENSMUST00000020999	12	1	3365132	3406494	Kif3c	protein_coding
ENSMUSG00000020668	ENSMUST00000168012	12	1	3365132	3406494	Kif3c	protein_coding
ENSMUSG00000020668	ENSMUST00000169789	12	1	3387381	3404933	Kif3c	protein_coding
ENSMUSG00000071456	ENSMUST00000095903	12	-1	3405308	3426644	1110002L01Rik	protein_coding
ENSMUSG00000037486	ENSMUST00000092003	12	1	3426857	3506852	Asxl2	protein_coding
ENSMUSG00000037486	ENSMUST00000144247	12	1	3426884	3496284	Asxl2	protein_coding
ENSMUSG00000037486	ENSMUST00000111215	12	1	3426884	3506849	Asxl2	protein_coding
ENSMUSG00000037486	ENSMUST00000153102	12	1	3426901	3502466	Asxl2	protein_coding
ENSMUSG00000037486	ENSMUST00000140046	12	1	3426912	3454169	Asxl2	protein_coding
ENSMUSG00000037486	ENSMUST00000138740	12	1	3442506	3496409	Asxl2	protein_coding
ENSMUSG00000037486	ENSMUST00000152196	12	1	3493761	3504748	Asxl2	protein_coding
ENSMUSG00000071454	ENSMUST00000173199	12	1	3572381	3781796	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000171145	12	1	3572391	3774592	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000168433	12	1	3572391	3781384	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000164578	12	1	3572391	3781398	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000173483	12	1	3572417	3781359	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000164607	12	1	3572433	3781398	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000174479	12	1	3572434	3646787	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000168806	12	1	3572435	3721089	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000173240	12	1	3572453	3781395	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000174639	12	1	3572463	3781142	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000174290	12	1	3572465	3781393	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000173524	12	1	3572466	3663242	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000174663	12	1	3572470	3781395	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000173736	12	1	3572475	3781395	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000101637	12	1	3572523	3781505	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000173998	12	1	3572536	3596852	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000174109	12	1	3572620	3751903	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000077930	12	1	3572984	3781391	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000057982	12	1	3573041	3774592	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000174547	12	1	3589172	3781395	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000172598	12	1	3632922	3781395	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000173074	12	1	3686756	3718968	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000173498	12	1	3719540	3749474	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000172504	12	1	3749289	3781142	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000173542	12	1	3749543	3781398	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000172735	12	1	3774315	3781398	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000174414	12	1	3774525	3781397	Dtnb	protein_coding
ENSMUSG00000071454	ENSMUST00000174293	12	1	3779548	3781398	Dtnb	protein_coding
ENSMUSG00000020661	ENSMUST00000173700	12	1	3806007	3838814	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000085826	12	1	3806498	3867484	Dnmt3a	protein_coding
