ENSMUSG00000053211	ENSMUST00000065545	Y	-1	61650	133852	Zfy1	protein_coding
ENSMUSG00000069053	ENSMUST00000115894	Y	1	155156	180667	Ube1y1	protein_coding
ENSMUSG00000056673	ENSMUST00000169001	Y	1	234231	264063	Kdm5d	protein_coding
ENSMUSG00000056673	ENSMUST00000055032	Y	1	234231	280254	Kdm5d	protein_coding
ENSMUSG00000069049	ENSMUST00000091197	Y	1	346986	365037	Eif2s3y	protein_coding
ENSMUSG00000069049	ENSMUST00000137006	Y	1	347038	351904	Eif2s3y	protein_coding
ENSMUSG00000069049	ENSMUST00000148961	Y	1	347038	365290	Eif2s3y	protein_coding
ENSMUSG00000069049	ENSMUST00000154556	Y	1	347042	348742	Eif2s3y	protein_coding
ENSMUSG00000069049	ENSMUST00000139083	Y	1	347067	352542	Eif2s3y	protein_coding
ENSMUSG00000069049	ENSMUST00000144042	Y	1	352606	356598	Eif2s3y	protein_coding
ENSMUSG00000069049	ENSMUST00000134820	Y	1	359549	364851	Eif2s3y	protein_coding
ENSMUSG00000068457	ENSMUST00000143286	Y	-1	433304	582134	Uty	protein_coding
ENSMUSG00000068457	ENSMUST00000170079	Y	-1	433587	497657	Uty	protein_coding
ENSMUSG00000068457	ENSMUST00000154666	Y	-1	433587	582137	Uty	protein_coding
ENSMUSG00000068457	ENSMUST00000069309	Y	-1	433587	582161	Uty	protein_coding
ENSMUSG00000068457	ENSMUST00000139365	Y	-1	434114	582167	Uty	protein_coding
ENSMUSG00000068457	ENSMUST00000154004	Y	-1	434463	582202	Uty	protein_coding
ENSMUSG00000068457	ENSMUST00000143958	Y	-1	488392	582199	Uty	protein_coding
ENSMUSG00000068457	ENSMUST00000137048	Y	-1	494404	582145	Uty	protein_coding
ENSMUSG00000068457	ENSMUST00000133976	Y	-1	497247	505629	Uty	protein_coding
ENSMUSG00000068457	ENSMUST00000157073	Y	-1	508990	582181	Uty	protein_coding
ENSMUSG00000068457	ENSMUST00000150715	Y	-1	523220	581910	Uty	protein_coding
ENSMUSG00000068457	ENSMUST00000154527	Y	-1	535740	582182	Uty	protein_coding
ENSMUSG00000069045	ENSMUST00000091190	Y	-1	597158	623056	Ddx3y	protein_coding
ENSMUSG00000069044	ENSMUST00000091188	Y	-1	635400	796225	Usp9y	protein_coding
ENSMUSG00000091571	ENSMUST00000163651	Y	1	1855009	1855344	Gm6026	protein_coding
ENSMUSG00000069036	ENSMUST00000091178	Y	-1	1918381	1919568	Sry	protein_coding
ENSMUSG00000069036	ENSMUST00000166513	Y	-1	1918381	1919568	Sry	protein_coding
ENSMUSG00000090405	ENSMUST00000168551	Y	-1	1976249	1976584	Gm16501	protein_coding
ENSMUSG00000090652	ENSMUST00000165422	Y	-1	2041075	2052134	Gm4064	protein_coding
ENSMUSG00000090652	ENSMUST00000169382	Y	-1	2041075	2052134	Gm4064	protein_coding
ENSMUSG00000052831	ENSMUST00000100360	Y	1	2086590	2097768	Rbmy1a1	protein_coding
ENSMUSG00000052831	ENSMUST00000171534	Y	1	2086590	2097768	Rbmy1a1	protein_coding
ENSMUSG00000069031	ENSMUST00000092052	Y	1	2118049	2129045	Gm10256	protein_coding
ENSMUSG00000071960	ENSMUST00000078383	Y	1	2156899	2168120	Gm10352	protein_coding
ENSMUSG00000091987	ENSMUST00000166474	Y	1	2390390	2398856	Gm3376	protein_coding
ENSMUSG00000090600	ENSMUST00000172100	Y	1	2550262	2552957	Gm3395	protein_coding
