ENSMUSG00000091028	ENSMUST00000151376	9	1	3000922	3002330	Gm10722	protein_coding
ENSMUSG00000090650	ENSMUST00000115743	9	1	3004457	3005194	Gm11168	protein_coding
ENSMUSG00000074565	ENSMUST00000099051	9	1	3013170	3014344	Gm10721	protein_coding
ENSMUSG00000074564	ENSMUST00000099050	9	1	3015654	3017210	Gm10720	protein_coding
ENSMUSG00000074563	ENSMUST00000099049	9	1	3017408	3019022	Gm10719	protein_coding
ENSMUSG00000079719	ENSMUST00000099047	9	1	3020155	3021593	Gm11167	protein_coding
ENSMUSG00000074562	ENSMUST00000099046	9	1	3023547	3025218	Gm10718	protein_coding
ENSMUSG00000074561	ENSMUST00000075573	9	1	3025417	3026387	Gm10717	protein_coding
ENSMUSG00000091599	ENSMUST00000099042	9	1	3030337	3031071	Gm10716	protein_coding
ENSMUSG00000061971	ENSMUST00000099056	9	1	3032085	3032822	Gm10106	protein_coding
ENSMUSG00000091057	ENSMUST00000170073	9	1	3034599	3035805	Gm17535	protein_coding
ENSMUSG00000074558	ENSMUST00000099035	9	1	3037111	3038316	Gm10715	protein_coding
ENSMUSG00000042360	ENSMUST00000048921	9	-1	3133847	3199782	4930433N12Rik	protein_coding
ENSMUSG00000025899	ENSMUST00000168087	9	1	3335478	3380421	Alkbh8	protein_coding
ENSMUSG00000025899	ENSMUST00000053407	9	1	3335478	3387050	Alkbh8	protein_coding
ENSMUSG00000025899	ENSMUST00000163849	9	1	3335478	3387050	Alkbh8	protein_coding
ENSMUSG00000025899	ENSMUST00000165105	9	1	3338445	3385842	Alkbh8	protein_coding
ENSMUSG00000025899	ENSMUST00000164711	9	1	3379313	3386929	Alkbh8	protein_coding
ENSMUSG00000025898	ENSMUST00000027027	9	1	3404085	3479236	Cwf19l2	protein_coding
ENSMUSG00000041624	ENSMUST00000115733	9	1	3532354	3897342	Gucy1a2	protein_coding
ENSMUSG00000041624	ENSMUST00000078143	9	1	3758917	3897342	Gucy1a2	protein_coding
ENSMUSG00000025894	ENSMUST00000051589	9	-1	4294793	4309494	Aasdhppt	protein_coding
ENSMUSG00000025894	ENSMUST00000115732	9	-1	4296620	4309459	Aasdhppt	protein_coding
ENSMUSG00000025893	ENSMUST00000049648	9	1	4309743	4331721	Kbtbd3	protein_coding
ENSMUSG00000041124	ENSMUST00000047173	9	1	4376612	4386861	8430410K20Rik	protein_coding
ENSMUSG00000025892	ENSMUST00000027020	9	-1	4417899	4796234	Gria4	protein_coding
ENSMUSG00000025892	ENSMUST00000063508	9	-1	4417899	4796234	Gria4	protein_coding
ENSMUSG00000025892	ENSMUST00000171931	9	-1	4420120	4795519	Gria4	protein_coding
