ENSMUSG00000091539	ENSMUST00000165255	18	-1	3122455	3123465	Vmn1r238	protein_coding
ENSMUSG00000063889	ENSMUST00000151311	18	-1	3266046	3327589	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000150235	18	-1	3266352	3337677	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000122958	18	-1	3266354	3299557	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000154135	18	-1	3266354	3337486	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000025069	18	-1	3266354	3337587	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000073545	18	-1	3266354	3337587	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000082141	18	-1	3266354	3337587	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000165086	18	-1	3266354	3337587	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000140332	18	-1	3266955	3281767	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000140912	18	-1	3266961	3337511	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000154470	18	-1	3267259	3337746	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000129435	18	-1	3267262	3299554	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000151084	18	-1	3267388	3281745	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000131899	18	-1	3267421	3327505	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000130599	18	-1	3267512	3325472	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000124747	18	-1	3267532	3281130	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000049942	18	-1	3267544	3281076	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000127601	18	-1	3267556	3325476	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000147138	18	-1	3267570	3281767	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000156234	18	-1	3267573	3325472	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000130455	18	-1	3267583	3327505	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000137568	18	-1	3267583	3327505	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000146265	18	-1	3267583	3327505	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000152900	18	-1	3267583	3327505	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000134027	18	-1	3267583	3337531	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000136961	18	-1	3267586	3309721	Crem	protein_coding
