ENSMUSG00000055452	ENSMUST00000069044	7	-1	3108535	3111950	Gm7353	protein_coding
ENSMUSG00000054753	ENSMUST00000163910	7	-1	3154665	3164502	AU018091	protein_coding
ENSMUSG00000054753	ENSMUST00000067969	7	-1	3154665	3169204	AU018091	protein_coding
ENSMUSG00000054753	ENSMUST00000171749	7	-1	3154665	3169204	AU018091	protein_coding
ENSMUSG00000078817	ENSMUST00000108653	7	-1	3221511	3249741	Nlrp12	protein_coding
ENSMUSG00000078817	ENSMUST00000108652	7	-1	3235151	3249540	Nlrp12	protein_coding
ENSMUSG00000068566	ENSMUST00000164553	7	1	3289039	3299346	Myadm	protein_coding
ENSMUSG00000068566	ENSMUST00000096744	7	1	3290557	3299346	Myadm	protein_coding
ENSMUSG00000078816	ENSMUST00000100301	7	1	3303640	3330714	Prkcc	protein_coding
ENSMUSG00000078816	ENSMUST00000172109	7	1	3303771	3330676	Prkcc	protein_coding
ENSMUSG00000069806	ENSMUST00000092891	7	1	3333055	3367810	Cacng7	protein_coding
ENSMUSG00000053395	ENSMUST00000092351	7	1	3394567	3415366	Cacng8	protein_coding
ENSMUSG00000078815	ENSMUST00000108647	7	1	3425423	3435658	Cacng6	protein_coding
ENSMUSG00000053338	ENSMUST00000065703	7	-1	3489960	3503346	Tarm1	protein_coding
ENSMUSG00000078814	ENSMUST00000108646	7	1	3510165	3511621	Gm3144	protein_coding
ENSMUSG00000054594	ENSMUST00000039507	7	-1	3561415	3567735	Oscar	protein_coding
ENSMUSG00000054594	ENSMUST00000108645	7	-1	3561415	3567759	Oscar	protein_coding
ENSMUSG00000054594	ENSMUST00000148012	7	-1	3561415	3567759	Oscar	protein_coding
ENSMUSG00000054594	ENSMUST00000148645	7	-1	3562773	3567687	Oscar	protein_coding
ENSMUSG00000035674	ENSMUST00000076657	7	1	3568975	3571763	Ndufa3	protein_coding
ENSMUSG00000035674	ENSMUST00000150497	7	1	3568982	3571754	Ndufa3	protein_coding
ENSMUSG00000035674	ENSMUST00000156712	7	1	3568987	3569321	Ndufa3	protein_coding
ENSMUSG00000035674	ENSMUST00000108644	7	1	3568988	3571730	Ndufa3	protein_coding
ENSMUSG00000035674	ENSMUST00000148403	7	1	3568993	3571765	Ndufa3	protein_coding
ENSMUSG00000035674	ENSMUST00000134683	7	1	3569219	3571687	Ndufa3	protein_coding
ENSMUSG00000006335	ENSMUST00000155592	7	-1	3571926	3581486	Tfpt	protein_coding
ENSMUSG00000006335	ENSMUST00000108641	7	-1	3571926	3581531	Tfpt	protein_coding
ENSMUSG00000006335	ENSMUST00000108643	7	-1	3571929	3581486	Tfpt	protein_coding
ENSMUSG00000006335	ENSMUST00000058880	7	-1	3571937	3580688	Tfpt	protein_coding
ENSMUSG00000006335	ENSMUST00000156194	7	-1	3572381	3581181	Tfpt	protein_coding
ENSMUSG00000006335	ENSMUST00000153143	7	-1	3576196	3581181	Tfpt	protein_coding
ENSMUSG00000008373	ENSMUST00000008517	7	1	3581587	3594088	Prpf31	protein_coding
ENSMUSG00000008373	ENSMUST00000143231	7	1	3581594	3583023	Prpf31	protein_coding
ENSMUSG00000008373	ENSMUST00000125782	7	1	3581661	3588659	Prpf31	protein_coding
ENSMUSG00000008373	ENSMUST00000108636	7	1	3582159	3592831	Prpf31	protein_coding
ENSMUSG00000008373	ENSMUST00000134047	7	1	3587697	3588659	Prpf31	protein_coding
ENSMUSG00000035632	ENSMUST00000143085	7	1	3596892	3612710	Cnot3	protein_coding
ENSMUSG00000035632	ENSMUST00000038913	7	1	3596954	3612702	Cnot3	protein_coding
ENSMUSG00000035632	ENSMUST00000132344	7	1	3602911	3607429	Cnot3	protein_coding
ENSMUSG00000035632	ENSMUST00000135977	7	1	3603410	3610343	Cnot3	protein_coding
ENSMUSG00000035632	ENSMUST00000129973	7	1	3609774	3612702	Cnot3	protein_coding
ENSMUSG00000035632	ENSMUST00000144097	7	1	3610347	3612702	Cnot3	protein_coding
